date;year;month;day;so2;no;no2;pm2.5;pm10;o3;ben;tol;mxil
01/01/2014;2014;1;1;5;30;38;16;26;20;0.67;2.94;1.92
02/01/2014;2014;1;2;9;71;52;19;38;23;0.92;6.29;4.68
03/01/2014;2014;1;3;7;37;45;15;34;29;0.67;4.08;2.87
04/01/2014;2014;1;4;3;5;26;11;14;52;0.23;0.96;0.55
05/01/2014;2014;1;5;4;31;40;13;36;31;0.61;3.02;1.89
06/01/2014;2014;1;6;4;24;27;12;26;44;0.51;2.36;1.46
07/01/2014;2014;1;7;6;56;52;21;45;8;0.96;5.95;7.88
08/01/2014;2014;1;8;4;37;36;16;22;30;0.6;5.52;3.21
09/01/2014;2014;1;9;5;12;35;12;21;40;0.26;1.81;0.81
10/01/2014;2014;1;10;7;18;33;15;24;25;0.4;2.39;1
11/01/2014;2014;1;11;3;16;30;12;18;35;0.42;2.16;0.8
12/01/2014;2014;1;12;7;45;41;22;33;13;1.01;4.18;2.05
13/01/2014;2014;1;13;5;20;36;9;10;41;0.32;2.61;0.86
14/01/2014;2014;1;14;6;13;35;10;14;40;0.34;2.47;0.92
15/01/2014;2014;1;15;7;54;42;18;31;18;0.83;5.41;3.15
16/01/2014;2014;1;16;5;24;39;11;17;39;0.41;2.71;1.01
17/01/2014;2014;1;17;4;50;47;13;17;32;1.02;3.89;1.96
18/01/2014;2014;1;18;5;14;40;12;16;30;0.69;2.5;1.13
19/01/2014;2014;1;19;4;2;17;8;9;59;0.26;0.49;0.17
20/01/2014;2014;1;20;3;15;39;9;13;40;0.37;1.85;0.74
21/01/2014;2014;1;21;5;36;45;16;21;24;0.61;4.64;2
22/01/2014;2014;1;22;6;12;38;12;20;39;0.29;1.31;0.33
23/01/2014;2014;1;23;6;8;32;11;23;47;0.26;1.22;0.32
24/01/2014;2014;1;24;8;7;29;11;23;47;0.27;1.21;0.43
25/01/2014;2014;1;25;10;5;26;10;17;39;0.28;0.65;0.38
26/01/2014;2014;1;26;6;6;21;10;18;39;0.32;0.94;0.28
27/01/2014;2014;1;27;5;5;25;9;17;61;0.14;0.56;0.11
28/01/2014;2014;1;28;4;5;21;8;13;64;0.15;0.55;0.2
29/01/2014;2014;1;29;6;9;31;9;15;30;0.28;1.14;0.28
30/01/2014;2014;1;30;5;10;32;10;14;31;0.25;1.03;0.19
31/01/2014;2014;1;31;7;25;42;14;26;35;0.61;3.01;1.17
01/02/2014;2014;2;1;7;5;21;9;15;63;0.19;0.42;0.17
02/02/2014;2014;2;2;4;20;24;11;22;56;0.39;1.47;0.71
03/02/2014;2014;2;3;3;6;25;7;13;58;0.2;0.57;0.18
04/02/2014;2014;2;4;3;30;32;9;17;48;0.42;2.13;0.7
05/02/2014;2014;2;5;4;17;30;10;20;51;0.35;1.49;0.69
06/02/2014;2014;2;6;3;4;14;8;12;63;0.27;0.69;0.31
07/02/2014;2014;2;7;3;16;34;11;24;52;0.38;1.63;0.64
08/02/2014;2014;2;8;5;3;15;8;15;71;0.16;0.18;0.13
09/02/2014;2014;2;9;2;13;30;10;19;52;0.39;1.08;0.39
10/02/2014;2014;2;10;4;7;28;11;18;58;0.2;0.47;0.12
11/02/2014;2014;2;11;6;27;41;13;21;40;0.38;1.87;1.11
12/02/2014;2014;2;12;7;42;47;20;32;19;0.68;7.23;2.26
13/02/2014;2014;2;13;3;7;27;11;25;51;0.3;1.71;0.63
14/02/2014;2014;2;14;12;47;35;17;38;37;0.73;3.55;1.87
15/02/2014;2014;2;15;13;4;23;8;21;59;0.18;0.32;0.13
16/02/2014;2014;2;16;4;7;21;10;17;55;0.32;0.57;0.2
17/02/2014;2014;2;17;5;34;44;17;28;32;0.7;2.71;1.12
18/02/2014;2014;2;18;10;26;41;17;31;27;0.61;2.06;0.72
19/02/2014;2014;2;19;7;20;37;18;27;31;0.52;1.74;0.48
20/02/2014;2014;2;20;8;22;36;21;34;32;0.56;2.18;1.21
21/02/2014;2014;2;21;4;7;29;8;14;55;0.21;0.65;0.2
22/02/2014;2014;2;22;3;7;29;13;24;47;0.38;1.42;0.55
23/02/2014;2014;2;23;6;16;35;27;43;26;0.93;1.82;0.54
24/02/2014;2014;2;24;7;23;44;20;36;28;0.72;3.16;1.15
25/02/2014;2014;2;25;4;19;33;12;17;49;0.4;1.99;0.56
26/02/2014;2014;2;26;6;14;35;13;26;49;0.37;1.86;0.76
27/02/2014;2014;2;27;6;5;28;14;38;55;0.25;0.81;0.28
28/02/2014;2014;2;28;6;4;25;12;27;61;0.17;0.4;0.16
01/03/2014;2014;3;1;3;15;32;11;11;37;0.3;1.16;0.35
02/03/2014;2014;3;2;4;7;22;10;19;43;0.26;1.22;0.25
03/03/2014;2014;3;3;8;2;18;11;24;67;0.16;0.15;0.1
04/03/2014;2014;3;4;8;2;19;7;15;57;0.18;0.17;0.11
05/03/2014;2014;3;5;13;5;29;11;31;50;0.21;0.44;0.26
06/03/2014;2014;3;6;4;8;28;15;26;40;0.31;0.98;0.26
07/03/2014;2014;3;7;5;12;32;24;33;27;0.5;1.81;0.51
08/03/2014;2014;3;8;4;21;38;23;36;23;0.65;2.03;0.71
09/03/2014;2014;3;9;4;25;48;25;38;32;0.8;3.42;1.47
