date;year;month;day;so2;no;no2;pm10;o3
01/01/2014;2014;1;1;3.000;21.000;41.000;39.000;33.000
02/01/2014;2014;1;2;3.000;21.000;41.000;39.000;33.000
03/01/2014;2014;1;3;3.000;35.000;50.000;48.000;23.000
04/01/2014;2014;1;4;3.000;8.000;32.000;29.000;43.000
05/01/2014;2014;1;5;2.000;34.000;47.000;64.000;24.000
06/01/2014;2014;1;6;2.000;21.000;29.000;62.000;38.000
07/01/2014;2014;1;7;4.000;44.000;51.000;63.000;5.000
08/01/2014;2014;1;8;4.000;39.000;47.000;29.000;16.000
09/01/2014;2014;1;9;2.000;15.000;40.000;33.000;35.000
10/01/2014;2014;1;10;3.000;22.000;38.000;37.000;20.000
11/01/2014;2014;1;11;2.000;11.000;29.000;30.000;33.000
12/01/2014;2014;1;12;5.000;39.000;43.000;47.000;9.000
13/01/2014;2014;1;13;3.000;20.000;39.000;27.000;34.000
14/01/2014;2014;1;14;3.000;16.000;40.000;27.000;33.000
15/01/2014;2014;1;15;4.000;47.000;43.000;48.000;15.000
16/01/2014;2014;1;16;7.000;18.000;40.000;27.000;33.000
17/01/2014;2014;1;17;4.000;37.000;53.000;29.000;22.000
18/01/2014;2014;1;18;4.000;12.000;41.000;28.000;26.000
19/01/2014;2014;1;19;3.000;3.000;22.000;25.000;50.000
20/01/2014;2014;1;20;2.000;14.000;45.000;28.000;33.000
21/01/2014;2014;1;21;2.000;32.000;50.000;32.000;17.000
22/01/2014;2014;1;22;4.000;10.000;43.000;30.000;33.000
23/01/2014;2014;1;23;4.000;7.000;36.000;34.000;41.000
24/01/2014;2014;1;24;5.000;6.000;32.000;32.000;41.000
25/01/2014;2014;1;25;3.000;3.000;24.000;23.000;40.000
26/01/2014;2014;1;26;4.000;5.000;23.000;27.000;33.000
27/01/2014;2014;1;27;9.000;4.000;28.000;30.000;54.000
28/01/2014;2014;1;28;3.000;7.000;26.000;25.000;56.000
29/01/2014;2014;1;29;4.000;10.000;34.000;28.000;42.000
30/01/2014;2014;1;30;2.000;14.000;38.000;24.000;37.000
31/01/2014;2014;1;31;3.000;10.000;29.000;26.000;47.000
01/02/2014;2014;2;1;5.000;5.000;19.000;29.000;57.000
02/02/2014;2014;2;2;3.000;12.000;23.000;35.000;49.000
03/02/2014;2014;2;3;4.000;8.000;25.000;25.000;52.000
04/02/2014;2014;2;4;5.000;30.000;36.000;28.000;38.000
05/02/2014;2014;2;5;6.000;13.000;31.000;33.000;45.000
06/02/2014;2014;2;6;2.000;7.000;18.000;22.000;53.000
07/02/2014;2014;2;7;4.000;19.000;37.000;32.000;44.000
08/02/2014;2014;2;8;5.000;4.000;16.000;26.000;65.000
09/02/2014;2014;2;9;3.000;12.000;32.000;34.000;44.000
