date;year;month;day;tmed;tmin;tmax;hum;precip;pres;velmed;velmax
01/01/2017;2017;1;1;7.85;11.6;4.2;71.75;0;1022.975;2.242;4.792
02/01/2017;2017;1;2;9.8;13.2;6.2;72.75;0;1017.15;;
03/01/2017;2017;1;3;10.275;11.3;9.4;82.5;0;1022.4;;
04/01/2017;2017;1;4;10.15;12;7.6;84.75;0;1026.3;;
05/01/2017;2017;1;5;11.4;12.2;11;76;0;1027.425;;
06/01/2017;2017;1;6;8.675;10.2;6.2;68.5;0;1029.275;;
07/01/2017;2017;1;7;7.45;10.4;4.4;71;0;1030.925;;
08/01/2017;2017;1;8;8.7;12;5.4;57;0;1030.85;;
09/01/2017;2017;1;9;9.75;14.6;6;65.5;0;1028.675;;
10/01/2017;2017;1;10;12.125;12.8;11.6;85;4;1023.925;;
11/01/2017;2017;1;11;12.7;13.6;11.4;89.25;0.1;1026;;
12/01/2017;2017;1;12;12.8;14.5;11.9;88.25;1.4;1021.825;;
13/01/2017;2017;1;13;8.775;9.7;7.8;77.75;3.2;1026.125;;
14/01/2017;2017;1;14;7.525;9.5;5.9;87;11.7;1030.25;;
15/01/2017;2017;1;15;9.4;12.3;7.4;90;7;1032.075;;
16/01/2017;2017;1;16;9.875;10.8;8.9;95;8.3;1030.45;;
17/01/2017;2017;1;17;10.275;11.5;8.4;78.25;3.4;1027.525;;
18/01/2017;2017;1;18;7.175;7.6;6.2;53.5;0;1026.975;;
19/01/2017;2017;1;19;6.35;6.9;6;66.25;0;1024.175;;
20/01/2017;2017;1;20;6.45;8.9;3.6;73.25;0;1022.175;;
21/01/2017;2017;1;21;7.3;10.9;4;76.75;0;1020.6;;
22/01/2017;2017;1;22;8.85;11;6.6;79.25;0.1;1021.525;;
23/01/2017;2017;1;23;8.3;11.4;5.2;79.25;0;1023.9;;
24/01/2017;2017;1;24;8.7;12;4.8;73;0;1025.8;;
25/01/2017;2017;1;25;7.425;10.5;3.8;73;0;1021.375;;
26/01/2017;2017;1;26;7.2;11.4;3;75.25;0;1008.325;;
27/01/2017;2017;1;27;10.85;13.6;9.4;67.75;0.9;1004.15;;
28/01/2017;2017;1;28;11;14.2;8.2;58.5;0;1017.5;;
29/01/2017;2017;1;29;12.725;15.1;9.9;76.5;0;1017.45;;
30/01/2017;2017;1;30;13.4;15.3;12.2;87.5;0.2;1015.075;;
31/01/2017;2017;1;31;14.875;16.3;12.9;66;0;1010.925;;
01/02/2017;2017;2;1;12.65;14.6;10.5;89;0.2;1010.5;;
02/02/2017;2017;2;2;14.15;15.6;12.6;58.75;0.3;1002.225;;
03/02/2017;2017;2;3;13.05;14;10.5;48.75;2.9;1003.4;;
04/02/2017;2017;2;4;12.275;13.9;9.8;76;14.7;1003.725;;
05/02/2017;2017;2;5;10.35;12;7.5;68.75;19.6;1013.925;;
06/02/2017;2017;2;6;16.025;19.4;10.9;56;0;1021.675;;
07/02/2017;2017;2;7;12.95;14.7;10.4;71.75;5.4;1023.225;;
08/02/2017;2017;2;8;8.65;10.4;6.6;73.5;1.5;1029.675;;
09/02/2017;2017;2;9;9.5;12.2;6.8;73.25;0;1016.55;;
10/02/2017;2017;2;10;12.7;13.6;12;48.25;0;1008.35;;
11/02/2017;2017;2;11;9.1;9.8;8.4;79.25;10.4;1013.775;;
12/02/2017;2017;2;12;10.7;13;8.4;79.5;1.2;1001.975;;
13/02/2017;2017;2;13;12.825;13.8;12.2;73.25;0.3;999.625;;
14/02/2017;2017;2;14;13.35;18.8;8.4;59.25;0;1014.375;;
15/02/2017;2017;2;15;12.775;15.3;10.8;79.75;0;1025.3;;
16/02/2017;2017;2;16;12.6;14.2;10.8;79.5;0;1028.225;;
17/02/2017;2017;2;17;10.5;12.4;8;88.5;0;1025.725;;
18/02/2017;2017;2;18;11.65;12.2;10.6;81.5;2.8;1021.725;;
19/02/2017;2017;2;19;11.5;13.6;9.6;79.75;0;1026.775;;
20/02/2017;2017;2;20;10.775;13.8;7.8;80.5;0;1028.225;;
21/02/2017;2017;2;21;11.775;14.2;9.2;83.75;0;1026.05;;
22/02/2017;2017;2;22;12.425;12.8;12.1;82.75;0;1021.55;;
23/02/2017;2017;2;23;11.7;13;10.4;84;0;1016.425;;
24/02/2017;2017;2;24;11.6;13.2;10.1;81.5;0.9;1020.125;;
25/02/2017;2017;2;25;11.1;14.4;6.8;72.25;0;1018.675;;
26/02/2017;2017;2;26;13.35;14.9;11.3;78.75;0;1018.825;;
27/02/2017;2017;2;27;12.9;16.8;9.6;74.25;0;1009.775;;
28/02/2017;2017;2;28;11.9;13.4;10.7;66.5;9.7;1010.775;;
01/03/2017;2017;3;1;13.275;17.3;9.9;67.5;0;1014.9;;
02/03/2017;2017;3;2;13.65;14.9;12.4;91;2.7;1015.225;;
03/03/2017;2017;3;3;10.075;11.6;9.1;82.5;4.8;1000.725;;
04/03/2017;2017;3;4;9.575;10.4;8.7;60;0.2;1004.075;;
05/03/2017;2017;3;5;13.5;17;10.2;69;3.1;1011.45;;
06/03/2017;2017;3;6;15.35;16.4;13.2;67.5;0;1020.875;;
07/03/2017;2017;3;7;14.55;17;12.2;75.75;0;1026.625;;
08/03/2017;2017;3;8;13.65;15.2;12;77.75;0;1026.825;;
09/03/2017;2017;3;9;13.3;15.2;10.7;85.75;0;1024.85;;
10/03/2017;2017;3;10;12.725;16;8.8;88.25;0;1019.8;;
11/03/2017;2017;3;11;14.55;16.4;13;77.25;0;1016.125;;
12/03/2017;2017;3;12;12.125;13.2;9.7;81.5;11.8;1022.775;;
13/03/2017;2017;3;13;12.3;13.4;11.4;64.25;0.4;1030.725;;
14/03/2017;2017;3;14;12.4;14.1;10.7;87.5;0;1032.975;;
15/03/2017;2017;3;15;13.075;14.8;11.7;84.5;0;1027.525;;
16/03/2017;2017;3;16;12.275;14.1;9.6;90.25;0;1019.5;;
17/03/2017;2017;3;17;12.925;13.6;12.4;80.5;0;1023.8;;
18/03/2017;2017;3;18;12.925;14;12.3;73.5;0;1024.55;;
19/03/2017;2017;3;19;12.25;12.6;11.5;76.25;0;1021.325;;
20/03/2017;2017;3;20;12.3;13.6;10.8;68.25;0;1017.95;;
21/03/2017;2017;3;21;11.1;12.2;9.6;75.25;8.4;1018.425;;
22/03/2017;2017;3;22;9.05;10.8;7.6;61.75;3;1010.3;;
23/03/2017;2017;3;23;7.35;10.2;4.8;67.5;2.9;1007.9;;
24/03/2017;2017;3;24;8.85;12;5.8;73;0;1013.325;;
25/03/2017;2017;3;25;8.7;10;7.8;84.25;5.3;1013.75;;
26/03/2017;2017;3;26;12.05;17.6;7.2;67.25;0;1008.375;;
27/03/2017;2017;3;27;14.5;16.2;13;61;0;1011.275;;
28/03/2017;2017;3;28;14.7;17;12.8;62.5;0;1021.025;;
29/03/2017;2017;3;29;16.45;18.6;14.4;57;0;1021.55;;
30/03/2017;2017;3;30;15.9;19.2;14;68.75;0;1016.95;;
31/03/2017;2017;3;31;14.5;16;13;74.5;0.6;1016.75;;
01/04/2017;2017;4;1;13.25;15.4;12;62.25;1.2;1020.875;;
02/04/2017;2017;4;2;12.225;13.4;10.3;72.25;0.9;1024.725;;
03/04/2017;2017;4;3;12.3;14.8;9.2;72.75;0;1024.35;;
04/04/2017;2017;4;4;12.65;14.4;10.8;78;0;1027.75;;
05/04/2017;2017;4;5;13.45;15.6;11.4;76.5;0.1;1027.85;;
06/04/2017;2017;4;6;13.75;15.8;11.4;77.5;0;1025.35;;
07/04/2017;2017;4;7;13.3;15.4;10.2;79;0;1020.125;;
08/04/2017;2017;4;8;14.65;18.8;11;77.5;0;1016.275;;
09/04/2017;2017;4;9;13.25;14.6;11.8;80.25;0;1019.4;;
10/04/2017;2017;4;10;13.7;14.4;13;79.75;0;1024.625;;
11/04/2017;2017;4;11;14.75;16.4;13.6;68.5;0;1025.05;;
12/04/2017;2017;4;12;14.8;16.6;13;80.25;0;1020.8;;
13/04/2017;2017;4;13;14.4;16.6;12.6;81.25;0;1018.625;;
14/04/2017;2017;4;14;14.3;15;13.4;80.75;0.4;1020.4;;
15/04/2017;2017;4;15;14.025;14.6;13.2;79.25;2;1023.7;;
16/04/2017;2017;4;16;14.4;16.6;13;77.25;0;1023.95;;
17/04/2017;2017;4;17;14.95;16.8;13.2;78.25;0;1020.575;;
18/04/2017;2017;4;18;14.95;16.8;14;77.75;0;1021.25;;
19/04/2017;2017;4;19;13.85;14.4;13.2;62;0;1023.075;;
20/04/2017;2017;4;20;13;13.4;12.4;60.75;0;1023.075;;
21/04/2017;2017;4;21;13;15;10.2;68.25;0;1022.125;;
22/04/2017;2017;4;22;13.55;16.2;10;80.75;0;1020.175;;
23/04/2017;2017;4;23;13.45;15.4;11.8;88.75;0;1017.375;;
24/04/2017;2017;4;24;14.25;16.2;12.8;84.25;0;1013.9;;
25/04/2017;2017;4;25;12.75;13.6;11.2;86.75;2.2;1011.15;;
26/04/2017;2017;4;26;9.5;11.2;7.4;74.5;8.3;1016.225;;
27/04/2017;2017;4;27;8.95;12;5.8;67.75;2.2;1019.5;;
28/04/2017;2017;4;28;10.75;13.8;7.8;56.75;0;1018.45;;
29/04/2017;2017;4;29;12.55;15.4;9;69.75;0;1008.175;;
30/04/2017;2017;4;30;10.5;12.2;8.2;75.5;6;1006;;
01/05/2017;2017;5;1;13.05;17.2;9.6;58.25;0;1017.675;;
02/05/2017;2017;5;2;14.95;16;13.8;72.5;0;1019.7;;
03/05/2017;2017;5;3;14.35;16.2;12;81.75;0;1016.125;;
04/05/2017;2017;5;4;14.3;15.2;13.6;85;0;1009.975;;
05/05/2017;2017;5;5;14.7;15.6;14;86;4.6;1003.5;;
06/05/2017;2017;5;6;15.1;17.6;12.2;67.5;0;1013.275;;
07/05/2017;2017;5;7;15.65;17.8;14.4;76;0;1020.55;;
08/05/2017;2017;5;8;14.7;15.6;14.2;79.25;0;1019.05;;
09/05/2017;2017;5;9;14.35;14.8;14;83.25;0;1009.2;;
10/05/2017;2017;5;10;14.95;16.4;13.2;85.25;1.2;1000;;
11/05/2017;2017;5;11;15.9;17.4;15;78.75;2.1;993.425;;
12/05/2017;2017;5;12;15.75;16.8;15.2;83.75;2.9;1000.95;;
13/05/2017;2017;5;13;15.3;17.6;13.4;80.5;0.2;1012.375;;
14/05/2017;2017;5;14;15.85;18;14;81.5;0;1020.75;;
15/05/2017;2017;5;15;18.6;20.8;15.8;70;0;1024.15;;
16/05/2017;2017;5;16;18.9;21;17;79;0;1023.45;;
17/05/2017;2017;5;17;16.5;17.9;14.4;94.25;12.7;1018.975;;
18/05/2017;2017;5;18;13.375;14.6;11.8;75.5;3;1019.4;;
19/05/2017;2017;5;19;14.525;16.8;11.8;65.75;0.1;1021.2;;
20/05/2017;2017;5;20;16.1;17.6;14.6;73.5;0;1023.025;;
21/05/2017;2017;5;21;16.25;18.5;14.3;78.5;0;1013.6;;
22/05/2017;2017;5;22;17.35;20;15.4;77;0;1016.975;;
23/05/2017;2017;5;23;16.25;17.8;15;79.75;0;1022;;
24/05/2017;2017;5;24;16.5;18;15.4;87.5;0;1018.275;;
25/05/2017;2017;5;25;19.5;22.4;16;78.5;0;1011.875;;
26/05/2017;2017;5;26;19;21.3;17.5;84.25;5.8;1011.6;;
27/05/2017;2017;5;27;16.725;18.5;15.1;92.5;0;1013.3;;
28/05/2017;2017;5;28;17.675;19.3;16.6;88.5;0;1013.225;;
29/05/2017;2017;5;29;17.425;18;16.8;87.5;0.4;1014.75;;
30/05/2017;2017;5;30;18.25;19.3;17.1;85.25;0;1017.675;;
31/05/2017;2017;5;31;17.975;19.8;16.6;86;0;1018.525;;
01/06/2017;2017;6;1;17.9;19;16.8;90;0.1;1017.825;;
02/06/2017;2017;6;2;17.625;19;16.6;80.25;0;1018.6;;
03/06/2017;2017;6;3;16.325;16.8;15.4;78.5;9.6;1020.425;;
04/06/2017;2017;6;4;16.225;18.1;14.5;72.5;0;1021.175;;
05/06/2017;2017;6;5;16.875;20.2;12.8;70.5;0;1015.775;;
06/06/2017;2017;6;6;16.725;18.2;15.2;68.25;0.3;1017.9;;
07/06/2017;2017;6;7;17.425;19.7;15.4;71.25;0;1019.825;;
08/06/2017;2017;6;8;18.1;19.5;16.9;79;0.6;1013.975;;
09/06/2017;2017;6;9;19.05;20.4;18.2;81;0;1016.175;;
10/06/2017;2017;6;10;19.55;21;18;78;0;1017.6;;
11/06/2017;2017;6;11;18.625;19.4;17.7;89.75;0.3;1019.5;;
12/06/2017;2017;6;12;17.975;19;16.8;89.25;0.4;1019.525;;
13/06/2017;2017;6;13;18.675;19.4;17.8;88;0.2;1014.5;;
14/06/2017;2017;6;14;18.35;19.4;16.8;88.25;0.8;1014.875;;
15/06/2017;2017;6;15;17.925;19;16.8;82.75;0.3;1020.375;;
16/06/2017;2017;6;16;19;20.5;18.1;84.75;0;1023.075;;
17/06/2017;2017;6;17;19.55;21.4;18.2;85.5;0;1019.25;;
18/06/2017;2017;6;18;20.15;22;18.4;85;0;1013.7;;
19/06/2017;2017;6;19;22.15;25.2;17.8;76.5;0;1012.375;;
20/06/2017;2017;6;20;23.1;24.8;21.4;69.75;0;1014.6;;
21/06/2017;2017;6;21;24.45;29.2;21;68.5;0;1013.55;;
22/06/2017;2017;6;22;20.275;21.2;19.2;80.75;0;1018.325;;
23/06/2017;2017;6;23;19.9;20.4;19.2;79.25;-0.3;1022.8;;
24/06/2017;2017;6;24;19.85;20.6;19.2;80;0;1022.15;;
25/06/2017;2017;6;25;19.3;20.7;18.1;87;0;1017.15;;
26/06/2017;2017;6;26;19.55;20.3;18.6;85.25;7.1;1011.3;;
27/06/2017;2017;6;27;18.525;20.7;17.6;86.5;17.2;1009.55;;
28/06/2017;2017;6;28;18.575;20.6;17.6;78.5;1.5;1006.525;;
29/06/2017;2017;6;29;16.8;19;15.2;67.5;3.6;1011.05;;
30/06/2017;2017;6;30;15.65;18;13.4;77.5;18;1018.1;;
01/07/2017;2017;7;1;16.95;19.4;14.6;67.75;0.7;1026.2;;
02/07/2017;2017;7;2;18;20.6;15.8;77.75;0;1027.3;;
03/07/2017;2017;7;3;19.25;21.2;17.8;82.5;0;1023.225;;
04/07/2017;2017;7;4;19.3;21;18;87;0;1014.225;;
05/07/2017;2017;7;5;19.5;20.4;18.4;82.75;0;1012.625;;
06/07/2017;2017;7;6;19.45;20.5;18.6;79;0;1014.9;;
07/07/2017;2017;7;7;19.55;21;18.8;87.25;0.1;1017.525;;
08/07/2017;2017;7;8;19.475;20;18.9;89.5;0;1018.075;;
09/07/2017;2017;7;9;18.8;19.4;18.4;89.25;0.2;1016;;
10/07/2017;2017;7;10;18.4;18.6;18.2;89.5;8.4;1016.45;;
11/07/2017;2017;7;11;19.8;21.7;17.8;71;0;1016.35;;
12/07/2017;2017;7;12;19.425;19.8;18.8;87;0.2;1019.7;;
13/07/2017;2017;7;13;19.6;20;19.2;86.25;0;1022.1;;
14/07/2017;2017;7;14;20.5;22.4;19.2;76.25;0;1022.775;;
15/07/2017;2017;7;15;20.175;22.1;18.9;76.25;0;1022.325;;
16/07/2017;2017;7;16;21.125;23;19.7;82.5;0;1020.075;;
17/07/2017;2017;7;17;21.35;22.6;20;85.5;0;1014.275;;
18/07/2017;2017;7;18;20.05;20.4;19.4;84.75;0;1009.575;;
19/07/2017;2017;7;19;20.5;21.8;19.6;78.5;0.1;1012.2;;
20/07/2017;2017;7;20;18.35;18.8;17.4;72.5;0;1017.55;;
21/07/2017;2017;7;21;19.35;21.4;17;67;0;1014.075;;
22/07/2017;2017;7;22;19.075;20.3;18;75;0;1015.275;;
23/07/2017;2017;7;23;20.15;22.4;18;70.75;0;1020.625;;
24/07/2017;2017;7;24;19.35;20.2;18.4;84.25;5.2;1023.2;;
25/07/2017;2017;7;25;19.25;21;17.6;74.75;-0.3;1022.1;;
26/07/2017;2017;7;26;19.4;21.1;18;75.75;0;1017.675;;
27/07/2017;2017;7;27;19.95;22.4;18.4;86.75;0;1015.55;;
