Fecha;Valor
01-01-2011;7.63
02-01-2011;7.40
03-01-2011;7.12
04-01-2011;8.81
05-01-2011;15.28
06-01-2011;36.14
07-01-2011;37.30
08-01-2011;28.19
09-01-2011;23.95
10-01-2011;20.25
11-01-2011;18.39
12-01-2011;16.57
13-01-2011;15.16
14-01-2011;13.95
15-01-2011;12.84
16-01-2011;11.98
17-01-2011;11.62
18-01-2011;11.44
19-01-2011;10.89
20-01-2011;10.27
21-01-2011;9.74
22-01-2011;9.24
23-01-2011;8.82
24-01-2011;8.35
25-01-2011;7.87
26-01-2011;7.57
27-01-2011;7.31
28-01-2011;6.93
29-01-2011;6.66
30-01-2011;6.26
31-01-2011;5.96
01-02-2011;5.64
02-02-2011;5.54
03-02-2011;5.44
04-02-2011;5.32
05-02-2011;5.23
06-02-2011;5.12
07-02-2011;5.03
08-02-2011;4.95
09-02-2011;4.82
10-02-2011;4.63
11-02-2011;4.46
12-02-2011;4.36
13-02-2011;4.36
14-02-2011;4.29
15-02-2011;4.55
16-02-2011;4.88
17-02-2011;5.78
18-02-2011;5.88
19-02-2011;8.06
20-02-2011;8.70
21-02-2011;10.98
22-02-2011;17.13
23-02-2011;13.91
24-02-2011;12.06
25-02-2011;11.13
26-02-2011;10.57
27-02-2011;10.15
28-02-2011;9.50
01-03-2011;8.87
02-03-2011;8.33
03-03-2011;7.78
04-03-2011;7.35
05-03-2011;7.11
06-03-2011;6.81
07-03-2011;6.56
08-03-2011;6.34
09-03-2011;6.17
10-03-2011;6.00
11-03-2011;5.91
12-03-2011;5.89
13-03-2011;5.79
14-03-2011;5.77
15-03-2011;6.86
16-03-2011;6.62
17-03-2011;7.19
18-03-2011;6.90
19-03-2011;6.59
20-03-2011;6.31
21-03-2011;6.09
22-03-2011;5.81
23-03-2011;5.65
24-03-2011;5.58
25-03-2011;5.66
26-03-2011;6.05
27-03-2011;7.97
28-03-2011;8.95
29-03-2011;8.27
30-03-2011;9.38
31-03-2011;8.91
01-04-2011;8.59
02-04-2011;8.41
03-04-2011;8.05
04-04-2011;7.55
05-04-2011;7.15
06-04-2011;6.84
07-04-2011;6.53
08-04-2011;6.24
09-04-2011;5.89
10-04-2011;5.61
11-04-2011;5.50
12-04-2011;5.40
13-04-2011;
14-04-2011;5.57
15-04-2011;5.45
16-04-2011;5.25
17-04-2011;5.16
18-04-2011;5.08
19-04-2011;5.15
20-04-2011;5.21
21-04-2011;5.13
22-04-2011;5.21
23-04-2011;5.16
24-04-2011;5.00
25-04-2011;4.87
26-04-2011;4.72
27-04-2011;4.60
28-04-2011;4.47
29-04-2011;4.36
30-04-2011;4.66
01-05-2011;4.78
02-05-2011;5.00
03-05-2011;4.68
04-05-2011;4.47
05-05-2011;4.33
06-05-2011;4.31
07-05-2011;4.25
08-05-2011;4.32
09-05-2011;4.15
10-05-2011;3.96
11-05-2011;3.93
12-05-2011;3.93
13-05-2011;3.89
14-05-2011;3.72
15-05-2011;3.64
16-05-2011;3.56
17-05-2011;3.47
18-05-2011;3.68
19-05-2011;3.71
20-05-2011;3.50
21-05-2011;3.42
22-05-2011;3.27
23-05-2011;3.24
24-05-2011;3.25
25-05-2011;3.10
26-05-2011;3.03
27-05-2011;2.97
28-05-2011;2.92
29-05-2011;2.95
30-05-2011;3.22
31-05-2011;3.04
01-06-2011;2.90
02-06-2011;2.80
03-06-2011;2.72
04-06-2011;2.64
05-06-2011;2.71
06-06-2011;2.96
07-06-2011;2.78
08-06-2011;2.68
09-06-2011;2.64
10-06-2011;2.58
11-06-2011;2.55
12-06-2011;2.51
13-06-2011;2.49
14-06-2011;2.42
15-06-2011;2.34
16-06-2011;2.28
17-06-2011;2.26
18-06-2011;2.26
19-06-2011;2.30
20-06-2011;2.27
21-06-2011;2.12
22-06-2011;2.05
23-06-2011;2.01
24-06-2011;1.97
25-06-2011;1.96
26-06-2011;1.91
27-06-2011;1.86
28-06-2011;1.86
29-06-2011;1.83
30-06-2011;1.85
01-07-2011;1.82
02-07-2011;1.78
03-07-2011;1.97
04-07-2011;1.87
05-07-2011;1.78
06-07-2011;1.77
07-07-2011;1.75
08-07-2011;1.65
09-07-2011;1.84
10-07-2011;2.05
11-07-2011;1.82
12-07-2011;1.83
13-07-2011;1.91
14-07-2011;1.86
15-07-2011;1.78
16-07-2011;1.72
17-07-2011;1.73
18-07-2011;1.73
19-07-2011;1.83
20-07-2011;1.79
