date;value
2018-11-01;234.1
2018-11-02;140.4
2018-11-03;134.6
2018-11-04;171.5
2018-11-05;106.8
2018-11-06;115.7
2018-11-07;67.2
2018-11-08;103.1
2018-11-09;115.7
2018-11-10;60.7
2018-11-11;56.7
2018-11-12;64.9
2018-11-13;84.4
2018-11-14;101.0
2018-11-15;117.5
2018-11-16;127.1
2018-11-17;135.9
2018-11-18;142.8
2018-11-19;144.1
2018-11-20;141.1
2018-11-21;151.4
2018-11-22;144.9
2018-11-23;145.2
2018-11-24;129.6
2018-11-25;86.1
2018-11-26;98.6
2018-11-27;110.1
2018-11-28;117.5
2018-11-29;120.1
2018-11-30;121.9
2018-12-01;125.6
2018-12-02;128.8
2018-12-03;109.0
2018-12-04;91.0
2018-12-05;102.1
2018-12-06;107.3
2018-12-07;114.2
2018-12-08;120.5
2018-12-09;124.4
2018-12-10;128.5
2018-12-11;131.4
2018-12-12;134.2
2018-12-13;128.7
2018-12-14;133.0
2018-12-15;120.7
2018-12-16;86.2
2018-12-17;113.6
2018-12-18;114.0
2018-12-19;106.1
2018-12-20;112.8
2018-12-21;113.4
2018-12-22;112.4
2018-12-23;114.6
2018-12-24;117.6
2018-12-25;120.9
2018-12-26;124.1
2018-12-27;127.7
2018-12-28;131.1
2018-12-29;134.4
2018-12-30;137.4
2018-12-31;140.8
2019-01-01;146.0
2019-01-02;149.8
2019-01-03;153.0
2019-01-04;156.5
2019-01-05;159.7
2019-01-06;162.7
2019-01-07;166.7
2019-01-08;169.9
2019-01-09;171.0
2019-01-10;173.5
2019-01-11;176.3
2019-01-12;179.0
2019-01-13;180.3
2019-01-14;177.3
2019-01-15;180.6
2019-01-16;183.1
2019-01-17;182.8
2019-01-18;185.3
2019-01-19;179.1
2019-01-20;166.2
2019-01-21;174.0
2019-01-22;173.4
2019-01-23;77.4
2019-01-24;67.8
2019-01-25;81.3
2019-01-26;96.5
2019-01-27;104.0
2019-01-28;105.7
2019-01-29;104.4
2019-01-30;104.6
2019-01-31;65.1
2019-02-01;77.1
2019-02-02;96.3
2019-02-03;108.1
2019-02-04;116.0
2019-02-05;120.3
2019-02-06;122.1
2019-02-07;121.8
2019-02-08;123.5
2019-02-09;125.7
2019-02-10;110.3
2019-02-11;112.5
2019-02-12;118.4
2019-02-13;134.3
2019-02-14;151.0
2019-02-15;142.1
2019-02-16;151.4
2019-02-17;154.5
2019-02-18;155.5
2019-02-19;158.1
2019-02-20;162.1
2019-02-21;165.5
2019-02-22;167.6
2019-02-23;169.7
2019-02-24;171.7
2019-02-25;172.3
2019-02-26;173.3
2019-02-27;172.5
2019-02-28;170.7
2019-03-01;144.0
2019-03-02;157.9
2019-03-03;162.1
2019-03-04;155.8
2019-03-05;159.3
2019-03-06;115.6
2019-03-07;114.5
2019-03-08;119.5
2019-03-09;121.8
2019-03-10;122.2
2019-03-11;123.4
2019-03-12;127.6
2019-03-13;128.8
2019-03-14;133.1
2019-03-15;137.0
2019-03-16;142.0
2019-03-17;144.1
2019-03-18;148.0
2019-03-19;151.1
2019-03-20;153.8
2019-03-21;156.6
2019-03-22;160.8
2019-03-23;163.7
2019-03-24;166.3
2019-03-25;168.4
2019-03-26;170.5
2019-03-27;174.1
2019-03-28;176.6
2019-03-29;179.3
2019-03-30;181.8
2019-03-31;185.1
2019-04-01;186.1
2019-04-02;188.0
2019-04-03;187.6
2019-04-04;186.0
2019-04-05;180.8
2019-04-06;177.9
2019-04-07;179.3
2019-04-08;150.9
2019-04-09;155.9
2019-04-10;132.3
2019-04-11;134.2
2019-04-12;144.1
2019-04-13;144.3
2019-04-14;139.3
2019-04-15;121.6
2019-04-16;117.2
2019-04-17;124.5
2019-04-18;114.4
2019-04-19;121.5
2019-04-20;128.4
2019-04-21;134.1
2019-04-22;137.3
2019-04-23;137.4
2019-04-24;135.0
2019-04-25;118.4
2019-04-26;101.8
2019-04-27;110.7
2019-04-28;109.5
2019-04-29;112.1
2019-04-30;115.6
2019-05-01;120.3
2019-05-02;125.8
2019-05-03;132.5
2019-05-04;137.2
2019-05-05;141.1
2019-05-06;144.1
2019-05-07;148.7
2019-05-08;151.1
2019-05-09;151.7
2019-05-10;137.7
2019-05-11;153.8
2019-05-12;158.6
2019-05-13;162.4
2019-05-14;168.3
2019-05-15;172.1
2019-05-16;173.9
2019-05-17;164.6
2019-05-18;154.3
2019-05-19;150.5
2019-05-20;153.4
2019-05-21;176.8
2019-05-22;200.8
2019-05-23;204.6
2019-05-24;208.8
2019-05-25;212.9
2019-05-26;216.0
2019-05-27;219.0
2019-05-28;222.8
2019-05-29;226.5
2019-05-30;230.7
2019-05-31;235.0
2019-06-01;238.2
2019-06-02;241.6
2019-06-03;245.3
2019-06-04;246.7
2019-06-05;240.6
2019-06-06;237.1
2019-06-07;200.5
2019-06-08;220.2
2019-06-09;226.6
2019-06-10;232.2
2019-06-11;234.7
2019-06-12;238.3
2019-06-13;243.4
2019-06-14;249.2
2019-06-15;253.0
2019-06-16;260.7
2019-06-17;266.1
2019-06-18;266.2
2019-06-19;254.1
2019-06-20;248.8
2019-06-21;269.3
2019-06-22;263.7
2019-06-23;228.2
2019-06-24;245.0
2019-06-25;260.1
