date;value
2011-01-01;174.6
2011-01-02;177.5
2011-01-03;177.2
2011-01-04;163.3
2011-01-05;124.9
2011-01-06;92.2
2011-01-07;130.8
2011-01-08;117.5
2011-01-09;105.1
2011-01-10;106.5
2011-01-11;111.2
2011-01-12;115.8
2011-01-13;120.6
2011-01-14;117.9
2011-01-15;119.1
2011-01-16;122.8
2011-01-17;125.0
2011-01-18;127.8
2011-01-19;151.0
2011-01-20;188.8
2011-01-21;194.9
2011-01-22;200.6
2011-01-23;205.7
2011-01-24;211.7
2011-01-25;217.1
2011-01-26;222.2
2011-01-27;225.6
2011-01-28;231.0
2011-01-29;235.3
2011-01-30;240.6
2011-01-31;245.5
2011-02-01;251.4
2011-02-02;256.4
2011-02-03;260.3
2011-02-04;264.9
2011-02-05;269.3
2011-02-06;273.0
2011-02-07;276.7
2011-02-08;280.5
2011-02-09;284.1
2011-02-10;287.1
2011-02-11;291.7
2011-02-12;294.2
2011-02-13;293.4
2011-02-14;294.4
2011-02-15;257.4
2011-02-16;198.0
2011-02-17;195.6
2011-02-18;188.6
2011-02-19;160.7
2011-02-20;161.2
2011-02-21;151.4
2011-02-22;102.3
2011-02-23;117.5
2011-02-24;124.8
2011-02-25;127.4
2011-02-26;127.5
2011-02-27;127.8
2011-02-28;131.6
2011-03-01;135.5
2011-03-02;139.6
2011-03-03;143.5
2011-03-04;149.4
2011-03-05;168.1
2011-03-06;192.5
2011-03-07;209.8
2011-03-08;216.9
2011-03-09;215.6
2011-03-10;213.2
2011-03-11;211.1
2011-03-12;208.5
2011-03-13;206.5
2011-03-14;206.3
2011-03-15;181.6
2011-03-16;182.6
2011-03-17;167.8
2011-03-18;169.6
2011-03-19;173.4
2011-03-20;175.9
2011-03-21;177.6
2011-03-22;186.4
2011-03-23;188.4
2011-03-24;187.2
2011-03-25;180.7
2011-03-26;171.3
2011-03-27;148.8
2011-03-28;133.7
2011-03-29;142.1
2011-03-30;127.9
2011-03-31;130.1
2011-04-01;133.1
2011-04-02;134.5
2011-04-03;137.6
2011-04-04;142.6
2011-04-05;146.9
2011-04-06;150.8
2011-04-07;155.9
2011-04-08;158.1
2011-04-09;159.7
2011-04-10;162.8
2011-04-11;164.6
2011-04-12;167.7
2011-04-13;171.4
2011-04-14;173.3
2011-04-15;177.7
2011-04-16;183.9
2011-04-17;186.1
2011-04-18;182.2
2011-04-19;181.7
2011-04-20;179.0
2011-04-21;180.0
2011-04-22;176.5
2011-04-23;185.5
2011-04-24;189.0
2011-04-25;189.4
2011-04-26;178.5
2011-04-27;184.4
2011-04-28;186.1
2011-04-29;193.6
2011-04-30;192.1
2011-05-01;193.4
2011-05-02;187.5
2011-05-03;191.4
2011-05-04;193.5
2011-05-05;196.4
2011-05-06;196.3
2011-05-07;199.3
2011-05-08;199.0
2011-05-09;202.3
2011-05-10;201.8
2011-05-11;203.2
2011-05-12;218.1
2011-05-13;211.3
2011-05-14;217.2
2011-05-15;224.2
2011-05-16;224.7
2011-05-17;220.2
2011-05-18;219.0
2011-05-19;243.4
2011-05-20;242.9
2011-05-21;244.2
2011-05-22;260.5
2011-05-23;261.7
2011-05-24;245.8
2011-05-25;252.7
2011-05-26;254.3
2011-05-27;258.4
2011-05-28;259.3
2011-05-29;269.3
2011-05-30;255.3
2011-05-31;266.9
2011-06-01;265.2
2011-06-02;268.7
2011-06-03;272.0
2011-06-04;285.7
2011-06-05;289.6
2011-06-06;287.4
2011-06-07;296.6
2011-06-08;294.9
2011-06-09;294.2
2011-06-10;293.3
2011-06-11;293.1
2011-06-12;299.9
2011-06-13;300.3
2011-06-14;
2011-06-15;
2011-06-16;
2011-06-17;
2011-06-18;
2011-06-19;
2011-06-20;
2011-06-21;260.0
2011-06-22;256.9
2011-06-23;257.9
2011-06-24;260.6
2011-06-25;266.4
2011-06-26;280.5
2011-06-27;281.6
2011-06-28;277.1
2011-06-29;275.2
2011-06-30;271.4
2011-07-01;273.9
2011-07-02;279.9
2011-07-03;278.1
2011-07-04;293.4
2011-07-05;289.4
2011-07-06;282.9
2011-07-07;282.5
2011-07-08;294.5
2011-07-09;281.4
2011-07-10;244.3
2011-07-11;270.7
2011-07-12;273.4
2011-07-13;254.2
2011-07-14;261.3
2011-07-15;272.0
2011-07-16;274.4
2011-07-17;274.6
2011-07-18;273.9
2011-07-19;267.3
2011-07-20;267.3
2011-07-21;275.8
2011-07-22;278.4
2011-07-23;278.4
2011-07-24;284.4
2011-07-25;279.7
2011-07-26;281.9
2011-07-27;290.5
2011-07-28;298.9
2011-07-29;301.7
2011-07-30;304.0
2011-07-31;304.5
2011-08-01;302.9
2011-08-02;294.1
2011-08-03;288.5
2011-08-04;310.2
2011-08-05;329.6
2011-08-06;328.3
2011-08-07;324.1
2011-08-08;339.7
2011-08-09;342.6
2011-08-10;352.6
2011-08-11;357.7
2011-08-12;360.9
2011-08-13;362.7
2011-08-14;360.3
2011-08-15;370.1
2011-08-16;361.1
2011-08-17;360.5
2011-08-18;392.2
2011-08-19;371.6
2011-08-20;386.2
2011-08-21;380.0
2011-08-22;348.7
2011-08-23;334.4
2011-08-24;340.2
2011-08-25;346.3
2011-08-26;324.4
2011-08-27;337.0
2011-08-28;369.4
2011-08-29;373.7
2011-08-30;372.2
2011-08-31;358.9
2011-09-01;340.9
2011-09-02;317.8
2011-09-03;347.8
2011-09-04;335.6
2011-09-05;339.0
2011-09-06;352.0
2011-09-07;366.9
2011-09-08;366.3
2011-09-09;368.1
2011-09-10;381.5
2011-09-11;384.6
2011-09-12;379.2
2011-09-13;384.5
2011-09-14;387.0
2011-09-15;388.1
2011-09-16;383.2
2011-09-17;386.9
2011-09-18;402.0
2011-09-19;406.2
2011-09-20;398.1
2011-09-21;398.9
2011-09-22;404.6
2011-09-23;
2011-09-24;410.4
2011-09-25;431.6
2011-09-26;437.9
2011-09-27;429.1
2011-09-28;434.5
2011-09-29;419.8
2011-09-30;428.8
2011-10-01;472.5
2011-10-02;519.5
2011-10-03;567.0
2011-10-04;586.0
2011-10-05;589.1
2011-10-06;596.9
2011-10-07;570.8
2011-10-08;591.9
2011-10-09;613.2
2011-10-10;638.9
2011-10-11;637.0
2011-10-12;633.1
2011-10-13;641.7
2011-10-14;642.2
2011-10-15;636.0
2011-10-16;640.9
2011-10-17;635.5
2011-10-18;630.3
2011-10-19;624.7
2011-10-20;602.3
2011-10-21;594.5
2011-10-22;590.3
2011-10-23;587.8
2011-10-24;315.5
2011-10-25;361.8
2011-10-26;367.4
2011-10-27;144.3
2011-10-28;218.4
2011-10-29;312.8
2011-10-30;366.4
2011-10-31;396.3
2011-11-01;397.9
2011-11-02;413.1
2011-11-03;322.9
2011-11-04;306.8
2011-11-05;314.2
2011-11-06;301.3
2011-11-07;308.5
2011-11-08;329.8
2011-11-09;340.9
2011-11-10;326.3
2011-11-11;261.2
2011-11-12;175.3
2011-11-13;221.5
2011-11-14;244.4
2011-11-15;248.4
2011-11-16;208.5
2011-11-17;214.0
2011-11-18;222.5
2011-11-19;202.3
2011-11-20;235.4
2011-11-21;238.3
2011-11-22;234.6
2011-11-23;234.6
2011-11-24;242.4
2011-11-25;247.8
2011-11-26;254.1
2011-11-27;261.9
2011-11-28;267.1
2011-11-29;267.2
2011-11-30;266.3
2011-12-01;271.2
2011-12-02;244.0
2011-12-03;259.3
2011-12-04;263.7
2011-12-05;227.5
2011-12-06;165.2
2011-12-07;185.8
2011-12-08;199.6
2011-12-09;209.8
2011-12-10;198.5
2011-12-11;200.5
2011-12-12;201.9
2011-12-13;203.5
2011-12-14;169.3
2011-12-15;177.6
2011-12-16;144.5
2011-12-17;101.3
2011-12-18;120.8
2011-12-19;131.0
2011-12-20;131.4
2011-12-21;128.9
2011-12-22;136.3
2011-12-23;142.3
2011-12-24;147.9
2011-12-25;155.0
2011-12-26;160.7
2011-12-27;166.0
2011-12-28;170.8
2011-12-29;173.7
2011-12-30;179.4
2011-12-31;182.9
2012-01-01;185.6
2012-01-02;165.6
2012-01-03;175.4
2012-01-04;174.6
2012-01-05;175.8
2012-01-06;180.1
2012-01-07;182.9
2012-01-08;186.2
2012-01-09;189.5
2012-01-10;190.9
2012-01-11;176.2
2012-01-12;170.7
2012-01-13;198.5
2012-01-14;203.2
2012-01-15;204.9
2012-01-16;208.3
2012-01-17;210.7
2012-01-18;213.4
2012-01-19;214.1
2012-01-20;218.6
2012-01-21;220.6
2012-01-22;225.5
2012-01-23;228.6
2012-01-24;230.8
2012-01-25;232.5
2012-01-26;231.8
2012-01-27;238.2
2012-01-28;237.1
2012-01-29;240.2
2012-01-30;244.2
2012-01-31;239.8
2012-02-01;238.3
2012-02-02;243.0
2012-02-03;253.1
2012-02-04;253.0
2012-02-05;249.7
2012-02-06;174.7
2012-02-07;130.2
2012-02-08;143.1
2012-02-09;163.6
2012-02-10;171.3
2012-02-11;176.6
2012-02-12;187.8
2012-02-13;192.6
2012-02-14;187.7
2012-02-15;193.2
2012-02-16;192.4
2012-02-17;192.1
2012-02-18;195.2
2012-02-19;201.9
2012-02-20;206.4
2012-02-21;199.9
2012-02-22;161.2
2012-02-23;144.9
2012-02-24;141.9
2012-02-25;140.4
2012-02-26;144.2
2012-02-27;163.5
2012-02-28;205.5
2012-02-29;324.1
2012-03-01;235.0
2012-03-02;166.8
2012-03-03;151.2
2012-03-04;145.2
2012-03-05;160.6
2012-03-06;284.9
2012-03-07;172.8
2012-03-08;151.6
2012-03-09;151.4
2012-03-10;152.8
2012-03-11;153.4
2012-03-12;156.2
2012-03-13;157.6
2012-03-14;158.5
2012-03-15;159.3
2012-03-16;159.8
2012-03-17;158.6
2012-03-18;200.0
2012-03-19;221.4
2012-03-20;221.0
2012-03-21;215.7
2012-03-22;215.2
2012-03-23;217.0
2012-03-24;220.8
2012-03-25;233.2
2012-03-26;237.8
2012-03-27;238.6
2012-03-28;213.2
2012-03-29;230.8
2012-03-30;258.7
2012-03-31;278.3
2012-04-01;300.5
2012-04-02;313.2
2012-04-03;304.9
2012-04-04;323.6
2012-04-05;338.8
2012-04-06;344.2
2012-04-07;335.2
2012-04-08;330.9
2012-04-09;340.7
2012-04-10;333.5
2012-04-11;313.4
2012-04-12;283.5
2012-04-13;278.7
2012-04-14;219.7
2012-04-15;187.2
2012-04-16;194.7
2012-04-17;189.5
2012-04-18;144.3
2012-04-19;93.8
2012-04-20;96.7
2012-04-21;85.4
