Fecha;Valor
01-01-2011;12.52
02-01-2011;12.25
03-01-2011;12.61
04-01-2011;12.35
05-01-2011;12.18
06-01-2011;12.05
07-01-2011;12.14
08-01-2011;12.16
09-01-2011;12.34
10-01-2011;12.57
11-01-2011;12.23
12-01-2011;12.22
13-01-2011;12.22
14-01-2011;12.55
15-01-2011;12.48
16-01-2011;12.60
17-01-2011;12.29
18-01-2011;12.19
19-01-2011;12.03
20-01-2011;12.13
21-01-2011;12.57
22-01-2011;12.85
23-01-2011;12.68
24-01-2011;12.87
25-01-2011;12.84
26-01-2011;12.70
27-01-2011;12.24
28-01-2011;12.18
29-01-2011;12.20
30-01-2011;12.30
31-01-2011;12.54
01-02-2011;12.81
02-02-2011;12.94
03-02-2011;12.74
04-02-2011;12.71
05-02-2011;12.67
06-02-2011;12.52
07-02-2011;12.40
08-02-2011;12.33
09-02-2011;12.06
10-02-2011;11.91
11-02-2011;12.10
12-02-2011;11.94
13-02-2011;12.08
14-02-2011;12.24
15-02-2011;12.29
16-02-2011;12.38
17-02-2011;12.58
18-02-2011;12.51
19-02-2011;12.24
20-02-2011;12.31
21-02-2011;12.34
22-02-2011;12.23
23-02-2011;12.29
24-02-2011;12.28
25-02-2011;12.19
26-02-2011;12.12
27-02-2011;12.17
28-02-2011;12.36
01-03-2011;12.49
02-03-2011;12.43
03-03-2011;12.43
04-03-2011;12.48
05-03-2011;12.30
06-03-2011;12.32
07-03-2011;12.26
08-03-2011;12.11
09-03-2011;12.05
10-03-2011;11.96
11-03-2011;11.89
12-03-2011;11.66
13-03-2011;11.65
14-03-2011;11.64
15-03-2011;11.71
16-03-2011;11.86
17-03-2011;11.79
18-03-2011;12.13
19-03-2011;12.10
20-03-2011;11.87
21-03-2011;11.91
22-03-2011;12.03
23-03-2011;11.92
24-03-2011;11.90
25-03-2011;11.77
26-03-2011;11.56
27-03-2011;11.94
28-03-2011;12.07
29-03-2011;12.01
30-03-2011;11.81
31-03-2011;11.79
01-04-2011;11.53
02-04-2011;11.31
03-04-2011;11.57
04-04-2011;11.84
05-04-2011;11.56
06-04-2011;11.26
07-04-2011;11.22
08-04-2011;10.97
09-04-2011;10.97
10-04-2011;11.14
11-04-2011;11.21
12-04-2011;11.15
13-04-2011;11.06
14-04-2011;11.03
15-04-2011;11.27
16-04-2011;11.21
17-04-2011;11.09
18-04-2011;10.89
19-04-2011;10.85
20-04-2011;10.88
21-04-2011;10.94
22-04-2011;10.93
23-04-2011;11.10
24-04-2011;11.06
25-04-2011;11.10
26-04-2011;11.05
27-04-2011;11.06
28-04-2011;10.90
29-04-2011;10.78
30-04-2011;10.74
01-05-2011;10.85
02-05-2011;10.96
03-05-2011;10.94
04-05-2011;11.02
05-05-2011;10.90
06-05-2011;10.82
07-05-2011;10.76
08-05-2011;10.96
09-05-2011;10.97
10-05-2011;10.70
11-05-2011;10.53
12-05-2011;10.50
13-05-2011;10.53
14-05-2011;10.54
15-05-2011;11.00
16-05-2011;10.89
17-05-2011;10.81
18-05-2011;10.61
19-05-2011;10.63
20-05-2011;10.54
21-05-2011;10.41
22-05-2011;10.35
23-05-2011;10.28
24-05-2011;10.28
25-05-2011;10.23
26-05-2011;10.27
27-05-2011;10.36
28-05-2011;10.31
29-05-2011;10.27
30-05-2011;10.36
31-05-2011;10.51
01-06-2011;10.78
02-06-2011;10.73
03-06-2011;10.50
04-06-2011;10.30
05-06-2011;10.24
06-06-2011;10.27
07-06-2011;10.33
08-06-2011;10.63
09-06-2011;10.72
10-06-2011;10.60
11-06-2011;10.60
12-06-2011;10.35
13-06-2011;10.29
14-06-2011;10.18
15-06-2011;10.11
16-06-2011;10.28
17-06-2011;10.36
18-06-2011;10.43
19-06-2011;10.40
20-06-2011;10.11
21-06-2011;9.94
22-06-2011;9.98
23-06-2011;10.20
24-06-2011;10.09
25-06-2011;9.86
26-06-2011;9.67
27-06-2011;9.43
28-06-2011;9.46
29-06-2011;9.84
30-06-2011;9.92
01-07-2011;9.83
02-07-2011;9.64
03-07-2011;9.72
04-07-2011;9.72
05-07-2011;9.72
06-07-2011;9.77
07-07-2011;10.02
08-07-2011;10.24
09-07-2011;10.06
10-07-2011;9.90
11-07-2011;9.68
12-07-2011;9.75
13-07-2011;10.02
14-07-2011;10.02
15-07-2011;9.85
16-07-2011;9.67
17-07-2011;9.68
18-07-2011;10.02
19-07-2011;9.97
20-07-2011;10.02
21-07-2011;9.83
22-07-2011;9.83
23-07-2011;9.88
24-07-2011;9.82
25-07-2011;9.67
26-07-2011;9.52
27-07-2011;9.62
28-07-2011;9.64
29-07-2011;9.57
30-07-2011;9.48
31-07-2011;9.41
01-08-2011;9.34
02-08-2011;9.28
03-08-2011;9.45
04-08-2011;9.44
05-08-2011;9.37
06-08-2011;9.29
07-08-2011;9.49
08-08-2011;9.68
09-08-2011;9.73
10-08-2011;9.64
11-08-2011;9.48
12-08-2011;9.47
13-08-2011;9.38
14-08-2011;9.27
15-08-2011;9.27
16-08-2011;9.18
17-08-2011;9.06
18-08-2011;9.13
19-08-2011;9.16
20-08-2011;9.15
21-08-2011;9.20
22-08-2011;9.34
23-08-2011;9.48
24-08-2011;9.48
25-08-2011;9.48
26-08-2011;9.64
27-08-2011;9.98
28-08-2011;9.94
29-08-2011;9.80
30-08-2011;9.70
31-08-2011;9.56
01-09-2011;9.56
02-09-2011;9.55
03-09-2011;9.55
04-09-2011;9.59
05-09-2011;9.76
06-09-2011;9.86
07-09-2011;9.86
08-09-2011;9.72
09-09-2011;9.49
10-09-2011;9.49
11-09-2011;9.65
12-09-2011;9.70
13-09-2011;9.62
14-09-2011;9.45
15-09-2011;9.38
16-09-2011;9.35
17-09-2011;9.43
18-09-2011;9.62
19-09-2011;9.98
20-09-2011;9.96
21-09-2011;9.83
22-09-2011;9.82
23-09-2011;
24-09-2011;9.67
25-09-2011;9.78
26-09-2011;9.80
27-09-2011;9.78
28-09-2011;9.73
29-09-2011;9.67
30-09-2011;9.64
01-10-2011;9.69
02-10-2011;9.78
03-10-2011;9.86
04-10-2011;9.78
05-10-2011;9.72
06-10-2011;9.77
07-10-2011;9.89
08-10-2011;10.06
09-10-2011;10.16
10-10-2011;10.13
11-10-2011;10.07
12-10-2011;10.05
13-10-2011;10.02
14-10-2011;10.02
15-10-2011;10.07
16-10-2011;10.14
17-10-2011;10.17
18-10-2011;10.20
19-10-2011;10.27
20-10-2011;10.36
21-10-2011;10.55
22-10-2011;10.68
23-10-2011;10.48
24-10-2011;10.33
25-10-2011;10.61
26-10-2011;10.74
27-10-2011;10.84
28-10-2011;11.03
29-10-2011;11.22
30-10-2011;11.25
31-10-2011;11.11
01-11-2011;10.90
02-11-2011;10.70
03-11-2011;10.60
04-11-2011;10.75
05-11-2011;10.97
06-11-2011;11.16
07-11-2011;11.36
08-11-2011;11.36
09-11-2011;11.06
10-11-2011;10.93
11-11-2011;10.87
12-11-2011;10.92
13-11-2011;10.80
14-11-2011;10.76
15-11-2011;10.90
16-11-2011;11.13
17-11-2011;11.34
18-11-2011;11.52
19-11-2011;11.28
20-11-2011;11.15
21-11-2011;11.15
22-11-2011;11.25
23-11-2011;11.34
24-11-2011;11.51
25-11-2011;11.85
26-11-2011;12.06
27-11-2011;12.13
28-11-2011;12.16
29-11-2011;12.21
30-11-2011;11.81
01-12-2011;11.67
02-12-2011;11.66
03-12-2011;11.94
04-12-2011;11.83
05-12-2011;11.52
06-12-2011;11.56
07-12-2011;12.03
08-12-2011;12.22
09-12-2011;12.11
10-12-2011;11.68
11-12-2011;11.85
12-12-2011;11.89
13-12-2011;11.69
14-12-2011;11.62
15-12-2011;11.83
16-12-2011;11.64
17-12-2011;12.15
18-12-2011;12.28
19-12-2011;12.50
20-12-2011;12.34
21-12-2011;12.17
22-12-2011;12.27
23-12-2011;12.54
24-12-2011;12.40
25-12-2011;12.75
26-12-2011;12.87
27-12-2011;12.91
28-12-2011;12.89
29-12-2011;12.60
30-12-2011;12.91
31-12-2011;12.71
01-01-2012;12.10
02-01-2012;11.93
03-01-2012;12.13
04-01-2012;11.93
05-01-2012;12.25
06-01-2012;12.44
07-01-2012;12.36
08-01-2012;12.68
09-01-2012;12.93
10-01-2012;12.98
11-01-2012;13.03
12-01-2012;13.10
13-01-2012;13.05
14-01-2012;12.94
15-01-2012;12.67
16-01-2012;12.61
17-01-2012;12.82
18-01-2012;12.75
19-01-2012;12.59
20-01-2012;12.57
21-01-2012;12.48
22-01-2012;12.59
23-01-2012;12.59
24-01-2012;12.69
25-01-2012;12.86
26-01-2012;12.76
27-01-2012;12.64
28-01-2012;12.96
29-01-2012;13.05
30-01-2012;13.04
31-01-2012;13.08
01-02-2012;12.70
02-02-2012;12.74
03-02-2012;13.25
04-02-2012;13.62
05-02-2012;13.45
06-02-2012;12.68
07-02-2012;12.50
08-02-2012;12.98
09-02-2012;13.19
10-02-2012;13.26
11-02-2012;13.22
12-02-2012;13.49
13-02-2012;13.53
14-02-2012;13.00
15-02-2012;12.91
16-02-2012;12.88
17-02-2012;12.95
18-02-2012;13.05
19-02-2012;12.95
20-02-2012;12.94
21-02-2012;13.09
22-02-2012;13.05
23-02-2012;12.95
24-02-2012;12.75
25-02-2012;12.33
26-02-2012;12.20
27-02-2012;12.26
28-02-2012;12.38
29-02-2012;12.34
01-03-2012;12.15
02-03-2012;12.16
03-03-2012;12.15
04-03-2012;12.01
05-03-2012;12.28
06-03-2012;12.43
07-03-2012;12.15
08-03-2012;11.93
09-03-2012;12.03
10-03-2012;12.00
11-03-2012;11.87
12-03-2012;11.86
13-03-2012;11.85
14-03-2012;11.78
15-03-2012;11.70
16-03-2012;11.61
17-03-2012;11.59
18-03-2012;11.99
19-03-2012;12.36
20-03-2012;12.45
21-03-2012;12.43
22-03-2012;12.28
23-03-2012;12.06
24-03-2012;11.82
25-03-2012;11.53
26-03-2012;11.36
27-03-2012;11.37
28-03-2012;11.40
29-03-2012;11.44
30-03-2012;11.38
31-03-2012;11.25
01-04-2012;11.11
02-04-2012;11.04
03-04-2012;11.01
