date;value;year;month;day;week;startDate;endDate;weekOrder
2018-11-01 00:00:00;11.02;2018;11;1;0;-;-;0
2018-11-02 00:00:00;10.89;2018;11;2;0;-;-;0
2018-11-03 00:00:00;11.09;2018;11;3;0;-;-;0
2018-11-04 00:00:00;11.03;2018;11;4;0;-;-;0
2018-11-05 00:00:00;10.84;2018;11;5;1;2018 11 5;2018 11 11;1
2018-11-06 00:00:00;11.02;2018;11;6;1;-;-;1
2018-11-07 00:00:00;10.96;2018;11;7;1;-;-;1
2018-11-08 00:00:00;11.11;2018;11;8;1;-;-;1
2018-11-09 00:00:00;10.99;2018;11;9;1;-;-;1
2018-11-10 00:00:00;10.78;2018;11;10;1;-;-;1
2018-11-11 00:00:00;10.73;2018;11;11;1;-;-;1
2018-11-12 00:00:00;10.94;2018;11;12;2;2018 11 12;2018 11 18;2
2018-11-13 00:00:00;11.24;2018;11;13;2;-;-;2
2018-11-14 00:00:00;11.03;2018;11;14;2;-;-;2
2018-11-15 00:00:00;10.75;2018;11;15;2;-;-;2
2018-11-16 00:00:00;10.73;2018;11;16;2;-;-;2
2018-11-17 00:00:00;10.53;2018;11;17;2;-;-;2
2018-11-18 00:00:00;10.62;2018;11;18;2;-;-;2
2018-11-19 00:00:00;10.45;2018;11;19;3;2018 11 19;2018 11 25;3
2018-11-20 00:00:00;10.68;2018;11;20;3;-;-;3
2018-11-21 00:00:00;11.27;2018;11;21;3;-;-;3
2018-11-22 00:00:00;11.34;2018;11;22;3;-;-;3
2018-11-23 00:00:00;11.43;2018;11;23;3;-;-;3
2018-11-24 00:00:00;11.43;2018;11;24;3;-;-;3
2018-11-25 00:00:00;11.54;2018;11;25;3;-;-;3
2018-11-26 00:00:00;11.58;2018;11;26;4;2018 11 26;2018 12 1;4
2018-11-27 00:00:00;11.69;2018;11;27;4;-;-;4
2018-11-28 00:00:00;11.61;2018;11;28;4;-;-;4
2018-11-29 00:00:00;11.56;2018;11;29;4;-;-;4
2018-11-30 00:00:00;11.37;2018;11;30;4;-;-;4
2018-11-31 00:00:00;11.34;2018;11;31;4;-;-;4
2018-12-01 00:00:00;11.32;2018;12;1;4;-;-;4
2018-12-02 00:00:00;11.23;2018;12;2;5;2018 12 2;2018 12 8;1
2018-12-03 00:00:00;11.04;2018;12;3;5;-;-;1
2018-12-04 00:00:00;11.07;2018;12;4;5;-;-;1
2018-12-05 00:00:00;11.3;2018;12;5;5;-;-;1
2018-12-06 00:00:00;11.36;2018;12;6;5;-;-;1
2018-12-07 00:00:00;11.71;2018;12;7;5;-;-;1
2018-12-08 00:00:00;11.67;2018;12;8;5;-;-;1
2018-12-09 00:00:00;11.66;2018;12;9;6;2018 12 9;2018 12 15;2
2018-12-10 00:00:00;11.87;2018;12;10;6;-;-;2
2018-12-11 00:00:00;11.71;2018;12;11;6;-;-;2
2018-12-12 00:00:00;11.54;2018;12;12;6;-;-;2
2018-12-13 00:00:00;11.37;2018;12;13;6;-;-;2
2018-12-14 00:00:00;11.6;2018;12;14;6;-;-;2
2018-12-15 00:00:00;11.36;2018;12;15;6;-;-;2
2018-12-16 00:00:00;11.42;2018;12;16;7;2018 12 16;2018 12 22;3
2018-12-17 00:00:00;11.68;2018;12;17;7;-;-;3
2018-12-18 00:00:00;11.69;2018;12;18;7;-;-;3
2018-12-19 00:00:00;11.62;2018;12;19;7;-;-;3
2018-12-20 00:00:00;11.5;2018;12;20;7;-;-;3
2018-12-21 00:00:00;11.31;2018;12;21;7;-;-;3
2018-12-22 00:00:00;11.19;2018;12;22;7;-;-;3
2018-12-23 00:00:00;11.32;2018;12;23;8;2018 12 23;2018 12 29;4
2018-12-24 00:00:00;11.68;2018;12;24;8;-;-;4
2018-12-25 00:00:00;11.63;2018;12;25;8;-;-;4
2018-12-26 00:00:00;11.76;2018;12;26;8;-;-;4
2018-12-27 00:00:00;11.79;2018;12;27;8;-;-;4
2018-12-28 00:00:00;11.81;2018;12;28;8;-;-;4
2018-12-29 00:00:00;11.96;2018;12;29;8;-;-;4
2018-12-30 00:00:00;12.11;2018;12;30;9;2018 12 30;2019 1 5;1
2018-12-31 00:00:00;12.13;2018;12;31;9;-;-;1
2019-01-01 00:00:00;12.07;2019;1;1;9;-;-;1
2019-01-02 00:00:00;12.24;2019;1;2;9;-;-;1
2019-01-03 00:00:00;12.28;2019;1;3;9;-;-;1
2019-01-04 00:00:00;12.44;2019;1;4;9;-;-;1
2019-01-05 00:00:00;12.58;2019;1;5;9;-;-;1
2019-01-06 00:00:00;12.7;2019;1;6;10;2019 1 6;2019 1 12;2
2019-01-07 00:00:00;12.69;2019;1;7;10;-;-;2
2019-01-08 00:00:00;12.54;2019;1;8;10;-;-;2
2019-01-09 00:00:00;12.25;2019;1;9;10;-;-;2
2019-01-10 00:00:00;12.21;2019;1;10;10;-;-;2
2019-01-11 00:00:00;12.52;2019;1;11;10;-;-;2
2019-01-12 00:00:00;12.61;2019;1;12;10;-;-;2
2019-01-13 00:00:00;12.65;2019;1;13;11;2019 1 13;2019 1 19;3
2019-01-14 00:00:00;12.52;2019;1;14;11;-;-;3
2019-01-15 00:00:00;12.47;2019;1;15;11;-;-;3
2019-01-16 00:00:00;12.38;2019;1;16;11;-;-;3
2019-01-17 00:00:00;12.13;2019;1;17;11;-;-;3
2019-01-18 00:00:00;12.17;2019;1;18;11;-;-;3
2019-01-19 00:00:00;12.11;2019;1;19;11;-;-;3
2019-01-20 00:00:00;12.15;2019;1;20;12;2019 1 20;2019 1 26;4
2019-01-21 00:00:00;12.06;2019;1;21;12;-;-;4
2019-01-22 00:00:00;12.05;2019;1;22;12;-;-;4
2019-01-23 00:00:00;12.01;2019;1;23;12;-;-;4
2019-01-24 00:00:00;11.82;2019;1;24;12;-;-;4
