date;value
2018-11-01;6.9
2018-11-02;7.8
2018-11-03;7.1
2018-11-04;7.0
2018-11-05;7.6
2018-11-06;7.1
2018-11-07;7.7
2018-11-08;7.0
2018-11-09;7.5
2018-11-10;8.5
2018-11-11;8.8
2018-11-12;8.2
2018-11-13;7.2
2018-11-14;7.8
2018-11-15;8.7
2018-11-16;8.6
2018-11-17;9.3
2018-11-18;8.7
2018-11-19;9.3
2018-11-20;9.0
2018-11-21;7.8
2018-11-22;7.6
2018-11-23;7.5
2018-11-24;7.7
2018-11-25;7.3
2018-11-26;7.2
2018-11-27;7.0
2018-11-28;7.1
2018-11-29;7.2
2018-11-30;7.9
2018-12-01;8.0
2018-12-02;8.4
2018-12-03;9.3
2018-12-04;9.3
2018-12-05;8.4
2018-12-06;8.2
2018-12-07;7.0
2018-12-08;7.2
2018-12-09;7.2
2018-12-10;6.5
2018-12-11;6.8
2018-12-12;7.3
2018-12-13;7.6
2018-12-14;7.1
2018-12-15;8.0
2018-12-16;8.0
2018-12-17;7.2
2018-12-18;7.0
2018-12-19;7.4
2018-12-20;7.9
2018-12-21;8.7
2018-12-22;9.2
2018-12-23;8.6
2018-12-24;7.4
2018-12-25;7.5
2018-12-26;7.0
2018-12-27;6.9
2018-12-28;6.8
2018-12-29;6.3
2018-12-30;5.8
2018-12-31;5.8
2019-01-01;6.0
2019-01-02;5.4
2019-01-03;5.2
2019-01-04;4.8
2019-01-05;4.4
2019-01-06;4.1
2019-01-07;4.1
2019-01-08;4.5
2019-01-09;5.2
2019-01-10;5.2
2019-01-11;4.3
2019-01-12;4.2
2019-01-13;4.1
2019-01-14;4.4
2019-01-15;4.5
2019-01-16;4.7
2019-01-17;5.4
2019-01-18;5.3
2019-01-19;5.3
2019-01-20;5.4
2019-01-21;5.7
2019-01-22;5.7
2019-01-23;6.2
2019-01-24;7.0
2019-01-25;6.7
2019-01-26;5.9
2019-01-27;6.5
2019-01-28;6.6
2019-01-29;6.8
2019-01-30;5.7
2019-01-31;6.4
2019-02-01;5.8
2019-02-02;5.1
2019-02-03;5.6
2019-02-04;5.7
2019-02-05;6.4
2019-02-06;6.6
2019-02-07;7.2
2019-02-08;6.5
2019-02-09;7.4
2019-02-10;7.7
2019-02-11;6.5
2019-02-12;6.5
2019-02-13;6.5
2019-02-14;6.7
2019-02-15;6.9
2019-02-16;7.2
2019-02-17;7.2
2019-02-18;7.4
2019-02-19;6.7
2019-02-20;6.5
2019-02-21;6.9
2019-02-22;7.4
2019-02-23;7.6
2019-02-24;7.5
2019-02-25;7.6
2019-02-26;7.8
2019-02-27;7.8
2019-02-28;7.3
2019-03-01;7.3
2019-03-02;7.9
2019-03-03;7.9
2019-03-04;8.1
2019-03-05;7.6
2019-03-06;7.7
2019-03-07;6.4
2019-03-08;7.3
2019-03-09;8.5
2019-03-10;8.3
2019-03-11;8.1
2019-03-12;7.7
2019-03-13;7.2
2019-03-14;6.7
2019-03-15;6.9
2019-03-16;7.3
2019-03-17;7.7
2019-03-18;6.7
2019-03-19;7.3
2019-03-20;7.6
2019-03-21;7.7
2019-03-22;7.5
2019-03-23;7.9
