date;value
2018-11-01;2.4
2018-11-02;30.2
2018-11-03;6.2
2018-11-04;2.4
2018-11-05;23.1
2018-11-06;8.1
2018-11-07;38.9
2018-11-08;4.7
2018-11-09;3.3
2018-11-10;28.3
2018-11-11;20.7
2018-11-12;10.2
2018-11-13;4.7
2018-11-14;3.5
2018-11-15;2.8
2018-11-16;2.1
2018-11-17;2.4
2018-11-18;2.8
2018-11-19;2.1
2018-11-20;4.2
2018-11-21;2.5
2018-11-22;3.4
2018-11-23;3.3
2018-11-24;5.8
2018-11-25;10.6
2018-11-26;5.1
2018-11-27;3.0
2018-11-28;4.7
2018-11-29;2.6
2018-11-30;2.1
2018-12-01;3.0
2018-12-02;3.1
2018-12-03;6.2
2018-12-04;4.1
2018-12-05;3.0
2018-12-06;2.9
2018-12-07;2.7
2018-12-08;2.6
2018-12-09;2.7
2018-12-10;2.9
2018-12-11;3.2
2018-12-12;3.3
2018-12-13;10.0
2018-12-14;6.7
2018-12-15;5.6
2018-12-16;13.0
2018-12-17;6.1
2018-12-18;10.6
2018-12-19;8.0
2018-12-20;7.6
2018-12-21;7.1
2018-12-22;8.7
2018-12-23;37.1
2018-12-24;20.9
2018-12-25;4.1
2018-12-26;4.4
2018-12-27;4.1
2018-12-28;4.0
2018-12-29;3.6
2018-12-30;3.7
2018-12-31;2.1
2019-01-01;2.0
2019-01-02;2.0
2019-01-03;2.0
2019-01-04;2.0
2019-01-05;2.1
2019-01-06;2.0
2019-01-07;2.3
2019-01-08;2.3
2019-01-09;2.2
2019-01-10;2.1
2019-01-11;2.1
2019-01-12;2.1
2019-01-13;2.1
2019-01-14;4.3
2019-01-15;3.1
2019-01-16;3.2
2019-01-17;3.1
2019-01-18;3.2
2019-01-19;5.6
2019-01-20;4.0
2019-01-21;3.2
2019-01-22;3.7
2019-01-23;29.5
2019-01-24;15.6
2019-01-25;9.5
2019-01-26;5.9
2019-01-27;4.4
2019-01-28;4.0
2019-01-29;4.5
2019-01-30;5.6
2019-01-31;61.8
2019-02-01;29.4
2019-02-02;15.6
2019-02-03;9.1
2019-02-04;7.0
2019-02-05;5.9
2019-02-06;6.6
2019-02-07;5.6
2019-02-08;5.8
2019-02-09;4.8
2019-02-10;8.9
2019-02-11;8.1
2019-02-12;5.6
2019-02-13;5.7
2019-02-14;4.8
2019-02-15;4.3
2019-02-16;4.1
2019-02-17;4.1
2019-02-18;4.3
2019-02-19;4.2
2019-02-20;4.2
2019-02-21;4.1
2019-02-22;4.1
2019-02-23;3.9
2019-02-24;3.8
2019-02-25;3.7
2019-02-26;3.5
2019-02-27;3.0
2019-02-28;2.8
2019-03-01;2.8
2019-03-02;2.6
2019-03-03;2.7
2019-03-04;2.8
2019-03-05;2.4
2019-03-06;7.1
2019-03-07;3.8
2019-03-08;3.1
2019-03-09;3.0
2019-03-10;3.0
2019-03-11;3.0
2019-03-12;3.0
2019-03-13;3.2
2019-03-14;3.0
2019-03-15;2.8
2019-03-16;2.9
2019-03-17;2.8
2019-03-18;2.8
2019-03-19;2.4
2019-03-20;2.6
2019-03-21;2.7
2019-03-22;2.7
2019-03-23;2.8
2019-03-24;2.7
2019-03-25;2.7
2019-03-26;2.8
2019-03-27;2.7
2019-03-28;2.5
2019-03-29;2.1
2019-03-30;2.1
2019-03-31;2.1
2019-04-01;2.2
2019-04-02;2.1
2019-04-03;2.0
2019-04-04;2.1
2019-04-05;2.6
2019-04-06;3.6
2019-04-07;3.1
2019-04-08;4.6
2019-04-09;3.2
2019-04-10;4.9
2019-04-11;3.5
2019-04-12;3.0
2019-04-13;3.1
2019-04-14;3.2
2019-04-15;6.1
2019-04-16;4.3
2019-04-17;3.3
2019-04-18;4.1
2019-04-19;3.1
2019-04-20;3.0
2019-04-21;3.1
2019-04-22;3.2
2019-04-23;3.0
2019-04-24;3.3
2019-04-25;5.5
2019-04-26;7.0
2019-04-27;4.1
2019-04-28;4.5
2019-04-29;3.9
2019-04-30;3.5
2019-05-01;3.1
2019-05-02;3.0
2019-05-03;3.0
2019-05-04;3.0
2019-05-05;3.0
2019-05-06;3.0
2019-05-07;3.0
2019-05-08;3.0
2019-05-09;3.3
2019-05-10;3.8
2019-05-11;2.9
2019-05-12;2.9
2019-05-13;3.0
2019-05-14;3.0
2019-05-15;3.4
2019-05-16;3.2
2019-05-17;4.6
2019-05-18;3.7
2019-05-19;3.2
2019-05-20;3.6
2019-05-21;3.5
2019-05-22;3.2
2019-05-23;3.1
2019-05-24;3.1
2019-05-25;3.5
2019-05-26;3.1
2019-05-27;3.1
2019-05-28;3.1
2019-05-29;3.1
2019-05-30;3.2
2019-05-31;3.4
2019-06-01;3.6
2019-06-02;3.6
2019-06-03;3.3
2019-06-04;3.5
2019-06-05;3.8
2019-06-06;8.2
2019-06-07;6.2
2019-06-08;3.3
2019-06-09;3.2
2019-06-10;3.2
2019-06-11;2.6
2019-06-12;2.1
2019-06-13;2.1
2019-06-14;2.2
2019-06-15;2.3
2019-06-16;2.4
2019-06-17;2.6
2019-06-18;2.9
2019-06-19;2.8
2019-06-20;3.4
2019-06-21;16.5
2019-06-22;5.5
2019-06-23;17.4
2019-06-24;4.6
2019-06-25;3.4
2019-06-26;3.1
2019-06-27;3.1
2019-06-28;3.1
2019-06-29;3.0
2019-06-30;3.1
2019-07-01;3.0
2019-07-02;3.1
2019-07-03;3.0
2019-07-04;3.1
2019-07-05;3.1
2019-07-06;2.6
2019-07-07;2.2
2019-07-08;2.0
2019-07-09;2.4
2019-07-10;2.3
2019-07-11;2.2
2019-07-12;3.0
2019-07-13;4.7
2019-07-14;34.9
2019-07-15;6.5
2019-07-16;4.2
2019-07-17;5.0
2019-07-18;3.7
2019-07-19;3.1
2019-07-20;3.2
2019-07-21;6.1
2019-07-22;2.3
2019-07-23;2.1
2019-07-24;2.1
2019-07-25;6.8
2019-07-26;3.7
2019-07-27;2.0
2019-07-28;1.9
2019-07-29;1.9
2019-07-30;2.0
2019-07-31;1.9
2019-08-01;2.0
2019-08-02;2.0
2019-08-03;2.0
2019-08-04;2.0
2019-08-05;2.0
2019-08-06;2.0
2019-08-07;2.0
2019-08-08;2.1
2019-08-09;2.0
2019-08-10;2.0
2019-08-11;2.0
2019-08-12;2.0
2019-08-13;2.0
2019-08-14;2.0
2019-08-15;2.0
2019-08-16;2.0
2019-08-17;2.1
2019-08-18;2.4
2019-08-19;2.0
2019-08-20;2.0
2019-08-21;2.1
2019-08-22;2.1
2019-08-23;2.1
2019-08-24;2.0
2019-08-25;2.3
2019-08-26;2.5
2019-08-27;2.0
2019-08-28;2.0
2019-08-29;2.0
2019-08-30;2.0
2019-08-31;2.0
2019-09-01;2.0
2019-09-02;2.0
2019-09-03;3.8
2019-09-04;2.0
2019-09-05;2.2
2019-09-06;2.0
2019-09-07;2.0
2019-09-08;2.1
2019-09-09;2.1
2019-09-10;2.2
2019-09-11;2.0
2019-09-12;2.0
2019-09-13;2.1
2019-09-14;2.0
2019-09-15;2.0
2019-09-16;2.1
2019-09-17;2.0
2019-09-18;2.2
2019-09-19;26.5
2019-09-20;26.9
2019-09-21;5.7
2019-09-22;6.2
2019-09-23;3.0
2019-09-24;3.0
2019-09-25;2.9
2019-09-26;3.0
2019-09-27;3.0
2019-09-28;2.7
2019-09-29;2.2
2019-09-30;3.4
2019-10-01;3.0
2019-10-02;2.6
2019-10-03;2.5
2019-10-04;2.4
2019-10-05;2.7
2019-10-06;2.3
2019-10-07;2.4
2019-10-08;2.4
2019-10-09;2.2
2019-10-10;2.3
2019-10-11;2.1
2019-10-12;2.2
2019-10-13;3.5
2019-10-14;5.0
2019-10-15;5.0
2019-10-16;3.3
2019-10-17;21.3
2019-10-18;3.4
2019-10-19;34.2
2019-10-20;9.0
2019-10-21;3.4
2019-10-22;3.0
2019-10-23;2.7
2019-10-24;2.3
2019-10-25;2.7
2019-10-26;2.0
2019-10-27;2.1
2019-10-28;2.2
2019-10-29;2.0
2019-10-30;2.5
2019-10-31;2.6
2019-11-01;8.9
2019-11-02;4.4
2019-11-03;18.2
2019-11-04;14.8
2019-11-05;31.4
2019-11-06;12.4
2019-11-07;7.8
2019-11-08;5.5
2019-11-09;5.4
2019-11-10;9.0
2019-11-11;11.8
2019-11-12;25.9
2019-11-13;95.2
2019-11-14;38.9
2019-11-15;30.6
2019-11-16;24.7
2019-11-17;22.9
