Fecha;Valor
01-01-2011;7
02-01-2011;7
03-01-2011;7
04-01-2011;6.964592
05-01-2011;6.723243
06-01-2011;6.359721
07-01-2011;5.378133
08-01-2011;5.902427
09-01-2011;6.428132
10-01-2011;6.546864
11-01-2011;6.61734
12-01-2011;6.699982
13-01-2011;6.701372
14-01-2011;6.725006
15-01-2011;6.796199
16-01-2011;6.800019
17-01-2011;6.800018
18-01-2011;6.800713
19-01-2011;6.800011
20-01-2011;6.800019
21-01-2011;6.800019
22-01-2011;6.800368
23-01-2011;6.842022
24-01-2011;6.855217
25-01-2011;6.900017
26-01-2011;6.900017
27-01-2011;6.900017
28-01-2011;6.900017
29-01-2011;6.900017
30-01-2011;6.900017
31-01-2011;6.89967
01-02-2011;6.897585
02-02-2011;6.900016
03-02-2011;6.900017
04-02-2011;6.900017
05-02-2011;6.900017
06-02-2011;6.921192
07-02-2011;6.941673
08-02-2011;6.950006
09-02-2011;6.979866
10-02-2011;6.998959
11-02-2011;6.964242
12-02-2011;7
13-02-2011;6.963199
14-02-2011;6.984379
15-02-2011;6.979657
16-02-2011;7.0736
17-02-2011;7.009026
18-02-2011;6.937508
19-02-2011;6.81356
20-02-2011;6.651035
21-02-2011;6.37572
22-02-2011;6.302099
23-02-2011;6.385367
24-02-2011;6.526035
25-02-2011;6.599983
26-02-2011;6.655878
27-02-2011;6.699982
28-02-2011;6.701025
01-03-2011;6.730567
02-03-2011;6.751246
03-03-2011;6.798977
04-03-2011;6.800019
05-03-2011;6.851397
06-03-2011;6.900017
07-03-2011;6.941673
08-03-2011;6.980559
09-03-2011;6.998264
10-03-2011;7
11-03-2011;7
12-03-2011;7
13-03-2011;7.02916
14-03-2011;7.02916
15-03-2011;7
16-03-2011;7.012497
17-03-2011;7.04999
18-03-2011;7.071515
19-03-2011;7.099983
20-03-2011;7.099983
21-03-2011;7.099983
22-03-2011;7.118729
23-03-2011;7.126713
24-03-2011;7.099983
25-03-2011;7.099636
26-03-2011;7.045822
27-03-2011;6.996377
28-03-2011;6.944798
29-03-2011;6.960766
30-03-2011;6.952436
31-03-2011;6.95417
01-04-2011;6.996528
02-04-2011;7.018745
03-04-2011;7.028913
04-04-2011;7.026035
05-04-2011;7.033672
06-04-2011;7.039574
07-04-2011;7.043739
08-04-2011;7.044589
09-04-2011;7.054501
10-04-2011;7.062487
11-04-2011;7.070473
12-04-2011;7.117561
13-04-2011;7.137822
14-04-2011;7.143031
15-04-2011;7.144765
16-04-2011;7.14442
17-04-2011;7.141295
18-04-2011;7.136781
19-04-2011;7.093386
20-04-2011;7.113174
21-04-2011;7.113865
22-04-2011;7.118729
23-04-2011;7.100325
24-04-2011;7.125324
25-04-2011;7.10588
26-04-2011;7.08366
27-04-2011;7.093035
28-04-2011;7.102418
29-04-2011;7.138517
30-04-2011;7.09096
01-05-2011;7.099631
02-05-2011;7.091644
03-05-2011;7.135391
04-05-2011;7.137822
05-05-2011;7.135044
06-05-2011;7.124629
07-05-2011;7.137474
08-05-2011;7.146156
09-05-2011;7.139211
10-05-2011;7.141546
11-05-2011;7.153458
12-05-2011;7.188882
13-05-2011;7.19686
14-05-2011;7.170814
15-05-2011;7.14442
16-05-2011;7.136086
17-05-2011;7.135864
18-05-2011;7.118035
19-05-2011;7.140253
20-05-2011;7.146504
21-05-2011;7.132614
22-05-2011;7.138999
23-05-2011;7.131227
24-05-2011;7.131572
25-05-2011;7.139559
26-05-2011;7.152236
27-05-2011;7.164904
28-05-2011;7.162476
29-05-2011;7.165011
30-05-2011;7.135741
31-05-2011;7.157265
01-06-2011;7.167681
02-06-2011;7.16525
03-06-2011;7.200687
04-06-2011;7.228827
05-06-2011;7.22709
06-06-2011;7.161778
07-06-2011;7.239254
08-06-2011;7.235779
09-06-2011;7.237864
10-06-2011;7.234388
11-06-2011;7.230566
12-06-2011;7.24273
13-06-2011;7.250369
14-06-2011;7.248289
15-06-2011;7.246711
16-06-2011;7.25473
17-06-2011;7.254541
18-06-2011;7.263221
19-06-2011;7.261478
20-06-2011;7.20866
21-06-2011;7.237864
22-06-2011;7.245156
23-06-2011;7.19998
24-06-2011;7.095818
25-06-2011;7.09547
26-06-2011;7.11005
27-06-2011;7.084598
28-06-2011;7.099983
29-06-2011;7.105884
30-06-2011;7.099983
01-07-2011;7.099983
02-07-2011;7.099983
03-07-2011;7.077419
04-07-2011;7.043739
05-07-2011;7.062093
06-07-2011;7.099983
07-07-2011;7.099983
08-07-2011;7.096859
09-07-2011;7.073946
10-07-2011;7.044782
11-07-2011;7.064915
12-07-2011;7.099983
13-07-2011;7.089569
