date;value;year;month;day;week;startDate;endDate;weekOrder
2011-01-01 00:00:00;7.0;2011;1;1;0;-;-;0
2011-01-02 00:00:00;7.0;2011;1;2;0;-;-;0
2011-01-03 00:00:00;7.0;2011;1;3;1;2011 1 3;2011 1 9;1
2011-01-04 00:00:00;6.964592;2011;1;4;1;-;-;1
2011-01-05 00:00:00;6.723243;2011;1;5;1;-;-;1
2011-01-06 00:00:00;6.359721;2011;1;6;1;-;-;1
2011-01-07 00:00:00;5.378133;2011;1;7;1;-;-;1
2011-01-08 00:00:00;5.902427;2011;1;8;1;-;-;1
2011-01-09 00:00:00;6.428132;2011;1;9;1;-;-;1
2011-01-10 00:00:00;6.546864;2011;1;10;2;2011 1 10;2011 1 16;2
2011-01-11 00:00:00;6.61734;2011;1;11;2;-;-;2
2011-01-12 00:00:00;6.699982;2011;1;12;2;-;-;2
2011-01-13 00:00:00;6.701372;2011;1;13;2;-;-;2
2011-01-14 00:00:00;6.725006;2011;1;14;2;-;-;2
2011-01-15 00:00:00;6.796199;2011;1;15;2;-;-;2
2011-01-16 00:00:00;6.800019;2011;1;16;2;-;-;2
2011-01-17 00:00:00;6.800018;2011;1;17;3;2011 1 17;2011 1 23;3
2011-01-18 00:00:00;6.800713;2011;1;18;3;-;-;3
2011-01-19 00:00:00;6.800011;2011;1;19;3;-;-;3
2011-01-20 00:00:00;6.800019;2011;1;20;3;-;-;3
2011-01-21 00:00:00;6.800019;2011;1;21;3;-;-;3
2011-01-22 00:00:00;6.800368;2011;1;22;3;-;-;3
2011-01-23 00:00:00;6.842022;2011;1;23;3;-;-;3
2011-01-24 00:00:00;6.855217;2011;1;24;4;2011 1 24;2011 1 30;4
2011-01-25 00:00:00;6.900017;2011;1;25;4;-;-;4
2011-01-26 00:00:00;6.900017;2011;1;26;4;-;-;4
2011-01-27 00:00:00;6.900017;2011;1;27;4;-;-;4
2011-01-28 00:00:00;6.900017;2011;1;28;4;-;-;4
2011-01-29 00:00:00;6.900017;2011;1;29;4;-;-;4
