Date;Value
01-01-1999 00:00:00;
30-03-2005 16:00:00;34.37
31-03-2005 08:00:00;50.06
31-03-2005 09:00:00;34.37
31-03-2005 10:00:00;34.37
31-03-2005 11:00:00;51.41
31-03-2005 12:00:00;49.28
31-03-2005 13:00:00;47.45
31-03-2005 14:00:00;46.53
31-03-2005 15:00:00;48.06
31-03-2005 16:00:00;45.61
31-03-2005 17:00:00;43.78
31-03-2005 18:00:00;45.31
31-03-2005 19:00:00;47.45
31-03-2005 20:00:00;49.58
31-03-2005 21:00:00;50.80
31-03-2005 22:00:00;70.65
31-03-2005 23:00:00;28.52
01-04-2005 00:00:00;28.52
01-04-2005 01:00:00;28.52
01-04-2005 02:00:00;28.52
01-04-2005 03:00:00;28.52
01-04-2005 04:00:00;48.67
01-04-2005 05:00:00;48.36
01-04-2005 06:00:00;48.36
01-04-2005 07:00:00;48.36
01-04-2005 08:00:00;47.75
01-04-2005 09:00:00;47.75
01-04-2005 10:00:00;50.19
01-04-2005 11:00:00;49.58
01-04-2005 12:00:00;47.14
01-04-2005 13:00:00;48.36
01-04-2005 14:00:00;47.14
01-04-2005 15:00:00;49.89
01-04-2005 16:00:00;50.19
01-04-2005 17:00:00;49.89
01-04-2005 18:00:00;49.89
01-04-2005 19:00:00;49.58
01-04-2005 20:00:00;50.80
01-04-2005 21:00:00;51.72
01-04-2005 22:00:00;28.52
01-04-2005 23:00:00;28.52
02-04-2005 00:00:00;28.52
02-04-2005 01:00:00;28.52
02-04-2005 02:00:00;28.52
02-04-2005 03:00:00;28.52
02-04-2005 04:00:00;48.36
02-04-2005 05:00:00;48.67
02-04-2005 06:00:00;40.12
02-04-2005 07:00:00;38.29
02-04-2005 08:00:00;38.29
02-04-2005 09:00:00;37.98
02-04-2005 10:00:00;38.29
02-04-2005 11:00:00;37.98
02-04-2005 12:00:00;38.29
02-04-2005 13:00:00;38.90
02-04-2005 14:00:00;35.54
02-04-2005 15:00:00;38.29
02-04-2005 16:00:00;53.55
02-04-2005 17:00:00;50.19
02-04-2005 18:00:00;47.45
02-04-2005 19:00:00;47.45
02-04-2005 20:00:00;47.14
02-04-2005 21:00:00;48.06
02-04-2005 22:00:00;28.52
02-04-2005 23:00:00;28.52
03-04-2005 00:00:00;28.52
03-04-2005 01:00:00;28.52
03-04-2005 02:00:00;44.09
03-04-2005 03:00:00;43.78
03-04-2005 04:00:00;44.39
03-04-2005 05:00:00;45.00
03-04-2005 06:00:00;44.39
03-04-2005 07:00:00;44.70
03-04-2005 08:00:00;44.70
03-04-2005 09:00:00;43.78
03-04-2005 10:00:00;47.45
03-04-2005 11:00:00;46.84
03-04-2005 12:00:00;45.92
03-04-2005 13:00:00;42.87
03-04-2005 14:00:00;42.87
03-04-2005 15:00:00;146.04
03-04-2005 16:00:00;146.35
03-04-2005 17:00:00;45.61
03-04-2005 18:00:00;45.92
03-04-2005 19:00:00;45.92
03-04-2005 20:00:00;45.92
03-04-2005 21:00:00;45.92
03-04-2005 22:00:00;45.92
03-04-2005 23:00:00;48.97
04-04-2005 00:00:00;28.52
04-04-2005 01:00:00;28.52
04-04-2005 02:00:00;28.52
04-04-2005 03:00:00;28.52
04-04-2005 04:00:00;44.39
04-04-2005 05:00:00;44.09
04-04-2005 06:00:00;44.09
04-04-2005 07:00:00;43.48
04-04-2005 08:00:00;42.26
04-04-2005 09:00:00;41.65
04-04-2005 10:00:00;41.95
04-04-2005 11:00:00;43.17
04-04-2005 12:00:00;42.26
04-04-2005 13:00:00;38.59
04-04-2005 14:00:00;40.12
04-04-2005 15:00:00;96.90
04-04-2005 16:00:00;41.95
04-04-2005 17:00:00;41.65
04-04-2005 18:00:00;41.65
04-04-2005 19:00:00;41.95
04-04-2005 20:00:00;41.95
04-04-2005 21:00:00;41.95
04-04-2005 22:00:00;42.26
04-04-2005 23:00:00;42.26
05-04-2005 00:00:00;43.17
05-04-2005 01:00:00;43.17
05-04-2005 02:00:00;42.56
05-04-2005 03:00:00;42.56
05-04-2005 04:00:00;42.56
05-04-2005 05:00:00;42.87
05-04-2005 06:00:00;42.87
05-04-2005 07:00:00;42.56
05-04-2005 08:00:00;42.56
05-04-2005 09:00:00;42.56
05-04-2005 10:00:00;42.56
05-04-2005 11:00:00;42.56
05-04-2005 12:00:00;42.87
05-04-2005 13:00:00;42.26
05-04-2005 14:00:00;42.56
05-04-2005 15:00:00;42.56
05-04-2005 16:00:00;42.26
05-04-2005 17:00:00;42.26
05-04-2005 18:00:00;42.26
05-04-2005 19:00:00;42.26
05-04-2005 20:00:00;42.26
05-04-2005 21:00:00;42.26
05-04-2005 22:00:00;42.26
05-04-2005 23:00:00;42.56
06-04-2005 00:00:00;42.56
06-04-2005 01:00:00;42.87
06-04-2005 02:00:00;42.56
06-04-2005 03:00:00;43.17
06-04-2005 04:00:00;42.87
06-04-2005 05:00:00;42.87
06-04-2005 06:00:00;42.56
06-04-2005 07:00:00;42.56
06-04-2005 08:00:00;42.87
06-04-2005 09:00:00;42.56
06-04-2005 10:00:00;42.26
06-04-2005 11:00:00;41.95
06-04-2005 12:00:00;42.26
06-04-2005 13:00:00;42.26
06-04-2005 14:00:00;42.26
06-04-2005 15:00:00;42.56
06-04-2005 16:00:00;42.56
06-04-2005 17:00:00;42.87
06-04-2005 18:00:00;42.56
06-04-2005 19:00:00;42.26
06-04-2005 20:00:00;42.56
06-04-2005 21:00:00;47.45
06-04-2005 22:00:00;48.36
06-04-2005 23:00:00;48.06
07-04-2005 00:00:00;48.67
07-04-2005 01:00:00;48.97
07-04-2005 02:00:00;48.06
07-04-2005 03:00:00;45.31
07-04-2005 04:00:00;45.31
07-04-2005 05:00:00;45.31
07-04-2005 06:00:00;45.31
07-04-2005 07:00:00;44.09
07-04-2005 08:00:00;44.09
07-04-2005 09:00:00;44.39
07-04-2005 10:00:00;44.70
07-04-2005 11:00:00;43.17
07-04-2005 12:00:00;43.17
07-04-2005 13:00:00;43.48
07-04-2005 14:00:00;41.04
07-04-2005 15:00:00;39.20
07-04-2005 16:00:00;32.79
07-04-2005 17:00:00;30.96
07-04-2005 18:00:00;31.27
07-04-2005 19:00:00;31.88
07-04-2005 20:00:00;32.79
07-04-2005 21:00:00;33.71
07-04-2005 22:00:00;34.32
07-04-2005 23:00:00;35.85
08-04-2005 00:00:00;36.46
08-04-2005 01:00:00;37.07
08-04-2005 02:00:00;36.76
08-04-2005 03:00:00;36.76
08-04-2005 04:00:00;36.76
08-04-2005 05:00:00;36.15
08-04-2005 06:00:00;36.46
08-04-2005 07:00:00;35.85
08-04-2005 08:00:00;35.24
08-04-2005 09:00:00;34.63
08-04-2005 10:00:00;34.93
08-04-2005 11:00:00;34.63
08-04-2005 12:00:00;34.32
08-04-2005 13:00:00;34.63
08-04-2005 14:00:00;34.93
08-04-2005 15:00:00;35.24
08-04-2005 16:00:00;39.82
08-04-2005 17:00:00;41.65
08-04-2005 18:00:00;41.95
08-04-2005 19:00:00;41.95
08-04-2005 20:00:00;42.56
08-04-2005 21:00:00;45.31
08-04-2005 22:00:00;47.45
08-04-2005 23:00:00;48.67
09-04-2005 00:00:00;48.36
09-04-2005 01:00:00;47.75
09-04-2005 02:00:00;45.31
09-04-2005 03:00:00;42.56
09-04-2005 04:00:00;41.95
09-04-2005 05:00:00;42.26
09-04-2005 06:00:00;41.95
09-04-2005 07:00:00;42.26
09-04-2005 08:00:00;43.17
09-04-2005 09:00:00;46.53
09-04-2005 10:00:00;48.67
09-04-2005 11:00:00;48.67
09-04-2005 12:00:00;48.97
09-04-2005 13:00:00;49.28
09-04-2005 14:00:00;49.58
09-04-2005 15:00:00;49.28
09-04-2005 16:00:00;76.14
09-04-2005 17:00:00;70.03
09-04-2005 18:00:00;54.16
09-04-2005 19:00:00;66.07
09-04-2005 20:00:00;66.98
09-04-2005 21:00:00;53.25
09-04-2005 22:00:00;50.50
09-04-2005 23:00:00;62.40
10-04-2005 00:00:00;61.49
10-04-2005 01:00:00;51.72
10-04-2005 02:00:00;51.11
10-04-2005 03:00:00;66.68
10-04-2005 04:00:00;52.94
10-04-2005 05:00:00;50.50
10-04-2005 06:00:00;60.88
10-04-2005 07:00:00;71.87
10-04-2005 08:00:00;47.14
10-04-2005 09:00:00;51.41
10-04-2005 10:00:00;66.07
10-04-2005 11:00:00;28.52
10-04-2005 12:00:00;57.82
10-04-2005 13:00:00;69.12
10-04-2005 14:00:00;66.37
10-04-2005 15:00:00;58.74
10-04-2005 16:00:00;58.74
10-04-2005 17:00:00;64.54
10-04-2005 18:00:00;51.72
10-04-2005 19:00:00;50.50
10-04-2005 20:00:00;49.89
10-04-2005 21:00:00;72.48
10-04-2005 22:00:00;65.15
10-04-2005 23:00:00;53.55
11-04-2005 00:00:00;66.07
11-04-2005 01:00:00;59.05
11-04-2005 02:00:00;51.11
11-04-2005 03:00:00;50.50
11-04-2005 04:00:00;66.68
11-04-2005 05:00:00;66.07
11-04-2005 06:00:00;55.99
