Date;Value
01-01-1999 00:00:00;
19-10-2005 18:15:00;290.20
19-10-2005 18:30:00;361.10
04-11-2005 10:45:00;130.50
04-11-2005 11:00:00;130.50
04-11-2005 11:15:00;130.50
04-11-2005 11:30:00;130.50
04-11-2005 11:45:00;141.90
04-11-2005 12:00:00;146.10
04-11-2005 12:15:00;164.10
04-11-2005 12:30:00;191.10
04-11-2005 12:45:00;190.80
04-11-2005 13:00:00;187.10
04-11-2005 13:15:00;187.10
04-11-2005 13:30:00;181.10
04-11-2005 13:45:00;178.90
04-11-2005 14:00:00;172.00
04-11-2005 14:15:00;161.80
04-11-2005 14:30:00;160.70
04-11-2005 14:45:00;146.10
04-11-2005 15:00:00;146.10
04-11-2005 15:15:00;140.60
04-11-2005 15:30:00;138.60
04-11-2005 15:45:00;138.60
04-11-2005 16:00:00;138.60
04-11-2005 16:15:00;138.40
04-11-2005 16:30:00;135.80
04-11-2005 16:45:00;135.80
04-11-2005 17:00:00;132.10
04-11-2005 17:15:00;130.80
04-11-2005 17:30:00;130.10
04-11-2005 17:45:00;129.00
04-11-2005 18:00:00;129.20
04-11-2005 18:15:00;132.60
04-11-2005 18:30:00;132.60
04-11-2005 18:45:00;129.50
04-11-2005 19:00:00;128.40
04-11-2005 19:15:00;128.70
04-11-2005 19:30:00;129.30
04-11-2005 19:45:00;129.10
04-11-2005 20:00:00;126.10
04-11-2005 20:15:00;126.10
04-11-2005 20:30:00;126.10
04-11-2005 20:45:00;126.10
04-11-2005 21:00:00;123.90
04-11-2005 21:15:00;120.70
04-11-2005 21:30:00;121.10
04-11-2005 21:45:00;126.20
04-11-2005 22:00:00;126.20
04-11-2005 22:15:00;128.70
04-11-2005 22:30:00;129.60
04-11-2005 22:45:00;131.80
04-11-2005 23:00:00;135.10
04-11-2005 23:15:00;135.40
04-11-2005 23:30:00;140.10
04-11-2005 23:45:00;140.10
05-11-2005 00:00:00;138.30
05-11-2005 00:15:00;137.70
05-11-2005 00:30:00;133.80
05-11-2005 00:45:00;128.00
05-11-2005 01:00:00;128.00
05-11-2005 01:15:00;128.00
05-11-2005 01:30:00;128.00
05-11-2005 01:45:00;128.90
05-11-2005 02:00:00;129.30
05-11-2005 02:15:00;132.30
05-11-2005 02:30:00;136.90
05-11-2005 02:45:00;137.60
05-11-2005 03:00:00;147.40
05-11-2005 03:15:00;147.40
05-11-2005 03:30:00;174.90
05-11-2005 03:45:00;184.80
05-11-2005 04:00:00;203.70
05-11-2005 04:15:00;232.00
05-11-2005 04:30:00;231.70
05-11-2005 04:45:00;228.30
05-11-2005 05:00:00;228.30
05-11-2005 05:15:00;203.30
05-11-2005 05:30:00;194.10
05-11-2005 05:45:00;194.10
05-11-2005 06:00:00;194.10
05-11-2005 06:15:00;190.70
05-11-2005 06:30:00;142.90
05-11-2005 06:45:00;142.90
05-11-2005 07:00:00;126.70
05-11-2005 07:15:00;120.90
05-11-2005 07:30:00;117.00
05-11-2005 07:45:00;111.30
05-11-2005 08:00:00;110.70
05-11-2005 08:15:00;102.30
05-11-2005 08:30:00;102.30
05-11-2005 08:45:00;99.50
05-11-2005 09:00:00;98.40
05-11-2005 09:15:00;97.30
05-11-2005 09:30:00;95.70
05-11-2005 09:45:00;95.60
05-11-2005 10:00:00;94.80
05-11-2005 10:15:00;94.80
05-11-2005 10:30:00;94.80
05-11-2005 10:45:00;94.80
05-11-2005 12:15:00;102.00
05-11-2005 12:30:00;91.70
05-11-2005 12:45:00;98.00
05-11-2005 13:00:00;107.40
05-11-2005 13:15:00;106.60
05-11-2005 13:30:00;94.90
05-11-2005 13:45:00;94.90
05-11-2005 14:00:00;94.90
05-11-2005 14:15:00;94.90
05-11-2005 14:30:00;94.90
05-11-2005 14:45:00;94.90
05-11-2005 15:00:00;94.90
05-11-2005 15:15:00;94.90
05-11-2005 15:30:00;94.90
05-11-2005 15:45:00;96.70
05-11-2005 16:00:00;97.40
05-11-2005 16:15:00;97.40
05-11-2005 16:30:00;97.40
05-11-2005 16:45:00;97.40
05-11-2005 17:00:00;97.80
05-11-2005 17:15:00;97.80
05-11-2005 17:30:00;100.20
05-11-2005 17:45:00;101.00
05-11-2005 18:00:00;102.90
05-11-2005 18:15:00;105.60
05-11-2005 18:30:00;105.80
05-11-2005 18:45:00;108.70
05-11-2005 19:00:00;108.70
05-11-2005 19:15:00;109.60
05-11-2005 19:30:00;110.00
05-11-2005 19:45:00;110.00
05-11-2005 20:00:00;110.00
05-11-2005 20:15:00;110.30
05-11-2005 20:30:00;114.00
05-11-2005 20:45:00;114.00
05-11-2005 21:00:00;114.80
05-11-2005 21:15:00;115.10
05-11-2005 21:30:00;115.90
05-11-2005 21:45:00;117.10
05-11-2005 22:00:00;117.50
05-11-2005 22:15:00;123.80
05-11-2005 22:30:00;123.80
05-11-2005 22:45:00;125.70
05-11-2005 23:00:00;126.40
05-11-2005 23:15:00;125.90
05-11-2005 23:30:00;125.30
05-11-2005 23:45:00;125.30
06-11-2005 00:00:00;125.30
06-11-2005 00:15:00;125.30
06-11-2005 00:30:00;125.30
06-11-2005 00:45:00;125.30
06-11-2005 01:00:00;121.40
06-11-2005 01:15:00;115.50
06-11-2005 01:30:00;115.80
06-11-2005 01:45:00;119.00
06-11-2005 02:00:00;119.00
06-11-2005 02:15:00;117.50
06-11-2005 02:30:00;116.90
06-11-2005 02:45:00;116.60
06-11-2005 03:00:00;116.20
06-11-2005 03:15:00;117.10
06-11-2005 03:30:00;130.00
06-11-2005 03:45:00;130.00
06-11-2005 04:00:00;131.90
06-11-2005 04:15:00;132.60
06-11-2005 04:30:00;124.90
06-11-2005 04:45:00;113.20
06-11-2005 05:00:00;113.20
06-11-2005 05:15:00;113.20
06-11-2005 05:30:00;113.20
06-11-2005 05:45:00;108.00
06-11-2005 06:00:00;106.10
06-11-2005 06:15:00;106.10
06-11-2005 06:30:00;106.10
06-11-2005 06:45:00;106.00
06-11-2005 07:00:00;104.70
06-11-2005 07:15:00;104.70
06-11-2005 07:30:00;104.70
06-11-2005 07:45:00;104.70
06-11-2005 08:00:00;102.70
06-11-2005 08:15:00;99.70
06-11-2005 08:30:00;99.60
06-11-2005 08:45:00;98.90
06-11-2005 09:00:00;98.90
06-11-2005 09:15:00;95.90
06-11-2005 09:30:00;94.80
06-11-2005 09:45:00;94.80
06-11-2005 10:00:00;94.80
06-11-2005 10:15:00;94.40
06-11-2005 10:30:00;89.10
06-11-2005 10:45:00;89.10
06-11-2005 11:00:00;90.70
06-11-2005 11:15:00;91.30
06-11-2005 11:30:00;92.90
06-11-2005 11:45:00;95.20
06-11-2005 12:00:00;95.20
06-11-2005 12:15:00;95.20
06-11-2005 12:45:00;98.20
06-11-2005 13:00:00;99.70
06-11-2005 13:15:00;98.30
06-11-2005 13:30:00;95.70
06-11-2005 13:45:00;95.70
06-11-2005 14:00:00;98.40
06-11-2005 14:15:00;98.40
06-11-2005 14:30:00;98.40
06-11-2005 14:45:00;98.40
08-11-2005 09:15:00;177.00
08-11-2005 09:30:00;177.00
08-11-2005 09:45:00;163.60
08-11-2005 10:00:00;163.20
