Date;Value
01-01-1999 00:00:00;
02-12-2004 00:00:00;11.14
02-12-2004 01:00:00;13.93
02-12-2004 02:00:00;17.10
02-12-2004 03:00:00;20.30
02-12-2004 04:00:00;22.03
02-12-2004 05:00:00;23.60
02-12-2004 06:00:00;24.91
02-12-2004 07:00:00;26.23
02-12-2004 08:00:00;29.37
02-12-2004 09:00:00;34.81
02-12-2004 10:00:00;42.35
02-12-2004 11:00:00;52.89
02-12-2004 12:00:00;59.21
02-12-2004 13:00:00;61.39
02-12-2004 14:00:00;66.46
02-12-2004 15:00:00;71.95
02-12-2004 16:00:00;80.35
02-12-2004 17:00:00;81.53
02-12-2004 18:00:00;82.29
02-12-2004 19:00:00;81.53
02-12-2004 20:00:00;80.75
02-12-2004 21:00:00;79.59
02-12-2004 22:00:00;76.87
02-12-2004 23:00:00;74.93
03-12-2004 00:00:00;72.64
03-12-2004 01:00:00;70.09
03-12-2004 02:00:00;67.93
03-12-2004 03:00:00;65.75
03-12-2004 04:00:00;63.57
03-12-2004 05:00:00;61.75
03-12-2004 06:00:00;60.31
03-12-2004 07:00:00;59.95
03-12-2004 08:00:00;59.95
03-12-2004 09:00:00;59.95
03-12-2004 10:00:00;61.03
03-12-2004 11:00:00;61.39
03-12-2004 12:00:00;62.49
03-12-2004 13:00:00;63.93
03-12-2004 14:00:00;64.29
03-12-2004 15:00:00;64.29
03-12-2004 16:00:00;64.29
03-12-2004 17:00:00;64.29
03-12-2004 18:00:00;64.29
03-12-2004 19:00:00;63.21
03-12-2004 20:00:00;62.11
03-12-2004 21:00:00;62.85
03-12-2004 22:00:00;61.39
03-12-2004 23:00:00;59.95
04-12-2004 00:00:00;58.50
04-12-2004 01:00:00;57.79
04-12-2004 02:00:00;57.10
04-12-2004 03:00:00;55.35
04-12-2004 04:00:00;53.95
04-12-2004 05:00:00;52.20
04-12-2004 06:00:00;51.50
04-12-2004 07:00:00;50.10
04-12-2004 08:00:00;48.35
04-12-2004 09:00:00;47.29
04-12-2004 10:00:00;46.60
04-12-2004 11:00:00;44.85
04-12-2004 12:00:00;44.50
04-12-2004 13:00:00;43.56
04-12-2004 14:00:00;42.93
04-12-2004 15:00:00;42.00
04-12-2004 16:00:00;41.68
04-12-2004 17:00:00;40.11
04-12-2004 18:00:00;39.50
04-12-2004 19:00:00;38.25
04-12-2004 20:00:00;37.00
04-12-2004 21:00:00;36.68
04-12-2004 22:00:00;35.75
04-12-2004 23:00:00;35.11
05-12-2004 00:00:00;34.50
05-12-2004 01:00:00;33.25
05-12-2004 02:00:00;32.61
05-12-2004 03:00:00;32.00
05-12-2004 04:00:00;32.00
05-12-2004 05:00:00;30.94
05-12-2004 06:00:00;30.69
05-12-2004 07:00:00;29.89
05-12-2004 08:00:00;29.89
05-12-2004 09:00:00;29.10
05-12-2004 10:00:00;27.53
05-12-2004 11:00:00;26.21
05-12-2004 12:00:00;24.91
05-12-2004 13:00:00;26.75
