Date;Value
01-01-1999 00:00:00;
02-12-2004 00:00:00;37.39
02-12-2004 01:00:00;35.79
02-12-2004 02:00:00;33.39
02-12-2004 03:00:00;33.39
02-12-2004 04:00:00;33.70
02-12-2004 05:00:00;37.00
02-12-2004 06:00:00;36.79
02-12-2004 07:00:00;35.20
02-12-2004 08:00:00;34.50
02-12-2004 09:00:00;33.54
02-12-2004 10:00:00;33.10
02-12-2004 11:00:00;32.95
02-12-2004 12:00:00;32.64
02-12-2004 13:00:00;29.94
02-12-2004 14:00:00;33.89
02-12-2004 15:00:00;37.39
02-12-2004 16:00:00;39.39
02-12-2004 17:00:00;40.39
02-12-2004 18:00:00;38.79
02-12-2004 19:00:00;37.60
02-12-2004 20:00:00;37.39
02-12-2004 21:00:00;36.20
02-12-2004 22:00:00;35.39
02-12-2004 23:00:00;35.00
03-12-2004 00:00:00;35.20
03-12-2004 01:00:00;34.29
03-12-2004 02:00:00;34.04
03-12-2004 03:00:00;34.39
03-12-2004 04:00:00;34.14
03-12-2004 05:00:00;30.39
03-12-2004 06:00:00;38.60
03-12-2004 07:00:00;38.00
03-12-2004 08:00:00;38.00
03-12-2004 09:00:00;39.60
03-12-2004 10:00:00;39.00
03-12-2004 11:00:00;39.39
03-12-2004 12:00:00;40.20
03-12-2004 13:00:00;41.24
03-12-2004 14:00:00;48.56
03-12-2004 15:00:00;53.38
03-12-2004 16:00:00;61.25
03-12-2004 17:00:00;74.95
03-12-2004 18:00:00;90.51
03-12-2004 19:00:00;98.73
03-12-2004 20:00:00;97.56
03-12-2004 21:00:00;91.68
03-12-2004 22:00:00;113.43
03-12-2004 23:00:00;121.06
04-12-2004 00:00:00;125.87
04-12-2004 01:00:00;123.45
04-12-2004 02:00:00;130.25
04-12-2004 03:00:00;127.75
04-12-2004 04:00:00;133.37
04-12-2004 05:00:00;130.87
04-12-2004 06:00:00;130.87
04-12-2004 07:00:00;136.50
04-12-2004 08:00:00;145.25
04-12-2004 09:00:00;153.37
04-12-2004 10:00:00;158.37
04-12-2004 11:00:00;160.87
04-12-2004 12:00:00;164.62
04-12-2004 13:00:00;165.87
04-12-2004 14:00:00;163.37
04-12-2004 15:00:00;158.37
04-12-2004 16:00:00;139.74
04-12-2004 17:00:00;151.81
04-12-2004 18:00:00;161.50
04-12-2004 19:00:00;147.75
04-12-2004 20:00:00;144.62
04-12-2004 21:00:00;125.51
04-12-2004 22:00:00;123.64
04-12-2004 23:00:00;160.25
05-12-2004 00:00:00;144.62
05-12-2004 01:00:00;138.37
05-12-2004 02:00:00;141.50
05-12-2004 03:00:00;139.00
05-12-2004 04:00:00;132.75
05-12-2004 05:00:00;134.62
05-12-2004 06:00:00;136.50
