Date;Value
01-01-1999 00:00:00;
08-06-2022 17:00:00;9.40
08-06-2022 17:15:00;9.50
08-06-2022 17:30:00;9.60
08-06-2022 17:45:00;9.70
08-06-2022 18:00:00;9.70
08-06-2022 18:15:00;9.80
08-06-2022 18:30:00;9.80
08-06-2022 18:45:00;9.90
08-06-2022 19:00:00;10.40
08-06-2022 19:15:00;10.10
08-06-2022 19:30:00;10.20
08-06-2022 19:45:00;10.10
08-06-2022 20:00:00;9.60
08-06-2022 20:15:00;9.50
08-06-2022 20:30:00;9.40
08-06-2022 20:45:00;9.40
08-06-2022 21:00:00;9.40
08-06-2022 21:15:00;9.10
08-06-2022 21:30:00;9.10
08-06-2022 21:45:00;9.10
08-06-2022 22:00:00;9.40
08-06-2022 22:15:00;9.30
08-06-2022 22:30:00;9.50
08-06-2022 22:45:00;9.40
08-06-2022 23:00:00;9.40
08-06-2022 23:15:00;9.40
08-06-2022 23:30:00;9.40
08-06-2022 23:45:00;10.00
09-06-2022 00:00:00;9.80
09-06-2022 00:15:00;9.80
09-06-2022 00:30:00;9.80
09-06-2022 00:45:00;9.70
09-06-2022 01:00:00;9.40
09-06-2022 01:15:00;9.30
09-06-2022 01:30:00;9.20
09-06-2022 01:45:00;9.20
09-06-2022 02:00:00;9.20
09-06-2022 02:15:00;8.80
09-06-2022 02:30:00;8.80
09-06-2022 02:45:00;8.80
09-06-2022 03:00:00;8.70
09-06-2022 03:15:00;8.70
09-06-2022 03:30:00;8.90
09-06-2022 03:45:00;8.90
09-06-2022 04:00:00;8.90
09-06-2022 04:15:00;8.80
09-06-2022 04:30:00;8.80
09-06-2022 04:45:00;9.50
09-06-2022 05:00:00;9.50
09-06-2022 05:15:00;9.40
09-06-2022 05:30:00;9.40
09-06-2022 05:45:00;9.30
09-06-2022 06:00:00;8.80
09-06-2022 06:15:00;9.00
09-06-2022 06:30:00;8.90
09-06-2022 06:45:00;8.80
09-06-2022 07:00:00;9.90
09-06-2022 07:15:00;8.90
09-06-2022 07:30:00;9.00
09-06-2022 07:45:00;8.80
09-06-2022 08:00:00;8.60
09-06-2022 08:15:00;8.50
09-06-2022 08:30:00;8.70
09-06-2022 08:45:00;8.70
09-06-2022 09:00:00;8.70
09-06-2022 09:15:00;8.70
09-06-2022 09:30:00;8.90
09-06-2022 09:45:00;9.20
09-06-2022 10:00:00;9.20
09-06-2022 10:15:00;9.20
09-06-2022 10:30:00;9.20
09-06-2022 10:45:00;9.10
09-06-2022 11:00:00;8.70
09-06-2022 11:15:00;8.80
09-06-2022 11:30:00;8.70
09-06-2022 11:45:00;8.80
09-06-2022 12:00:00;8.60
09-06-2022 12:15:00;8.40
09-06-2022 12:30:00;8.40
09-06-2022 12:45:00;8.40
09-06-2022 13:00:00;8.30
09-06-2022 13:15:00;8.40
09-06-2022 13:30:00;8.60
09-06-2022 13:45:00;8.60
09-06-2022 14:00:00;8.60
09-06-2022 14:15:00;8.60
09-06-2022 14:30:00;8.80
09-06-2022 14:45:00;9.40
09-06-2022 15:00:00;9.40
09-06-2022 15:15:00;9.40
09-06-2022 15:30:00;9.40
09-06-2022 15:45:00;9.20
09-06-2022 16:00:00;8.90
09-06-2022 16:15:00;8.80
09-06-2022 16:30:00;8.90
09-06-2022 16:45:00;8.80
09-06-2022 17:00:00;8.70
09-06-2022 17:15:00;8.50
09-06-2022 17:30:00;8.50
09-06-2022 17:45:00;8.40
09-06-2022 18:00:00;8.30
09-06-2022 18:15:00;8.40
09-06-2022 18:30:00;8.50
09-06-2022 18:45:00;8.50
09-06-2022 19:00:00;8.60
09-06-2022 19:15:00;8.60
09-06-2022 19:30:00;8.50
09-06-2022 19:45:00;8.40
09-06-2022 20:00:00;8.30
09-06-2022 20:15:00;8.30
09-06-2022 20:30:00;8.70
09-06-2022 20:45:00;8.60
09-06-2022 21:00:00;8.50
09-06-2022 21:15:00;8.50
09-06-2022 21:30:00;8.50
09-06-2022 21:45:00;8.50
09-06-2022 22:00:00;8.50
09-06-2022 22:15:00;8.70
09-06-2022 22:30:00;8.60
09-06-2022 22:45:00;8.60
09-06-2022 23:00:00;8.60
09-06-2022 23:15:00;8.60
09-06-2022 23:30:00;8.80
09-06-2022 23:45:00;8.80
10-06-2022 00:00:00;8.80
10-06-2022 00:15:00;8.80
10-06-2022 00:30:00;8.60
10-06-2022 00:45:00;8.90
10-06-2022 01:00:00;8.90
10-06-2022 01:15:00;8.90
10-06-2022 01:30:00;8.90
10-06-2022 01:45:00;8.80
10-06-2022 02:00:00;8.60
10-06-2022 02:15:00;8.60
10-06-2022 02:30:00;8.60
10-06-2022 02:45:00;8.60
10-06-2022 03:00:00;8.40
10-06-2022 03:15:00;8.30
10-06-2022 03:30:00;8.20
10-06-2022 03:45:00;8.20
10-06-2022 04:00:00;8.10
10-06-2022 04:15:00;8.10
10-06-2022 04:30:00;8.30
10-06-2022 04:45:00;8.20
10-06-2022 05:00:00;8.20
10-06-2022 05:15:00;8.10
10-06-2022 05:30:00;8.40
10-06-2022 05:45:00;8.60
10-06-2022 06:00:00;8.60
10-06-2022 06:15:00;8.50
10-06-2022 06:30:00;8.50
10-06-2022 06:45:00;8.00
10-06-2022 07:00:00;7.90
10-06-2022 07:15:00;7.90
10-06-2022 07:30:00;7.90
10-06-2022 07:45:00;7.80
10-06-2022 08:00:00;7.70
10-06-2022 08:15:00;7.60
10-06-2022 08:30:00;7.60
10-06-2022 08:45:00;7.60
10-06-2022 09:00:00;7.60
10-06-2022 09:15:00;7.70
10-06-2022 09:30:00;7.80
10-06-2022 09:45:00;7.80
10-06-2022 10:00:00;7.80
10-06-2022 10:15:00;7.80
10-06-2022 10:30:00;8.20
10-06-2022 10:45:00;8.50
10-06-2022 11:00:00;8.50
10-06-2022 11:15:00;8.50
10-06-2022 11:30:00;8.50
10-06-2022 11:45:00;8.10
10-06-2022 12:00:00;7.90
10-06-2022 12:15:00;7.70
10-06-2022 12:30:00;7.10
10-06-2022 18:15:00;8.00
10-06-2022 18:30:00;8.00
10-06-2022 18:45:00;8.00
10-06-2022 19:00:00;8.00
10-06-2022 19:15:00;8.30
10-06-2022 19:30:00;8.20
10-06-2022 19:45:00;8.20
10-06-2022 20:00:00;8.20
10-06-2022 20:15:00;8.20
10-06-2022 20:30:00;7.80
10-06-2022 20:45:00;7.80
10-06-2022 21:00:00;7.80
10-06-2022 21:15:00;7.80
10-06-2022 21:30:00;7.80
10-06-2022 21:45:00;7.90
10-06-2022 22:00:00;8.00
10-06-2022 22:15:00;8.10
10-06-2022 22:30:00;8.10
10-06-2022 22:45:00;8.10
10-06-2022 23:00:00;8.00
10-06-2022 23:15:00;7.90
10-06-2022 23:30:00;8.00
10-06-2022 23:45:00;7.90
11-06-2022 00:00:00;7.90
11-06-2022 00:15:00;7.90
11-06-2022 00:30:00;8.20
11-06-2022 00:45:00;8.20
11-06-2022 01:00:00;8.20
11-06-2022 01:15:00;8.20
11-06-2022 01:30:00;8.00
11-06-2022 01:45:00;8.00
11-06-2022 02:00:00;8.00
11-06-2022 02:15:00;8.00
11-06-2022 02:30:00;8.00
11-06-2022 02:45:00;8.10
11-06-2022 03:00:00;8.20
11-06-2022 03:15:00;8.20
11-06-2022 03:30:00;8.10
11-06-2022 03:45:00;8.10
11-06-2022 04:00:00;8.00
11-06-2022 04:15:00;8.10
11-06-2022 04:30:00;8.30
11-06-2022 04:45:00;8.40
11-06-2022 05:00:00;8.30
11-06-2022 05:15:00;8.30
11-06-2022 05:30:00;8.30
11-06-2022 05:45:00;8.30
11-06-2022 06:00:00;8.30
11-06-2022 06:15:00;8.30
11-06-2022 06:30:00;8.20
11-06-2022 06:45:00;8.20
11-06-2022 07:00:00;8.20
11-06-2022 07:15:00;8.20
11-06-2022 07:30:00;8.20
11-06-2022 07:45:00;8.20
11-06-2022 08:00:00;8.20
11-06-2022 08:15:00;8.20
11-06-2022 08:30:00;8.30
11-06-2022 08:45:00;8.20
11-06-2022 09:00:00;8.20
11-06-2022 09:15:00;8.20
11-06-2022 09:30:00;8.30
11-06-2022 09:45:00;8.30
11-06-2022 10:00:00;8.30
11-06-2022 10:15:00;8.30
11-06-2022 10:30:00;8.40
11-06-2022 10:45:00;8.30
11-06-2022 11:00:00;8.40
11-06-2022 11:15:00;8.40
11-06-2022 11:30:00;8.20
11-06-2022 11:45:00;8.20
11-06-2022 12:00:00;8.20
11-06-2022 12:15:00;8.20
11-06-2022 12:30:00;8.20
11-06-2022 12:45:00;8.30
11-06-2022 13:00:00;8.30
11-06-2022 13:15:00;8.40
11-06-2022 13:30:00;8.30
11-06-2022 13:45:00;8.30
11-06-2022 14:00:00;7.90
