Date;Value
01-01-1999 00:00:00;
16-02-2005 15:00:00;61.64
16-02-2005 16:00:00;59.70
16-02-2005 17:00:00;58.72
16-02-2005 18:00:00;57.75
16-02-2005 19:00:00;56.78
16-02-2005 20:00:00;56.78
16-02-2005 21:00:00;54.82
16-02-2005 22:00:00;53.85
16-02-2005 23:00:00;52.86
17-02-2005 00:00:00;51.89
17-02-2005 01:00:00;50.92
17-02-2005 02:00:00;50.92
17-02-2005 03:00:00;46.20
17-02-2005 04:00:00;48.96
17-02-2005 05:00:00;48.96
17-02-2005 06:00:00;48.00
17-02-2005 07:00:00;47.10
17-02-2005 08:00:00;46.20
17-02-2005 09:00:00;46.20
17-02-2005 10:00:00;44.39
17-02-2005 11:00:00;43.50
17-02-2005 12:00:00;43.50
17-02-2005 13:00:00;42.60
17-02-2005 14:00:00;41.70
17-02-2005 15:00:00;41.70
17-02-2005 16:00:00;40.79
17-02-2005 19:00:00;39.00
17-02-2005 20:00:00;39.00
17-02-2005 21:00:00;38.11
17-02-2005 22:00:00;38.11
17-02-2005 23:00:00;37.24
18-02-2005 00:00:00;37.24
18-02-2005 01:00:00;36.35
18-02-2005 02:00:00;36.35
18-02-2005 03:00:00;35.47
18-02-2005 04:00:00;35.47
18-02-2005 05:00:00;35.47
18-02-2005 06:00:00;34.60
18-02-2005 07:00:00;33.71
18-02-2005 08:00:00;33.71
18-02-2005 09:00:00;32.84
18-02-2005 10:00:00;32.84
18-02-2005 11:00:00;32.84
18-02-2005 12:00:00;31.96
18-02-2005 13:00:00;31.07
18-02-2005 14:00:00;31.07
18-02-2005 15:00:00;31.07
18-02-2005 16:00:00;31.07
18-02-2005 17:00:00;31.07
18-02-2005 18:00:00;30.19
18-02-2005 19:00:00;30.19
18-02-2005 20:00:00;30.19
18-02-2005 21:00:00;30.19
18-02-2005 22:00:00;30.19
18-02-2005 23:00:00;29.44
19-02-2005 00:00:00;29.44
19-02-2005 01:00:00;29.44
19-02-2005 02:00:00;28.67
19-02-2005 03:00:00;28.67
19-02-2005 04:00:00;28.67
19-02-2005 05:00:00;28.67
19-02-2005 06:00:00;27.92
19-02-2005 07:00:00;27.92
19-02-2005 08:00:00;27.92
19-02-2005 09:00:00;27.92
19-02-2005 10:00:00;27.16
19-02-2005 11:00:00;27.16
19-02-2005 12:00:00;27.16
19-02-2005 13:00:00;27.16
19-02-2005 14:00:00;27.16
19-02-2005 15:00:00;27.16
19-02-2005 16:00:00;27.92
19-02-2005 17:00:00;27.92
19-02-2005 18:00:00;28.67
19-02-2005 19:00:00;29.44
19-02-2005 20:00:00;30.19
19-02-2005 21:00:00;32.84
19-02-2005 22:00:00;35.47
19-02-2005 23:00:00;38.11
20-02-2005 00:00:00;42.60
20-02-2005 01:00:00;47.10
20-02-2005 02:00:00;53.85
20-02-2005 03:00:00;59.70
20-02-2005 04:00:00;64.56
20-02-2005 05:00:00;67.50
20-02-2005 06:00:00;71.59
20-02-2005 07:00:00;74.67
20-02-2005 08:00:00;78.76
20-02-2005 09:00:00;81.84
20-02-2005 10:00:00;85.95
20-02-2005 11:00:00;89.15
20-02-2005 12:00:00;92.59
20-02-2005 13:00:00;97.20
20-02-2005 14:00:00;100.65
20-02-2005 15:00:00;105.25
20-02-2005 16:00:00;108.70
20-02-2005 17:00:00;112.25
20-02-2005 18:00:00;117.25
20-02-2005 19:00:00;121.00
20-02-2005 20:00:00;124.75
20-02-2005 21:00:00;129.75
20-02-2005 22:00:00;134.75
20-02-2005 23:00:00;138.50
21-02-2005 00:00:00;142.25
21-02-2005 01:00:00;144.75
21-02-2005 02:00:00;146.00
21-02-2005 03:00:00;144.75
21-02-2005 04:00:00;144.75
21-02-2005 05:00:00;146.00
21-02-2005 06:00:00;144.75
21-02-2005 07:00:00;143.50
21-02-2005 08:00:00;141.00
21-02-2005 09:00:00;138.50
21-02-2005 10:00:00;134.75
21-02-2005 11:00:00;131.00
21-02-2005 12:00:00;126.00
21-02-2005 13:00:00;122.25
21-02-2005 14:00:00;117.25
21-02-2005 15:00:00;113.50
21-02-2005 16:00:00;108.70
21-02-2005 17:00:00;105.25
21-02-2005 18:00:00;102.95
21-02-2005 19:00:00;101.79
21-02-2005 20:00:00;98.34
21-02-2005 21:00:00;97.20
21-02-2005 22:00:00;94.90
21-02-2005 23:00:00;92.59
22-02-2005 00:00:00;91.45
22-02-2005 01:00:00;89.15
22-02-2005 02:00:00;88.00
22-02-2005 03:00:00;86.96
22-02-2005 04:00:00;86.96
22-02-2005 05:00:00;84.93
22-02-2005 06:00:00;83.90
22-02-2005 07:00:00;82.87
22-02-2005 08:00:00;82.87
22-02-2005 09:00:00;80.82
22-02-2005 10:00:00;79.79
22-02-2005 11:00:00;78.76
22-02-2005 12:00:00;77.75
22-02-2005 13:00:00;75.70
22-02-2005 14:00:00;74.67
22-02-2005 15:00:00;74.67
22-02-2005 16:00:00;73.65
22-02-2005 17:00:00;72.62
22-02-2005 18:00:00;72.62
22-02-2005 19:00:00;71.59
22-02-2005 20:00:00;71.59
22-02-2005 21:00:00;71.59
22-02-2005 22:00:00;71.59
22-02-2005 23:00:00;71.59
23-02-2005 00:00:00;71.59
23-02-2005 01:00:00;70.57
23-02-2005 02:00:00;69.54
23-02-2005 03:00:00;68.53
23-02-2005 04:00:00;67.50
23-02-2005 05:00:00;65.54
23-02-2005 06:00:00;63.60
23-02-2005 07:00:00;61.64
23-02-2005 08:00:00;61.64
23-02-2005 09:00:00;60.67
23-02-2005 10:00:00;61.64
23-02-2005 11:00:00;62.61
23-02-2005 12:00:00;62.61
23-02-2005 13:00:00;62.61
23-02-2005 14:00:00;62.61
23-02-2005 15:00:00;62.61
23-02-2005 16:00:00;61.64
23-02-2005 17:00:00;61.64
23-02-2005 18:00:00;61.64
23-02-2005 19:00:00;60.67
23-02-2005 20:00:00;60.67
23-02-2005 21:00:00;60.67
23-02-2005 22:00:00;59.70
23-02-2005 23:00:00;59.70
24-02-2005 00:00:00;59.70
24-02-2005 01:00:00;59.70
24-02-2005 02:00:00;59.70
24-02-2005 03:00:00;59.70
24-02-2005 04:00:00;59.70
24-02-2005 05:00:00;60.67
24-02-2005 06:00:00;60.67
24-02-2005 07:00:00;59.70
24-02-2005 08:00:00;59.70
24-02-2005 09:00:00;58.72
24-02-2005 10:00:00;56.78
24-02-2005 11:00:00;54.82
24-02-2005 12:00:00;52.86
24-02-2005 13:00:00;51.89
24-02-2005 14:00:00;50.92
24-02-2005 15:00:00;49.95
24-02-2005 16:00:00;49.95
24-02-2005 17:00:00;49.95
24-02-2005 18:00:00;48.96
24-02-2005 19:00:00;48.96
24-02-2005 20:00:00;48.96
24-02-2005 21:00:00;48.96
24-02-2005 22:00:00;48.00
24-02-2005 23:00:00;46.20
25-02-2005 00:00:00;43.50
25-02-2005 01:00:00;39.89
25-02-2005 02:00:00;36.35
25-02-2005 03:00:00;34.60
25-02-2005 04:00:00;32.84
25-02-2005 05:00:00;31.07
25-02-2005 06:00:00;30.19
25-02-2005 07:00:00;30.19
25-02-2005 08:00:00;29.44
25-02-2005 09:00:00;29.44
25-02-2005 10:00:00;28.67
25-02-2005 11:00:00;28.67
25-02-2005 12:00:00;28.67
25-02-2005 13:00:00;27.92
25-02-2005 14:00:00;27.92
25-02-2005 15:00:00;27.16
25-02-2005 16:00:00;27.16
25-02-2005 17:00:00;27.92
25-02-2005 18:00:00;27.92
25-02-2005 19:00:00;27.92
25-02-2005 20:00:00;27.92
25-02-2005 21:00:00;27.92
25-02-2005 22:00:00;27.92
