fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2019-01-01,9121X,HARO,LA RIOJA,465,"7,0","0,0","0,2",07:51,"13,7",15:30,71,90,Varias,47,15:10
2019-01-02,9121X,HARO,LA RIOJA,465,"5,0","0,0","2,0",23:33,"7,9",12:30,78,86,Varias,70,12:40
2019-01-03,9121X,HARO,LA RIOJA,465,"3,0","0,0","-1,5",08:22,"7,5",14:07,66,88,09:10,50,13:00
2019-01-04,9121X,HARO,LA RIOJA,465,"3,8","0,0","-2,9",07:16,"10,6",15:26,48,80,02:30,27,13:30
2019-01-05,9121X,HARO,LA RIOJA,465,"4,8","0,0","-2,8",07:47,"12,4",14:40,49,75,07:50,31,14:40
2019-01-06,9121X,HARO,LA RIOJA,465,"2,4","0,0","-4,0",05:38,"8,8",14:57,69,85,Varias,54,15:20
2019-01-07,9121X,HARO,LA RIOJA,465,"2,5","0,0","1,2",00:07,"3,8",21:26,79,86,00:20,74,13:20
2019-01-08,9121X,HARO,LA RIOJA,465,"4,8","0,0","3,5",00:01,"6,2",15:29,79,82,Varias,77,Varias
2019-01-09,9121X,HARO,LA RIOJA,465,"6,7","1,0","4,2",23:45,"9,2",14:16,79,94,Varias,62,14:20
2019-01-10,9121X,HARO,LA RIOJA,465,"2,7","0,2","1,0",19:37,"4,4",15:48,77,90,Varias,58,16:40
2019-01-11,9121X,HARO,LA RIOJA,465,"3,2","0,6","0,8",02:33,"5,5",14:31,74,95,Varias,64,13:00
2019-01-12,9121X,HARO,LA RIOJA,465,"5,1","0,6","3,2",00:01,"7,0",12:46,86,96,Varias,82,13:00
2019-01-13,9121X,HARO,LA RIOJA,465,"6,0","0,0","3,2",22:22,"8,9",14:28,80,93,01:00,74,Varias
2019-01-14,9121X,HARO,LA RIOJA,465,"6,8","0,0","3,9",00:01,"9,8",13:50,80,92,00:00,71,12:50
2019-01-15,9121X,HARO,LA RIOJA,465,"7,0","0,0","0,8",23:46,"13,3",15:28,72,92,23:59,53,15:30
2019-01-16,9121X,HARO,LA RIOJA,465,"2,6","0,0","-2,4",06:54,"7,6",15:25,83,97,Varias,70,16:20
2019-01-17,9121X,HARO,LA RIOJA,465,"6,6","0,0","3,2",23:45,"9,9",14:57,77,89,03:20,57,15:00
2019-01-18,9121X,HARO,LA RIOJA,465,"3,7","0,0","0,8",07:44,"6,6",13:14,78,91,08:00,68,13:30
