Date;Value
01-01-1999 00:00:00;
11-06-2021 12:30:00;40.10
11-06-2021 12:45:00;40.80
11-06-2021 13:00:00;41.00
11-06-2021 13:15:00;46.50
11-06-2021 14:00:00;49.40
11-06-2021 14:30:00;45.20
11-06-2021 14:45:00;45.60
11-06-2021 15:00:00;45.50
11-06-2021 15:15:00;43.20
11-06-2021 15:30:00;41.60
11-06-2021 15:45:00;42.60
11-06-2021 16:00:00;40.80
11-06-2021 16:15:00;40.80
11-06-2021 16:30:00;41.30
11-06-2021 16:45:00;40.90
11-06-2021 17:00:00;40.50
11-06-2021 17:15:00;40.30
11-06-2021 17:30:00;40.20
11-06-2021 17:45:00;40.40
11-06-2021 18:00:00;40.40
11-06-2021 18:15:00;41.10
11-06-2021 18:30:00;41.30
11-06-2021 19:15:00;42.10
11-06-2021 19:30:00;42.90
11-06-2021 19:45:00;43.40
11-06-2021 20:00:00;43.50
11-06-2021 20:15:00;43.20
11-06-2021 20:30:00;42.80
11-06-2021 20:45:00;42.40
11-06-2021 21:00:00;42.80
11-06-2021 21:15:00;43.00
11-06-2021 21:30:00;44.20
11-06-2021 21:45:00;43.60
11-06-2021 22:00:00;44.60
11-06-2021 22:15:00;44.70
11-06-2021 22:30:00;44.20
11-06-2021 22:45:00;44.40
11-06-2021 23:00:00;44.70
11-06-2021 23:15:00;44.40
11-06-2021 23:30:00;44.10
11-06-2021 23:45:00;43.80
12-06-2021 00:00:00;43.30
12-06-2021 00:15:00;42.90
12-06-2021 00:30:00;44.20
12-06-2021 00:45:00;43.80
12-06-2021 01:00:00;44.60
12-06-2021 01:15:00;44.40
12-06-2021 01:30:00;43.40
12-06-2021 01:45:00;43.20
12-06-2021 02:00:00;43.10
12-06-2021 02:15:00;42.90
12-06-2021 02:30:00;42.60
12-06-2021 02:45:00;42.90
12-06-2021 03:00:00;42.90
12-06-2021 03:15:00;42.80
12-06-2021 03:30:00;42.50
12-06-2021 03:45:00;42.80
12-06-2021 04:00:00;42.80
12-06-2021 04:15:00;42.90
12-06-2021 04:30:00;42.70
12-06-2021 04:45:00;42.80
12-06-2021 05:00:00;43.10
12-06-2021 05:15:00;43.60
12-06-2021 05:30:00;43.20
12-06-2021 05:45:00;43.20
12-06-2021 06:00:00;43.50
12-06-2021 06:15:00;43.60
12-06-2021 06:30:00;44.30
12-06-2021 06:45:00;45.10
12-06-2021 07:00:00;44.80
12-06-2021 07:15:00;45.40
12-06-2021 07:30:00;46.10
12-06-2021 07:45:00;49.40
12-06-2021 08:00:00;47.80
12-06-2021 08:15:00;46.00
12-06-2021 08:30:00;45.20
12-06-2021 08:45:00;44.40
12-06-2021 09:00:00;44.40
12-06-2021 09:15:00;44.50
12-06-2021 09:30:00;44.60
12-06-2021 09:45:00;44.70
12-06-2021 10:00:00;44.40
12-06-2021 10:15:00;45.40
12-06-2021 10:30:00;45.10
12-06-2021 10:45:00;47.30
12-06-2021 11:00:00;47.40
12-06-2021 11:15:00;46.80
12-06-2021 11:30:00;46.00
12-06-2021 11:45:00;44.80
12-06-2021 12:00:00;44.50
12-06-2021 12:15:00;46.10
12-06-2021 12:30:00;44.80
12-06-2021 12:45:00;44.10
12-06-2021 13:00:00;43.80
12-06-2021 13:15:00;43.60
12-06-2021 13:30:00;43.20
12-06-2021 13:45:00;43.00
12-06-2021 14:00:00;43.60
12-06-2021 14:15:00;44.00
12-06-2021 14:30:00;44.40
12-06-2021 14:45:00;44.20
12-06-2021 15:00:00;44.40
12-06-2021 15:15:00;45.10
12-06-2021 15:30:00;45.10
12-06-2021 15:45:00;45.10
12-06-2021 16:00:00;45.20
12-06-2021 16:15:00;45.80
12-06-2021 16:30:00;45.80
12-06-2021 16:45:00;45.50
12-06-2021 17:00:00;45.40
12-06-2021 17:15:00;46.20
12-06-2021 17:30:00;46.20
12-06-2021 17:45:00;46.90
12-06-2021 18:00:00;46.80
12-06-2021 18:15:00;47.30
12-06-2021 18:30:00;47.10
12-06-2021 18:45:00;47.90
12-06-2021 19:00:00;49.20
12-06-2021 19:15:00;48.30
12-06-2021 19:30:00;47.40
12-06-2021 19:45:00;47.00
12-06-2021 20:00:00;46.60
12-06-2021 20:15:00;46.40
12-06-2021 20:30:00;46.30
12-06-2021 20:45:00;46.20
12-06-2021 21:00:00;46.10
12-06-2021 21:15:00;46.40
12-06-2021 21:30:00;46.30
12-06-2021 21:45:00;46.40
12-06-2021 22:00:00;46.10
12-06-2021 22:15:00;46.20
12-06-2021 22:30:00;46.60
12-06-2021 22:45:00;46.90
12-06-2021 23:00:00;46.80
12-06-2021 23:15:00;46.60
12-06-2021 23:30:00;46.60
12-06-2021 23:45:00;46.10
13-06-2021 00:00:00;45.80
13-06-2021 00:15:00;45.50
13-06-2021 00:30:00;45.80
13-06-2021 00:45:00;46.20
13-06-2021 01:00:00;46.10
13-06-2021 01:15:00;45.80
13-06-2021 01:30:00;46.40
13-06-2021 01:45:00;45.60
13-06-2021 02:00:00;45.60
13-06-2021 02:15:00;46.10
13-06-2021 02:30:00;46.20
13-06-2021 02:45:00;46.60
13-06-2021 03:00:00;46.30
13-06-2021 03:15:00;46.20
13-06-2021 03:30:00;45.90
13-06-2021 03:45:00;45.50
13-06-2021 04:00:00;45.80
13-06-2021 04:15:00;46.20
13-06-2021 04:30:00;46.80
13-06-2021 04:45:00;47.10
13-06-2021 05:00:00;47.60
13-06-2021 05:15:00;48.20
13-06-2021 05:30:00;48.80
13-06-2021 05:45:00;50.40
13-06-2021 06:00:00;51.00
13-06-2021 06:15:00;51.60
13-06-2021 06:30:00;52.60
13-06-2021 06:45:00;54.10
13-06-2021 07:00:00;55.50
13-06-2021 07:15:00;56.80
13-06-2021 07:30:00;61.70
13-06-2021 07:45:00;63.00
13-06-2021 08:00:00;60.10
13-06-2021 08:15:00;57.80
13-06-2021 08:30:00;56.80
13-06-2021 08:45:00;56.90
13-06-2021 09:00:00;57.00
13-06-2021 09:15:00;57.30
13-06-2021 09:30:00;57.60
13-06-2021 09:45:00;61.90
13-06-2021 10:00:00;60.80
13-06-2021 10:15:00;59.50
13-06-2021 10:30:00;60.60
13-06-2021 10:45:00;61.00
13-06-2021 11:00:00;63.20
13-06-2021 11:15:00;66.00
13-06-2021 11:30:00;66.80
13-06-2021 11:45:00;67.10
13-06-2021 12:00:00;67.30
13-06-2021 12:15:00;67.70
13-06-2021 12:30:00;68.40
13-06-2021 12:45:00;69.00
13-06-2021 13:00:00;69.00
13-06-2021 13:15:00;69.20
13-06-2021 13:30:00;70.20
13-06-2021 13:45:00;71.10
13-06-2021 14:00:00;74.30
13-06-2021 14:15:00;76.00
13-06-2021 14:30:00;77.70
13-06-2021 14:45:00;77.60
13-06-2021 15:00:00;77.90
13-06-2021 15:15:00;77.80
13-06-2021 15:30:00;79.00
13-06-2021 15:45:00;78.90
13-06-2021 16:00:00;78.50
13-06-2021 16:15:00;77.90
13-06-2021 16:30:00;78.60
13-06-2021 16:45:00;78.40
13-06-2021 17:00:00;78.40
13-06-2021 17:15:00;77.90
13-06-2021 17:30:00;78.20
14-06-2021 06:00:00;76.80
14-06-2021 14:15:00;72.00
14-06-2021 14:30:00;71.80
14-06-2021 14:45:00;71.80
14-06-2021 15:00:00;72.30
14-06-2021 15:15:00;71.70
14-06-2021 15:30:00;71.90
14-06-2021 15:45:00;71.80
14-06-2021 16:00:00;72.80
14-06-2021 16:15:00;72.10
14-06-2021 16:30:00;72.20
14-06-2021 16:45:00;71.90
14-06-2021 17:00:00;72.40
14-06-2021 17:15:00;72.30
14-06-2021 17:30:00;72.30
14-06-2021 17:45:00;71.80
14-06-2021 18:00:00;72.40
14-06-2021 18:15:00;72.20
14-06-2021 18:30:00;72.00
14-06-2021 18:45:00;71.30
14-06-2021 19:00:00;71.40
14-06-2021 19:15:00;70.70
14-06-2021 19:30:00;70.30
14-06-2021 19:45:00;69.90
14-06-2021 20:00:00;70.20
14-06-2021 20:15:00;69.80
14-06-2021 20:30:00;69.70
14-06-2021 20:45:00;69.60
14-06-2021 21:00:00;69.70
14-06-2021 21:15:00;69.80
14-06-2021 21:30:00;69.20
14-06-2021 22:15:00;70.80
14-06-2021 22:30:00;69.40
14-06-2021 22:45:00;67.90
14-06-2021 23:00:00;67.30
14-06-2021 23:15:00;67.10
14-06-2021 23:30:00;66.40
14-06-2021 23:45:00;66.20
15-06-2021 00:00:00;65.70
15-06-2021 00:15:00;65.70
15-06-2021 00:30:00;65.10
15-06-2021 00:45:00;64.80
15-06-2021 01:00:00;64.90
15-06-2021 01:15:00;65.60
15-06-2021 01:30:00;64.10
15-06-2021 01:45:00;64.00
15-06-2021 02:00:00;63.30
15-06-2021 02:15:00;62.90
15-06-2021 02:30:00;62.30
15-06-2021 02:45:00;61.90
15-06-2021 03:00:00;61.60
15-06-2021 03:15:00;62.70
15-06-2021 03:30:00;62.50
15-06-2021 03:45:00;61.50
15-06-2021 04:00:00;61.50
15-06-2021 04:15:00;61.10
15-06-2021 04:30:00;61.40
15-06-2021 04:45:00;61.60
15-06-2021 05:00:00;60.60
15-06-2021 05:15:00;60.30
15-06-2021 05:30:00;60.30
15-06-2021 05:45:00;59.90
15-06-2021 06:00:00;61.80
15-06-2021 06:15:00;61.80
15-06-2021 06:30:00;61.00
15-06-2021 06:45:00;60.60
15-06-2021 07:00:00;60.90
15-06-2021 07:15:00;60.70
15-06-2021 07:30:00;61.00
15-06-2021 07:45:00;60.80
15-06-2021 08:00:00;61.20
15-06-2021 08:15:00;61.20
15-06-2021 08:30:00;61.00
15-06-2021 08:45:00;60.30
15-06-2021 09:00:00;61.70
15-06-2021 09:15:00;61.40
15-06-2021 09:30:00;61.00
15-06-2021 09:45:00;60.60
15-06-2021 10:00:00;60.50
15-06-2021 10:15:00;60.60
15-06-2021 10:30:00;60.90
15-06-2021 10:45:00;63.90
15-06-2021 11:00:00;62.70
15-06-2021 11:15:00;62.50
15-06-2021 11:30:00;61.80
15-06-2021 11:45:00;62.20
15-06-2021 12:00:00;61.30
15-06-2021 12:15:00;61.80
15-06-2021 12:30:00;61.70
15-06-2021 12:45:00;63.40
15-06-2021 13:00:00;63.40
15-06-2021 14:45:00;63.70
15-06-2021 15:00:00;62.90
15-06-2021 15:15:00;63.50
15-06-2021 16:45:00;56.40
15-06-2021 17:00:00;56.40
15-06-2021 17:15:00;57.60
15-06-2021 17:30:00;58.70
15-06-2021 17:45:00;57.50
15-06-2021 18:00:00;56.40
15-06-2021 18:15:00;55.90
15-06-2021 18:30:00;55.40
15-06-2021 18:45:00;56.10
15-06-2021 19:00:00;56.90
15-06-2021 19:15:00;56.30
15-06-2021 19:30:00;56.10
15-06-2021 19:45:00;55.90
15-06-2021 20:00:00;55.70
15-06-2021 20:15:00;55.40
15-06-2021 20:30:00;55.30
15-06-2021 20:45:00;55.60
