Date;Value
01-01-1999 00:00:00;
26-10-2021 12:30:00;28.00
26-10-2021 13:00:00;26.60
26-10-2021 13:15:00;26.60
26-10-2021 13:30:00;26.30
26-10-2021 13:45:00;26.10
26-10-2021 14:00:00;26.10
26-10-2021 14:15:00;26.10
26-10-2021 14:30:00;26.20
26-10-2021 14:45:00;26.60
26-10-2021 15:00:00;27.00
26-10-2021 15:15:00;27.00
26-10-2021 15:30:00;27.00
26-10-2021 15:45:00;26.90
26-10-2021 16:00:00;26.90
26-10-2021 16:15:00;26.80
26-10-2021 16:30:00;26.20
26-10-2021 16:45:00;26.40
26-10-2021 17:00:00;26.80
26-10-2021 17:30:00;26.60
26-10-2021 17:45:00;26.10
26-10-2021 18:00:00;25.80
26-10-2021 18:15:00;25.50
26-10-2021 18:30:00;25.10
26-10-2021 18:45:00;25.00
26-10-2021 19:00:00;25.40
26-10-2021 19:15:00;25.70
26-10-2021 20:00:00;24.80
26-10-2021 20:15:00;24.80
26-10-2021 20:30:00;24.70
26-10-2021 20:45:00;24.50
26-10-2021 21:00:00;24.30
26-10-2021 21:15:00;24.10
26-10-2021 21:30:00;23.90
26-10-2021 21:45:00;23.70
26-10-2021 22:00:00;23.90
26-10-2021 22:15:00;23.90
26-10-2021 22:30:00;23.60
26-10-2021 22:45:00;23.60
26-10-2021 23:15:00;23.80
26-10-2021 23:45:00;24.30
27-10-2021 00:00:00;24.60
27-10-2021 00:15:00;24.40
27-10-2021 00:30:00;24.30
27-10-2021 00:45:00;24.70
27-10-2021 01:00:00;25.20
27-10-2021 01:15:00;25.80
27-10-2021 01:45:00;27.10
27-10-2021 02:00:00;28.20
27-10-2021 02:15:00;29.10
27-10-2021 02:30:00;30.50
27-10-2021 02:45:00;30.90
27-10-2021 03:00:00;31.40
27-10-2021 03:15:00;31.40
27-10-2021 03:30:00;31.80
27-10-2021 03:45:00;31.80
27-10-2021 04:00:00;31.60
27-10-2021 04:15:00;31.80
27-10-2021 04:30:00;32.00
27-10-2021 04:45:00;32.10
27-10-2021 05:00:00;31.60
27-10-2021 05:15:00;31.20
27-10-2021 05:30:00;30.80
27-10-2021 05:45:00;30.00
27-10-2021 06:00:00;29.30
27-10-2021 06:15:00;28.70
27-10-2021 06:30:00;29.20
27-10-2021 06:45:00;29.10
27-10-2021 07:00:00;28.80
27-10-2021 07:15:00;28.70
27-10-2021 07:30:00;28.40
27-10-2021 07:45:00;28.20
27-10-2021 08:00:00;28.00
27-10-2021 08:15:00;28.00
27-10-2021 08:30:00;27.80
27-10-2021 08:45:00;27.80
27-10-2021 09:00:00;27.90
27-10-2021 09:15:00;27.50
27-10-2021 09:30:00;27.20
27-10-2021 09:45:00;27.60
27-10-2021 10:15:00;26.60
27-10-2021 10:30:00;26.20
27-10-2021 10:45:00;26.20
27-10-2021 11:00:00;26.30
27-10-2021 13:00:00;24.80
27-10-2021 13:15:00;24.50
27-10-2021 13:30:00;24.60
27-10-2021 13:45:00;25.10
27-10-2021 14:00:00;25.40
27-10-2021 14:15:00;25.40
27-10-2021 14:30:00;25.80
27-10-2021 14:45:00;26.50
27-10-2021 15:00:00;26.50
27-10-2021 15:15:00;26.00
27-10-2021 15:30:00;25.50
27-10-2021 15:45:00;25.40
27-10-2021 16:00:00;25.50
27-10-2021 16:15:00;25.50
27-10-2021 16:30:00;25.50
27-10-2021 16:45:00;26.30
27-10-2021 17:00:00;26.50
27-10-2021 17:15:00;26.00
27-10-2021 17:30:00;25.60
27-10-2021 17:45:00;25.40
27-10-2021 18:00:00;25.40
27-10-2021 18:15:00;25.20
27-10-2021 18:30:00;24.90
27-10-2021 18:45:00;24.80
27-10-2021 19:00:00;24.60
27-10-2021 19:15:00;24.70
27-10-2021 19:30:00;24.80
27-10-2021 19:45:00;24.80
27-10-2021 20:00:00;25.00
27-10-2021 20:15:00;25.20
27-10-2021 20:30:00;24.90
27-10-2021 20:45:00;24.70
27-10-2021 21:00:00;24.40
27-10-2021 21:15:00;24.40
