fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
2009-01-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,8","8,3","4,0",02:15,"9,5",15:40,30,"1,1","4,7",10:18,"0,0","992,1",00,"989,5",15,92
2009-01-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,0","0,1","4,2",23:59,"11,8",15:15,29,"1,9","5,6",12:53,"3,3","989,6",00,"986,5",Varias,90
2009-01-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,8","0,3","2,5",04:10,"7,2",18:00,32,"0,3","6,7",21:53,"0,0","987,0",24,"984,6",15,96
2009-01-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,6","0,0","1,9",05:15,"9,3",15:10,29,"4,7","9,2",10:27,"8,5","990,3",11,"987,0",00,70
2009-01-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,2","0,0","0,3",06:10,"8,1",15:10,29,"5,3","10,3",14:02,"7,0","988,6",00,"983,3",24,66
2009-01-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"3,4","0,0","0,2",23:59,"6,6",12:40,29,"7,5","13,9",17:56,"3,4","983,3",00,"981,0",Varias,67
2009-01-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"1,4","0,0","-1,4",07:50,"4,2",14:30,30,"9,4","20,6",13:35,"8,2","986,7",22,"982,3",00,59
2009-01-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"-0,5",Ip,"-2,8",21:00,"1,8",14:30,29,"2,8","12,5",00:04,"1,9","991,0",21,"985,2",Varias,68
2009-01-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"0,1","5,7","-2,4",08:15,"2,6",15:00,28,"3,1","6,7",16:08,"0,0","991,7",11,"988,2",17,85
2009-01-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"1,7","0,0","0,2",Varias,"3,2",Varias,27,"2,8","4,7",14:35,"0,0","998,8",24,"989,0",01,91
2009-01-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"3,5","0,0","1,4",Varias,"5,6",15:10,29,"3,3","6,1",18:13,"2,8","1002,7",11,"998,7",02,86
2009-01-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"1,8","0,0","-0,6",08:00,"4,1",16:00,30,"1,7","6,1",08:48,"1,2","1000,8",00,"993,7",24,92
2009-01-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"0,9","0,5","-1,4",08:00,"3,2",15:00,28,"2,2","10,3",22:42,"0,0","993,7",00,"988,0",24,89
2009-01-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,9","0,0","1,0",23:59,"10,8",Varias,29,"6,7","12,5",10:57,"8,8","989,9",09,"987,5",Varias,66
2009-01-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"3,2","0,0","-1,5",08:00,"8,0",Varias,24,"0,8","4,7",02:58,"6,0","988,4",24,"984,5",15,72
2009-01-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"2,4","0,0","-2,8",07:30,"7,6",Varias,11,"0,8","4,2",19:37,"5,3","993,8",11,"988,4",00,81
2009-01-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,4","0,0","-1,0",03:30,"11,9",15:30,28,"2,2","5,6",07:21,"7,1","996,1",11,"992,6",15,73
2009-01-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,0","0,0","0,0",05:45,"12,0",23:59,25,"0,8","11,9",23:28,"4,8","992,7",00,"986,9",24,84
2009-01-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,4","0,7","5,5",05:50,"19,2",14:05,25,"5,3","14,4",13:37,"5,3","986,9",00,"971,1",23,67
2009-01-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,1","0,0","2,2",08:00,"10,0",Varias,29,"1,9","10,8",00:03,"6,8","979,0",24,"972,3",06,63
2009-01-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,4","1,1","-1,0",03:00,"9,7",15:15,27,"4,4","15,6",13:49,"8,4","986,4",23,"979,0",00,53
2009-01-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,0","2,5","2,5",05:00,"13,6",21:15,23,"3,9","10,3",17:57,"0,0","984,4",00,"974,1",21,83
2009-01-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,5","0,0","7,0",00:00,"20,0",Varias,26,"10,6","22,8",11:49,"5,9","974,5",00,"964,7",24,55
2009-01-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,3","0,0","4,7",23:00,"15,9",Varias,27,"12,8","28,9",05:49,"6,8","980,1",22,"964,0",06,42
2009-01-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,7","0,1","3,8",00:55,"11,6",15:15,27,"4,2","13,3",14:18,"2,7","978,2",00,"965,9",16,50
