fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2014-01-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,2","1,6","1,8",07:00,"12,5",15:15,04,"1,7","8,9",04:50,"2,9","988,8",00,"982,0",24,74,,,,
2014-01-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,6","2,6","6,5",03:50,"12,6",15:50,08,"1,7","8,3",07:22,"0,9","983,3",23,"981,1",05,89,,,,
2014-01-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,2","1,2","8,8",07:50,"17,7",13:40,24,"4,4","13,9",12:33,"2,9","986,7",21,"983,1",01,75,,,,
2014-01-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,2","1,2","5,4",23:59,"17,0",12:40,29,"6,4","26,4",15:02,"3,7","985,8",24,"971,8",14,61,,,,
2014-01-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,2","0,0","4,9",00:10,"13,6",16:05,26,"1,7","14,4",10:06,"3,7","989,5",19,"985,8",00,63,,,,
2014-01-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,0","0,0","6,3",08:05,"15,8",13:00,24,"1,9","11,4",01:49,"1,6","988,7",00,"986,8",13,75,,,,
2014-01-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,2","0,0","6,0",06:20,"16,5",16:00,10,"2,8","7,2",09:20,"7,5","991,3",23,"988,0",14,73,,,,
2014-01-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,6","0,1","4,3",08:05,"15,0",13:55,11,"1,9","8,9",14:00,"4,8","993,3",11,"990,9",Varias,84,,,,
2014-01-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,8","0,2","2,7",07:50,"9,0",15:15,99,"1,7","4,7",Varias,"0,9","992,1",00,"988,5",17,98,,,,
2014-01-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,4",Ip,"2,0",02:15,"6,9",Varias,10,"1,4","6,1",Varias,"0,0","989,2",00,"986,3",16,98,,,,
2014-01-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,2","0,0","6,0",Varias,"8,4",14:30,35,"1,7","7,2",14:31,"0,0","992,0",24,"987,0",00,93,,,,
2014-01-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,8","1,9","6,9",04:05,"12,8",14:50,99,"0,0","4,7",Varias,"4,3","993,2",11,"991,5",24,85,,,,
2014-01-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,5","5,8",20:10,"11,5",14:25,26,"1,9","12,8",22:27,"2,9","991,5",00,"983,9",24,87,,,,
2014-01-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,8","1,0","6,7",23:10,"11,0",14:05,26,"4,7","15,0",02:51,"0,0","986,6",21,"981,3",08,81,,,,
2014-01-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,8","0,6","6,2",05:40,"13,3",13:15,27,"1,7","6,1",01:40,"0,0","986,4",00,"980,9",24,87,,,,
2014-01-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,1","0,0","7,5",08:05,"14,7",16:10,24,"2,2","11,4",11:35,"3,4","980,9",00,"976,8",16,65,,,,
2014-01-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,3","3,0",06:40,"14,3",14:05,12,"4,2","9,7",15:56,"8,6","977,7",00,"971,9",24,58,,,,
2014-01-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,4","7,0","5,8",06:30,"10,9",15:50,11,"1,1","8,3",01:41,"2,4","971,9",00,"964,4",15,92,,,,
2014-01-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,0","0,0","3,0",08:40,"10,9",15:50,32,"5,0","13,9",14:36,"4,7","976,7",24,"965,6",Varias,84,,,,
2014-01-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,6","0,0","2,4",06:30,"10,8",13:50,32,"7,2","18,6",14:09,"5,8","987,0",24,"976,7",00,64,,,,
2014-01-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,3","1,4","2,5",06:30,"12,1",14:30,25,"1,9","9,7",15:51,"5,3","987,0",00,"982,0",24,68,,,,
2014-01-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,1","0,0","5,7",Varias,"12,5",16:30,31,"5,8","16,1",15:48,"3,0","987,0",24,"980,6",04,78,,,,
2014-01-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,0","0,0","5,6",06:30,"12,3",15:30,29,"7,5","16,9",11:09,"7,9","995,3",24,"987,0",00,64,,,,
2014-01-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,2",Ip,"5,6",02:30,"14,8",15:45,30,"6,9","21,1",22:04,"1,2","995,3",00,"987,3",22,63,,,,
2014-01-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,2","0,0","10,5",23:00,"18,0",15:30,32,"9,2","21,7",12:11,"4,3","995,3",24,"988,6",00,63,,,,
2014-01-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,0","2,6","10,3",19:30,"15,7",Varias,28,"4,2","12,5",02:22,"3,1","995,3",00,"983,5",24,67,,,,
2014-01-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","3,2","4,8",23:59,"12,4",13:50,32,"6,4","13,9",18:40,"5,3","983,5",00,"977,3",16,69,,,,
2014-01-28,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,5","0,2","3,4",04:40,"11,6",Varias,99,"5,0","15,0",Varias,"4,8","979,6",00,"967,0",20,61,,,,
2014-01-29,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,3","3,1","3,2",08:30,"9,4",16:10,28,"2,2","13,9",00:19,"3,0","973,6",24,"966,4",05,86,,,,
2014-01-30,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,6","0,3","3,9",05:40,"11,3",15:50,29,"7,8","18,1",13:20,"9,1","978,6",20,"973,6",00,57,,,,
2014-01-31,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,0","0,0","2,7",08:20,"13,3",15:50,30,"3,3","12,5",12:09,"7,7","981,8",11,"978,0",00,71,,,,
2014-02-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,0","1,4","2,2",23:59,"11,7",16:00,33,"5,3","20,0",16:43,"1,4","985,0",24,"976,4",07,79,,,,
2014-02-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,2","0,0","1,3",06:30,"11,0",16:00,99,"1,7","7,8",Varias,"9,2","989,8",11,"985,0",00,62,,,,
2014-02-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,6","0,9","-0,5",06:00,"9,7",14:15,09,"2,5","8,3",14:33,"1,7","985,2",00,"977,3",15,82,,,,
2014-02-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,3","1,5","1,6",04:20,"13,0",13:00,99,"4,2","10,3",Varias,"6,8","984,5",11,"975,6",24,53,,,,
2014-02-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,8","0,0","5,0",08:15,"14,7",13:30,27,"6,9","21,1",12:16,"4,8","983,9",24,"973,0",05,61,,,,
2014-02-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,0","0,0","5,0",04:00,"17,0",20:15,26,"5,8","15,6",21:53,"6,9","984,5",01,"974,2",20,62,,,,
2014-02-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,0","0,0","8,5",08:40,"15,6",14:40,26,"6,1","16,4",11:52,"8,7","985,6",11,"976,9",00,48,,,,
2014-02-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,0","0,3","9,1",23:59,"17,0",13:20,29,"7,5","16,9",Varias,"0,8","982,7",00,"973,8",15,54,,,,
2014-02-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,8","4,7","5,5",Varias,"10,2",14:00,25,"5,3","15,6",04:30,"0,0","982,5",10,"964,5",24,67,,,,
2014-02-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,2","0,0","5,2",Varias,"11,3",Varias,30,"8,6","22,2",14:22,"4,5","987,1",24,"961,5",04,61,,,,
2014-02-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,0","1,1","1,9",04:30,"8,0",10:30,25,"2,5","11,9",06:39,"0,0","987,5",05,"981,0",16,77,,,,
2014-02-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,8","0,0","0,0",06:30,"13,7",14:40,99,"3,3","14,4",Varias,"6,5","987,8",08,"984,5",21,63,,,,
2014-02-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,6","0,0","9,5",00:50,"19,8",14:45,26,"8,9","18,1",07:12,"5,9","984,8",00,"981,6",16,51,,,,
2014-02-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"16,2","0,0","10,0",06:30,"22,3",16:30,19,"3,1","10,3",15:47,"4,4","983,6",00,"977,1",16,63,,,,
2014-02-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,3","0,0","10,1",20:00,"16,5",13:20,28,"5,0","12,8",11:55,"3,7","984,1",24,"977,0",05,54,,,,
2014-02-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,0","0,0","3,0",23:59,"13,0",16:10,28,"3,1","8,9",10:04,"3,8","986,7",09,"984,1",00,57,,,,
2014-02-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,2","0,0","0,3",07:00,"14,0",16:00,99,"4,2","9,2",Varias,"8,6","985,2",00,"981,7",Varias,63,,,,
2014-02-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,5","0,0","6,5",Varias,"12,5",16:40,30,"5,3","18,6",23:57,"0,0","985,0",24,"982,6",05,64,,,,
2014-02-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,9","0,0","6,5",04:50,"15,3",15:50,29,"8,6","18,6",00:10,"9,8","990,8",23,"985,0",00,58,,,,
2014-02-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,3",Ip,"2,6",06:45,"18,0",14:15,24,"1,9","13,9",23:30,"8,9","990,3",00,"984,3",23,64,,,,
2014-02-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,7","0,0","3,5",23:59,"13,9",00:20,32,"5,3","15,0",13:30,"6,5","990,5",24,"984,4",01,51,,,,
2014-02-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,0","0,0","0,0",05:50,"16,0",16:00,34,"1,1","6,1",15:13,"9,7","993,3",23,"990,1",04,57,,,,
2014-02-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,0","0,0","1,4",06:55,"16,7",15:15,13,"4,7","11,4",20:54,"9,8","993,2",00,"984,2",17,58,,,,
2014-02-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,2","0,0","4,0",07:00,"16,5",14:40,10,"1,9","8,3",10:03,"4,2","986,5",24,"984,4",15,63,,,,
2014-02-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,3","3,4","6,2",23:59,"16,4",15:10,34,"6,1","13,3",19:14,"1,2","988,9",24,"983,6",17,52,,,,
2014-02-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,8","0,0","2,5",04:10,"13,0",14:00,99,"4,2","13,3",Varias,"6,5","997,5",24,"988,9",00,65,,,,
2014-02-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,5","0,3","1,5",03:00,"11,5",16:30,29,"1,9","9,2",16:13,"1,6","997,5",00,"992,2",24,81,,,,
2014-02-28,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,2","3,2","4,4",01:50,"14,0",10:30,26,"8,9","21,7",10:00,"2,1","992,2",00,"981,7",10,68,,,,
2014-03-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,8","3,7","5,4",05:20,"10,2",15:30,25,"1,1","7,2",00:30,"0,0","985,0",00,"972,0",23,85,,,,
2014-03-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,2","0,5","6,5",01:10,"17,8",13:30,25,"4,4","17,5",23:56,"5,7","975,9",12,"971,1",24,80,,,,
2014-03-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,4","0,1","4,9",08:00,"15,8",00:30,99,"7,2","19,2",Varias,"8,1","977,1",24,"971,0",01,56,,,,
2014-03-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,4",Ip,"7,2",03:30,"13,6",14:30,30,"8,1","20,0",05:07,"6,5","983,1",12,"977,1",00,60,,,,
2014-03-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,9","0,0","8,8",01:20,"17,0",14:30,31,"9,2","23,3",15:30,"9,7","991,1",24,"980,8",00,66,,,,
2014-03-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,4","0,0","7,6",Varias,"19,2",16:10,29,"6,9","14,4",01:23,"10,7","992,6",24,"987,6",16,57,,,,
2014-03-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,8","0,0","2,8",07:10,"18,8",16:05,32,"0,6","5,3",14:41,"10,1","995,3",10,"992,1",Varias,64,,,,
2014-03-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,6","0,0","3,0",06:40,"20,2",Varias,10,"3,1","7,8",13:07,"10,1","994,6",09,"990,7",18,57,,,,
2014-03-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,4","0,0","3,7",06:30,"19,2",15:30,19,"2,8","9,7",15:21,"10,6","997,4",09,"993,3",18,51,,,,
2014-03-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,1","0,0","2,2",06:15,"20,0",16:15,30,"2,5","11,9",22:14,"10,6","994,4",01,"988,0",19,57,,,,
2014-03-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,2","0,0","7,0",07:45,"19,5",16:15,99,"1,1","9,7",00:08,"8,4","993,0",24,"988,5",00,46,,,,
2014-03-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,0","0,0","3,9",06:40,"18,0",Varias,15,"3,1","9,7",15:20,"10,1","997,2",09,"993,0",00,53,,,,
2014-03-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,5","0,0","4,5",06:05,"16,5",15:40,12,"1,7","9,2",12:50,"6,8","998,0",09,"995,3",16,64,,,,
2014-03-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,6","0,0","2,8",05:20,"20,4",16:30,30,"2,8","10,3",23:50,"8,5","997,6",10,"993,6",17,59,,,,
2014-03-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,7","0,0","9,6",06:40,"19,8",12:30,99,"9,7","18,6",Varias,"9,6","997,4",10,"995,0",17,49,,,,
2014-03-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,7","0,0","9,4",05:20,"22,0",16:20,29,"7,8","16,9",09:21,"10,7","996,5",00,"992,0",17,43,,,,
2014-03-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,2","0,0","5,0",06:10,"25,3",17:10,28,"0,3","7,8",00:37,"11,0","993,3",09,"988,0",16,51,,,,
2014-03-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,2","0,0","9,4",03:40,"21,0",14:50,30,"7,8","17,5",17:10,"10,6","994,5",24,"989,2",03,58,,,,
2014-03-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,9","0,0","8,0",07:30,"19,8",16:00,29,"1,9","13,3",00:04,"9,6","995,0",09,"989,4",24,59,,,,
2014-03-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,6",Ip,"6,6",07:00,"22,5",15:20,12,"1,1","8,9",19:46,"11,0","989,9",09,"986,1",16,61,,,,
2014-03-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,6","4,6","9,2",05:30,"20,1",15:40,12,"3,6","11,9",11:12,"3,7","989,7",11,"984,1",24,81,,,,
2014-03-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,8","0,6","6,7",23:20,"18,8",13:40,32,"7,5","16,1",17:41,"7,4","986,2",24,"980,8",14,55,,,,
2014-03-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,0","3,6",04:30,"13,6",14:30,32,"7,5","19,2",13:19,"10,8","991,2",20,"984,8",Varias,53,,,,
2014-03-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,8","2,7","1,4",06:15,"16,1",12:40,35,"2,5","9,7",20:20,"4,9","991,0",00,"984,5",15,72,,,,
2014-03-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,7","3,5","5,0",22:45,"14,4",11:00,25,"6,9","18,1",10:29,"2,5","989,0",04,"980,5",24,67,,,,
2014-03-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,7","0,0","4,9",03:10,"12,5",13:30,30,"10,3","21,7",10:29,"4,9","984,2",23,"978,1",05,69,,,,
2014-03-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,4","0,0","4,6",07:10,"16,2",16:20,29,"3,1","13,3",Varias,"10,2","983,9",00,"977,8",17,58,,,,
2014-03-28,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,2","0,0","7,8",05:50,"18,5",13:20,12,"10,0","17,5",16:25,"5,7","981,1",24,"978,4",16,49,,,,
2014-03-29,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,5","0,0","10,2",04:50,"16,8",16:40,14,"7,2","16,4",16:12,"1,4","981,1",Varias,"977,3",15,59,,,,
2014-03-30,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,4",Ip,"10,2",22:00,"14,6",14:20,14,"2,2","7,8",04:10,"0,0","984,7",24,"980,6",05,80,,,,
2014-03-31,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,4","0,0","6,2",Varias,"20,5",15:45,10,"3,1","9,2",16:24,"8,2","985,1",09,"981,5",18,63,,,,
2014-04-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,5",Ip,"9,0",Varias,"22,0",16:00,11,"6,4","15,6",16:40,"5,2","982,4",00,"976,2",18,65,,,,
2014-04-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,0","2,1","11,0",23:59,"17,0",12:50,12,"5,6","12,8",07:04,"0,0","977,9",00,"970,1",14,73,,,,
2014-04-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,0","0,8","10,2",06:00,"13,7",13:55,27,"6,4","15,6",23:00,"0,0","977,4",24,"969,2",06,84,,,,
2014-04-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,3","0,0","10,4",05:15,"20,2",15:55,28,"8,9","19,2",08:10,"8,7","986,1",24,"977,4",00,45,,,,
2014-04-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"16,9","0,0","10,7",04:30,"23,1",14:10,99,"6,9","14,4",Varias,"10,5","989,2",24,"986,1",Varias,55,,,,
2014-04-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"19,3","0,0","11,6",03:30,"27,0",16:00,27,"3,6","9,7",09:20,"11,8","989,3",09,"984,7",18,57,,,,
2014-04-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"19,6","0,0","11,2",06:00,"28,0",14:40,11,"3,1","8,3",13:53,"10,5","989,0",10,"984,7",16,55,,,,
2014-04-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,0","0,0","12,6",23:59,"23,4",15:15,30,"7,8","15,0",10:10,"11,8","993,9",24,"988,1",00,52,,,,
2014-04-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"16,4","0,0","9,2",05:30,"23,7",17:30,27,"1,9","9,2",00:01,"9,8","993,9",00,"988,1",18,59,,,,
2014-04-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"19,4","2,0","10,2",Varias,"28,6",16:00,18,"3,3","17,5",21:26,"9,3","989,2",Varias,"984,1",16,64,,,,
2014-04-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"19,4","0,0","12,2",05:50,"26,7",15:30,99,"3,1","15,0",Varias,"11,1","988,0",00,"981,4",17,60,,,,
2014-04-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,1","0,0","12,6",05:40,"23,6",16:30,29,"3,3","12,8",22:02,"9,7","989,8",24,"985,0",15,56,,,,
2014-04-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,9","0,0","11,3",05:30,"26,5",16:40,99,"6,9","11,4",Varias,"11,6","991,6",09,"986,6",18,49,,,,
2014-04-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"19,1","0,0","12,2",06:10,"26,0",16:10,29,"2,5","8,3",00:31,"10,5","989,6",09,"983,9",18,50,,,,
2014-04-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"21,4","0,0","14,6",06:15,"28,1",18:30,08,"2,2","7,2",09:52,"6,6","985,7",24,"982,8",16,50,,,,
2014-04-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"21,0","0,0","12,6",06:00,"29,5",16:50,30,"1,4","6,7",13:21,"12,0","988,0",10,"984,9",18,46,,,,
2014-04-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"19,1","0,0","10,2",06:25,"28,0",Varias,29,"3,6","13,9",23:59,"12,5","990,1",09,"984,9",18,36,,,,
2014-04-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"20,1","0,0","11,6",06:00,"28,6",14:30,29,"5,0","12,8",00:10,"12,8","985,9",00,"979,2",18,21,,,,
2014-04-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,7","8,5","12,4",06:10,"25,0",16:00,30,"6,7","15,0",07:49,"9,6","980,1",00,"972,4",18,31,,,,
2014-04-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,3","0,0","12,0",Varias,"18,6",16:30,30,"3,3","9,7",14:10,"5,2","974,9",00,"971,6",05,78,,,,
2014-04-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,6","4,2","10,2",04:40,"21,0",14:00,04,"1,9","8,9",15:16,"3,4","977,3",24,"971,9",15,79,,,,
