fecha,indicativo,nombre,provincia,altitud,tmed,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,prec
2011-02-17,9501X,VALMADRID ,ZARAGOZA,535,"6,0","1,9",05:01,"10,1",14:45,31,"4,2","16,7",21:20,70,82,07:50,49,14:40,
2011-03-04,9501X,VALMADRID ,ZARAGOZA,535,"3,6","0,7",03:43,"6,5",14:47,14,"1,9","10,0",12:30,91,96,09:50,84,Varias,"0,8"
2011-03-05,9501X,VALMADRID ,ZARAGOZA,535,"6,4","1,4",Varias,"11,5",15:46,12,"1,1","6,1",12:40,72,97,07:50,50,17:00,"0,0"
2011-03-06,9501X,VALMADRID ,ZARAGOZA,535,"7,0","0,7",04:57,"13,4",14:23,34,"1,1","6,1",14:30,60,87,Varias,42,Varias,"0,0"
2011-03-07,9501X,VALMADRID ,ZARAGOZA,535,"8,0","1,2",05:51,"14,8",Varias,13,"4,2","13,3",22:50,54,83,Varias,36,15:30,"0,0"
2011-03-08,9501X,VALMADRID ,ZARAGOZA,535,"7,4","5,3",05:39,"9,4",14:02,11,"5,0","13,6",14:30,79,90,05:30,68,16:50,"0,0"
2011-03-09,9501X,VALMADRID ,ZARAGOZA,535,"7,2","2,4",23:32,"11,9",15:16,12,"1,9","8,3",00:30,69,88,23:40,57,15:20,"0,0"
2011-03-10,9501X,VALMADRID ,ZARAGOZA,535,"7,9","0,8",06:26,"15,0",14:44,13,"1,9","6,1",Varias,65,95,07:20,47,14:30,"0,0"
2011-03-11,9501X,VALMADRID ,ZARAGOZA,535,"8,4","1,1",04:57,"15,7",14:26,14,"4,4","14,2",19:50,63,96,Varias,32,13:00,"15,0"
2011-03-12,9501X,VALMADRID ,ZARAGOZA,535,"7,8","6,0",Varias,"9,6",14:31,12,"1,7","9,2",01:50,90,97,Varias,81,18:00,"1,6"
2011-03-13,9501X,VALMADRID ,ZARAGOZA,535,"10,3","4,4",02:18,"16,2",15:46,27,"2,8","10,3",04:20,60,98,03:00,46,Varias,"0,0"
2011-03-14,9501X,VALMADRID ,ZARAGOZA,535,"9,4","7,4",06:39,"11,4",14:19,12,"5,0","13,9",14:40,91,94,Varias,73,01:40,"7,0"
2011-03-15,9501X,VALMADRID ,ZARAGOZA,535,"8,4","7,0",Varias,"9,8",00:35,28,"3,9","18,3",23:00,93,96,Varias,85,10:30,"60,2"
2011-03-16,9501X,VALMADRID ,ZARAGOZA,535,"8,0","5,6",05:08,"10,4",Varias,32,"9,4","19,4",23:59,87,92,15:00,76,23:50,"8,0"
2011-03-17,9501X,VALMADRID ,ZARAGOZA,535,"10,3","7,6",Varias,"13,0",14:25,31,"11,1","21,9",10:50,76,81,09:10,71,Varias,"0,0"
2011-03-18,9501X,VALMADRID ,ZARAGOZA,535,"10,8","5,8",06:17,"15,8",15:28,32,"8,3","20,8",23:30,64,81,06:20,44,15:30,"0,0"
2011-03-19,9501X,VALMADRID ,ZARAGOZA,535,"10,2","6,1",05:59,"14,3",14:35,29,"8,6","26,1",02:50,64,77,00:00,56,15:10,"0,0"
2011-03-20,9501X,VALMADRID ,ZARAGOZA,535,"10,4","4,8",05:21,"15,9",16:04,30,"4,4","18,6",01:10,60,84,23:59,41,16:30,"0,0"
2011-03-21,9501X,VALMADRID ,ZARAGOZA,535,"9,0","3,9",03:32,"14,2",14:58,12,"0,8","5,8",16:00,70,89,04:10,52,15:00,"0,0"
2011-03-22,9501X,VALMADRID ,ZARAGOZA,535,"7,4","5,3",19:35,"9,6",13:31,08,"2,2","12,5",13:40,83,93,Varias,69,01:50,"2,2"
