Date;Value
01-01-1999 00:00:00;
28-03-2012 17:00:00;4199.00
28-03-2012 17:15:00;4197.00
28-03-2012 17:30:00;4192.00
28-03-2012 17:45:00;4205.00
28-03-2012 18:00:00;4223.00
28-03-2012 18:15:00;4262.00
28-03-2012 18:30:00;4283.00
28-03-2012 18:45:00;4326.00
28-03-2012 19:00:00;4362.00
28-03-2012 19:15:00;4458.00
28-03-2012 19:30:00;4398.00
28-03-2012 19:45:00;4422.00
28-03-2012 20:00:00;4495.00
28-03-2012 20:15:00;4453.00
28-03-2012 20:30:00;4420.00
28-03-2012 20:45:00;4449.00
28-03-2012 21:00:00;4448.00
28-03-2012 21:15:00;4464.00
28-03-2012 21:30:00;4477.00
28-03-2012 21:45:00;4518.00
28-03-2012 22:00:00;4597.00
28-03-2012 22:15:00;4593.00
28-03-2012 22:45:00;4660.00
28-03-2012 23:00:00;4661.00
28-03-2012 23:15:00;4664.00
28-03-2012 23:30:00;4691.00
28-03-2012 23:45:00;4702.00
29-03-2012 00:00:00;4685.00
29-03-2012 00:45:00;4646.00
29-03-2012 01:00:00;4717.00
29-03-2012 01:15:00;4610.00
29-03-2012 01:30:00;4318.00
29-03-2012 01:45:00;4238.00
29-03-2012 02:00:00;4279.00
29-03-2012 02:15:00;4428.00
29-03-2012 02:30:00;4602.00
29-03-2012 02:45:00;4734.00
29-03-2012 03:00:00;4596.00
29-03-2012 03:15:00;4232.00
29-03-2012 03:30:00;4084.00
29-03-2012 03:45:00;4112.00
29-03-2012 04:00:00;4192.00
29-03-2012 04:15:00;4219.00
29-03-2012 04:30:00;3929.00
29-03-2012 04:45:00;3588.00
29-03-2012 05:00:00;3457.00
29-03-2012 05:15:00;3372.00
29-03-2012 05:30:00;3351.00
29-03-2012 05:45:00;3389.00
29-03-2012 06:00:00;3428.00
29-03-2012 06:15:00;3475.00
29-03-2012 06:30:00;3516.00
29-03-2012 06:45:00;3567.00
29-03-2012 07:00:00;3634.00
29-03-2012 07:15:00;3684.00
29-03-2012 07:30:00;3695.00
29-03-2012 07:45:00;3715.00
29-03-2012 08:00:00;3734.00
29-03-2012 08:15:00;3738.00
29-03-2012 08:45:00;3736.00
29-03-2012 09:00:00;3721.00
29-03-2012 09:15:00;3714.00
29-03-2012 09:30:00;3739.00
29-03-2012 09:45:00;3773.00
29-03-2012 10:00:00;3807.00
29-03-2012 10:15:00;3840.00
29-03-2012 10:30:00;3891.00
29-03-2012 10:45:00;3926.00
29-03-2012 12:30:00;4140.00
29-03-2012 13:30:00;4183.00
29-03-2012 13:45:00;4194.00
29-03-2012 14:00:00;4233.00
29-03-2012 14:15:00;4265.00
29-03-2012 14:30:00;4353.00
29-03-2012 14:45:00;4390.00
29-03-2012 15:00:00;4424.00
29-03-2012 15:15:00;4436.00
29-03-2012 15:30:00;4374.00
29-03-2012 15:45:00;4375.00
29-03-2012 16:00:00;4358.00
29-03-2012 16:15:00;4322.00
29-03-2012 16:30:00;4343.00
29-03-2012 16:45:00;4379.00
29-03-2012 17:00:00;4452.00
29-03-2012 17:15:00;4486.00
29-03-2012 17:30:00;4541.00
29-03-2012 17:45:00;4592.00
29-03-2012 18:00:00;4597.00
29-03-2012 18:15:00;4595.00
29-03-2012 18:30:00;4575.00
29-03-2012 18:45:00;4558.00
29-03-2012 19:00:00;4572.00
29-03-2012 19:15:00;4612.00
29-03-2012 19:30:00;4661.00
29-03-2012 20:00:00;4717.00
29-03-2012 20:15:00;4725.00
29-03-2012 20:30:00;4747.00
29-03-2012 20:45:00;4765.00
29-03-2012 21:00:00;4829.00
29-03-2012 21:15:00;4940.00
29-03-2012 21:30:00;4958.00
