Date;Value
01-01-1999 00:00:00;
21-06-2012 18:15:00;38.00
21-06-2012 18:30:00;37.30
21-06-2012 18:45:00;36.30
21-06-2012 19:00:00;34.80
21-06-2012 19:15:00;34.60
21-06-2012 19:30:00;34.50
21-06-2012 19:45:00;34.80
21-06-2012 20:00:00;34.40
21-06-2012 20:15:00;34.30
21-06-2012 20:30:00;34.10
21-06-2012 20:45:00;33.70
21-06-2012 21:00:00;33.60
21-06-2012 21:15:00;33.60
21-06-2012 21:30:00;33.40
21-06-2012 21:45:00;33.20
21-06-2012 22:00:00;32.90
21-06-2012 22:15:00;32.70
21-06-2012 22:30:00;32.50
21-06-2012 22:45:00;32.70
21-06-2012 23:00:00;32.40
21-06-2012 23:15:00;32.60
21-06-2012 23:30:00;32.90
21-06-2012 23:45:00;33.20
22-06-2012 00:00:00;33.30
22-06-2012 00:15:00;33.40
22-06-2012 00:30:00;33.60
22-06-2012 00:45:00;33.60
22-06-2012 01:00:00;33.70
22-06-2012 01:15:00;33.70
22-06-2012 01:30:00;34.00
22-06-2012 01:45:00;34.30
22-06-2012 02:00:00;34.50
22-06-2012 02:15:00;34.60
22-06-2012 02:30:00;34.50
22-06-2012 02:45:00;34.20
22-06-2012 03:00:00;34.00
22-06-2012 03:15:00;34.00
22-06-2012 03:30:00;34.40
22-06-2012 03:45:00;34.00
22-06-2012 04:00:00;34.00
22-06-2012 04:15:00;33.50
22-06-2012 04:30:00;33.50
22-06-2012 04:45:00;33.60
22-06-2012 05:00:00;33.80
22-06-2012 05:15:00;34.80
22-06-2012 05:30:00;35.30
22-06-2012 05:45:00;35.40
22-06-2012 06:00:00;35.50
22-06-2012 06:15:00;36.00
22-06-2012 06:30:00;36.30
22-06-2012 06:45:00;36.10
22-06-2012 07:00:00;36.10
22-06-2012 07:15:00;36.10
22-06-2012 07:30:00;35.90
22-06-2012 07:45:00;35.80
22-06-2012 08:00:00;35.50
22-06-2012 08:15:00;35.20
22-06-2012 08:30:00;35.10
22-06-2012 08:45:00;35.20
22-06-2012 09:00:00;35.10
22-06-2012 09:15:00;35.10
22-06-2012 09:30:00;35.90
22-06-2012 09:45:00;35.40
22-06-2012 10:00:00;34.90
22-06-2012 10:15:00;34.70
22-06-2012 10:30:00;34.50
22-06-2012 10:45:00;34.50
22-06-2012 11:00:00;34.90
22-06-2012 11:15:00;34.60
22-06-2012 11:30:00;36.00
22-06-2012 11:45:00;36.50
22-06-2012 12:00:00;35.20
22-06-2012 12:15:00;34.70
22-06-2012 12:30:00;34.60
22-06-2012 12:45:00;34.60
22-06-2012 13:00:00;34.50
22-06-2012 13:15:00;34.70
22-06-2012 13:30:00;37.50
22-06-2012 13:45:00;36.00
22-06-2012 14:00:00;35.00
22-06-2012 14:15:00;34.60
22-06-2012 14:30:00;36.70
22-06-2012 14:45:00;39.30
22-06-2012 15:00:00;38.40
22-06-2012 15:15:00;34.80
22-06-2012 15:30:00;34.40
22-06-2012 15:45:00;35.00
22-06-2012 16:00:00;35.20
22-06-2012 16:15:00;37.10
22-06-2012 16:30:00;36.90
22-06-2012 16:45:00;35.60
22-06-2012 17:00:00;35.40
22-06-2012 17:15:00;35.40
22-06-2012 17:30:00;36.80
22-06-2012 17:45:00;38.20
22-06-2012 18:00:00;37.20
22-06-2012 18:15:00;37.80
22-06-2012 18:30:00;39.30
22-06-2012 18:45:00;39.90
22-06-2012 19:00:00;39.60
22-06-2012 19:15:00;38.20
22-06-2012 19:30:00;36.80
22-06-2012 19:45:00;36.40
22-06-2012 20:00:00;36.00
22-06-2012 20:15:00;35.90
22-06-2012 20:30:00;36.20
22-06-2012 20:45:00;37.10
22-06-2012 21:00:00;36.80
22-06-2012 21:15:00;36.30
22-06-2012 21:30:00;36.00
22-06-2012 21:45:00;35.60
22-06-2012 22:00:00;35.40
22-06-2012 22:15:00;35.20
22-06-2012 22:30:00;35.20
22-06-2012 22:45:00;35.10
22-06-2012 23:00:00;35.20
22-06-2012 23:15:00;34.80
22-06-2012 23:30:00;34.80
22-06-2012 23:45:00;34.90
23-06-2012 00:00:00;35.20
23-06-2012 00:15:00;35.30
23-06-2012 00:30:00;35.60
23-06-2012 00:45:00;36.10
23-06-2012 01:00:00;36.40
23-06-2012 01:15:00;36.30
23-06-2012 01:30:00;36.40
23-06-2012 01:45:00;36.40
23-06-2012 02:00:00;36.50
23-06-2012 02:15:00;36.50
23-06-2012 02:30:00;36.50
23-06-2012 02:45:00;36.40
23-06-2012 03:00:00;36.40
23-06-2012 03:15:00;36.70
23-06-2012 03:30:00;36.40
23-06-2012 03:45:00;36.00
23-06-2012 04:00:00;35.90
23-06-2012 04:15:00;35.80
23-06-2012 04:30:00;35.70
23-06-2012 04:45:00;35.80
23-06-2012 05:00:00;35.90
23-06-2012 05:15:00;35.30
23-06-2012 05:30:00;35.10
23-06-2012 05:45:00;35.20
23-06-2012 06:00:00;35.50
23-06-2012 06:15:00;35.60
23-06-2012 06:30:00;35.80
23-06-2012 06:45:00;36.10
23-06-2012 07:00:00;35.90
23-06-2012 07:15:00;35.80
23-06-2012 07:30:00;35.30
23-06-2012 07:45:00;35.00
23-06-2012 08:00:00;34.80
23-06-2012 08:15:00;34.80
23-06-2012 08:30:00;34.70
23-06-2012 08:45:00;34.50
23-06-2012 09:00:00;34.30
23-06-2012 09:15:00;34.30
23-06-2012 09:30:00;34.20
23-06-2012 09:45:00;34.10
23-06-2012 10:00:00;33.70
23-06-2012 10:15:00;33.60
23-06-2012 10:30:00;33.50
23-06-2012 10:45:00;33.40
23-06-2012 11:00:00;33.60
23-06-2012 11:15:00;34.10
23-06-2012 11:30:00;34.10
23-06-2012 11:45:00;33.80
23-06-2012 12:00:00;33.40
23-06-2012 12:15:00;33.50
23-06-2012 12:30:00;33.10
23-06-2012 12:45:00;32.80
23-06-2012 13:00:00;32.60
23-06-2012 13:15:00;32.70
23-06-2012 13:30:00;32.70
23-06-2012 13:45:00;32.70
23-06-2012 14:00:00;32.90
23-06-2012 14:15:00;33.20
23-06-2012 14:30:00;33.90
23-06-2012 14:45:00;37.60
23-06-2012 15:00:00;37.50
23-06-2012 15:15:00;36.00
23-06-2012 15:30:00;37.30
23-06-2012 15:45:00;37.60
23-06-2012 16:00:00;37.10
23-06-2012 16:15:00;36.60
23-06-2012 16:30:00;35.60
23-06-2012 16:45:00;36.40
23-06-2012 17:00:00;38.40
23-06-2012 17:15:00;38.50
23-06-2012 17:30:00;38.10
23-06-2012 17:45:00;39.60
23-06-2012 18:00:00;39.60
23-06-2012 18:45:00;41.50
23-06-2012 19:00:00;39.90
23-06-2012 19:15:00;39.40
23-06-2012 19:30:00;37.60
23-06-2012 19:45:00;36.70
23-06-2012 20:00:00;36.30
23-06-2012 20:15:00;36.90
23-06-2012 20:30:00;37.50
23-06-2012 20:45:00;39.00
23-06-2012 21:00:00;38.60
23-06-2012 21:15:00;36.80
