Date;Value
01-01-1999 00:00:00;
21-06-2012 18:15:00;174.00
21-06-2012 18:30:00;168.00
21-06-2012 18:45:00;169.00
21-06-2012 19:00:00;168.00
21-06-2012 19:15:00;168.00
21-06-2012 19:30:00;168.00
21-06-2012 19:45:00;168.00
21-06-2012 20:00:00;166.00
21-06-2012 20:15:00;169.00
21-06-2012 20:30:00;172.00
21-06-2012 20:45:00;172.00
21-06-2012 21:00:00;173.00
21-06-2012 21:15:00;170.00
21-06-2012 21:30:00;166.00
21-06-2012 21:45:00;167.00
21-06-2012 22:00:00;167.00
21-06-2012 22:15:00;168.00
21-06-2012 22:30:00;168.00
21-06-2012 22:45:00;169.00
21-06-2012 23:00:00;168.00
21-06-2012 23:15:00;169.00
21-06-2012 23:30:00;170.00
21-06-2012 23:45:00;171.00
22-06-2012 00:00:00;172.00
22-06-2012 00:15:00;173.00
22-06-2012 00:30:00;172.00
22-06-2012 00:45:00;173.00
22-06-2012 01:00:00;173.00
22-06-2012 01:15:00;173.00
22-06-2012 01:30:00;172.00
22-06-2012 01:45:00;172.00
22-06-2012 02:00:00;169.00
22-06-2012 02:15:00;169.00
22-06-2012 02:30:00;169.00
22-06-2012 02:45:00;169.00
22-06-2012 03:00:00;168.00
22-06-2012 03:15:00;168.00
22-06-2012 03:30:00;167.00
22-06-2012 03:45:00;167.00
22-06-2012 04:00:00;167.00
22-06-2012 04:15:00;166.00
22-06-2012 04:30:00;167.00
22-06-2012 04:45:00;168.00
22-06-2012 05:00:00;167.00
22-06-2012 05:15:00;169.00
22-06-2012 05:30:00;170.00
22-06-2012 05:45:00;169.00
22-06-2012 06:00:00;168.00
22-06-2012 06:15:00;168.00
22-06-2012 06:30:00;167.00
22-06-2012 06:45:00;168.00
22-06-2012 07:00:00;167.00
22-06-2012 07:15:00;167.00
22-06-2012 07:30:00;167.00
22-06-2012 07:45:00;167.00
22-06-2012 08:00:00;166.00
22-06-2012 08:15:00;167.00
22-06-2012 08:30:00;168.00
22-06-2012 08:45:00;169.00
22-06-2012 09:00:00;170.00
22-06-2012 09:15:00;171.00
22-06-2012 09:30:00;168.00
22-06-2012 09:45:00;165.00
22-06-2012 10:00:00;164.00
22-06-2012 10:15:00;164.00
22-06-2012 10:30:00;164.00
22-06-2012 10:45:00;164.00
22-06-2012 11:00:00;162.00
22-06-2012 11:15:00;163.00
22-06-2012 11:30:00;164.00
22-06-2012 11:45:00;165.00
22-06-2012 12:00:00;165.00
22-06-2012 12:15:00;164.00
22-06-2012 12:30:00;164.00
22-06-2012 12:45:00;164.00
22-06-2012 13:00:00;164.00
22-06-2012 13:15:00;165.00
22-06-2012 13:30:00;166.00
22-06-2012 13:45:00;166.00
22-06-2012 14:00:00;165.00
22-06-2012 14:15:00;166.00
22-06-2012 14:30:00;170.00
22-06-2012 14:45:00;174.00
22-06-2012 15:00:00;172.00
22-06-2012 15:15:00;166.00
22-06-2012 15:30:00;164.00
22-06-2012 15:45:00;165.00
22-06-2012 16:00:00;166.00
22-06-2012 16:15:00;173.00
22-06-2012 16:30:00;174.00
22-06-2012 16:45:00;173.00
22-06-2012 17:00:00;173.00
22-06-2012 17:15:00;173.00
22-06-2012 17:30:00;177.00
22-06-2012 17:45:00;179.00
22-06-2012 18:00:00;178.00
22-06-2012 18:15:00;180.00
22-06-2012 18:30:00;184.00
22-06-2012 18:45:00;185.00
22-06-2012 19:00:00;185.00
22-06-2012 19:15:00;182.00
22-06-2012 19:30:00;181.00
22-06-2012 19:45:00;180.00
22-06-2012 20:00:00;178.00
22-06-2012 20:15:00;176.00
22-06-2012 20:30:00;177.00
22-06-2012 20:45:00;179.00
22-06-2012 21:00:00;181.00
22-06-2012 21:15:00;182.00
22-06-2012 21:30:00;181.00
22-06-2012 21:45:00;181.00
22-06-2012 22:00:00;181.00
22-06-2012 22:15:00;181.00
22-06-2012 22:30:00;181.00
22-06-2012 22:45:00;181.00
22-06-2012 23:00:00;180.00
22-06-2012 23:15:00;180.00
22-06-2012 23:30:00;181.00
22-06-2012 23:45:00;181.00
23-06-2012 00:00:00;180.00
23-06-2012 00:15:00;180.00
23-06-2012 00:30:00;179.00
23-06-2012 00:45:00;172.00
23-06-2012 01:00:00;171.00
23-06-2012 01:15:00;172.00
23-06-2012 01:30:00;172.00
23-06-2012 01:45:00;171.00
23-06-2012 02:00:00;171.00
23-06-2012 02:15:00;171.00
23-06-2012 02:30:00;172.00
23-06-2012 02:45:00;173.00
23-06-2012 03:00:00;173.00
23-06-2012 03:15:00;172.00
23-06-2012 03:30:00;173.00
23-06-2012 03:45:00;174.00
23-06-2012 04:00:00;175.00
23-06-2012 04:15:00;175.00
23-06-2012 04:30:00;176.00
23-06-2012 04:45:00;176.00
23-06-2012 05:00:00;176.00
23-06-2012 05:15:00;183.00
23-06-2012 05:30:00;187.00
23-06-2012 05:45:00;191.00
23-06-2012 06:00:00;193.00
23-06-2012 06:15:00;195.00
23-06-2012 06:30:00;196.00
23-06-2012 06:45:00;196.00
23-06-2012 07:00:00;197.00
23-06-2012 07:15:00;197.00
23-06-2012 07:30:00;198.00
23-06-2012 07:45:00;198.00
23-06-2012 08:00:00;199.00
23-06-2012 08:15:00;198.00
23-06-2012 08:30:00;197.00
23-06-2012 08:45:00;198.00
23-06-2012 09:00:00;199.00
23-06-2012 09:15:00;200.00
23-06-2012 09:30:00;201.00
23-06-2012 09:45:00;202.00
23-06-2012 10:00:00;202.00
23-06-2012 10:15:00;203.00
