CONFEDERACIÓN HIDROGRÁFICA DEL EBRO
Red de alerta de calidad
Proyecto SAICA
Fichero de exportación de datos históricos.
No se incluyen valores considerados como <<no válidos>>.
966-EQ8 - Est. Bomb. Les Olles - Delta Ebro
Nivel Canal B (m)
Fecha inicial: 01-01-2017 00:00:00
Fecha final: 31-12-2022 23:59:59

Fecha;Valor
24-04-2018 18:30:00;0,32
24-04-2018 18:45:00;0,32
25-04-2018 02:30:00;0,32
25-04-2018 02:45:00;0,32
25-04-2018 03:00:00;0,32
25-04-2018 03:15:00;0,33
25-04-2018 03:30:00;0,33
25-04-2018 07:45:00;0,31
25-04-2018 08:45:00;0,32
25-04-2018 09:00:00;0,32
25-04-2018 09:15:00;0,33
25-04-2018 09:30:00;0,33
25-04-2018 09:45:00;0,34
25-04-2018 10:00:00;0,33
25-04-2018 22:00:00;0,33
26-04-2018 05:30:00;0,32
26-04-2018 05:45:00;0,33
26-04-2018 09:30:00;0,32
26-04-2018 09:45:00;0,33
26-04-2018 10:00:00;0,34
26-04-2018 10:15:00;0,34
26-04-2018 10:30:00;0,35
26-04-2018 15:30:00;0,48
26-04-2018 15:45:00;0,46
26-04-2018 16:00:00;0,44
26-04-2018 16:15:00;0,42
26-04-2018 17:15:00;0,34
26-04-2018 17:30:00;0,35
26-04-2018 17:45:00;0,37
26-04-2018 18:00:00;0,37
26-04-2018 19:00:00;0,33
26-04-2018 19:15:00;0,35
26-04-2018 19:30:00;0,35
26-04-2018 19:45:00;0,37
26-04-2018 20:00:00;0,37
26-04-2018 20:15:00;0,38
26-04-2018 20:30:00;0,39
26-04-2018 20:45:00;0,40
26-04-2018 21:00:00;0,41
26-04-2018 21:15:00;0,41
26-04-2018 21:30:00;0,41
26-04-2018 21:45:00;0,35
26-04-2018 23:00:00;0,32
26-04-2018 23:15:00;0,34
26-04-2018 23:30:00;0,34
26-04-2018 23:45:00;0,36
27-04-2018 00:00:00;0,37
27-04-2018 00:15:00;0,38
27-04-2018 00:30:00;0,39
27-04-2018 00:45:00;0,39
27-04-2018 01:00:00;0,40
27-04-2018 01:15:00;0,41
27-04-2018 01:30:00;0,42
27-04-2018 01:45:00;0,43
27-04-2018 02:00:00;0,41
27-04-2018 03:00:00;0,33
27-04-2018 03:15:00;0,35
27-04-2018 03:30:00;0,36
27-04-2018 03:45:00;0,37
27-04-2018 04:00:00;0,35
27-04-2018 04:15:00;0,35
27-04-2018 04:30:00;0,34
27-04-2018 04:45:00;0,33
27-04-2018 05:00:00;0,32
27-04-2018 05:15:00;0,32
27-04-2018 08:00:00;0,32
27-04-2018 08:15:00;0,34
27-04-2018 08:30:00;0,35
27-04-2018 08:45:00;0,36
27-04-2018 09:00:00;0,37
27-04-2018 09:15:00;0,39
27-04-2018 09:30:00;0,40
27-04-2018 09:45:00;0,41
27-04-2018 10:00:00;0,39
27-04-2018 10:15:00;0,34
27-04-2018 12:15:00;0,33
27-04-2018 12:30:00;0,35
27-04-2018 12:45:00;0,36
27-04-2018 13:00:00;0,38
27-04-2018 13:15:00;0,39
27-04-2018 13:30:00;0,40
27-04-2018 13:45:00;0,41
27-04-2018 14:00:00;0,42
27-04-2018 14:15:00;0,42
27-04-2018 14:30:00;0,37
27-04-2018 17:15:00;0,35
27-04-2018 17:30:00;0,37
27-04-2018 17:45:00;0,38
27-04-2018 18:00:00;0,37
27-04-2018 18:15:00;0,37
27-04-2018 18:30:00;0,36
27-04-2018 18:45:00;0,35
27-04-2018 19:00:00;0,35
27-04-2018 19:15:00;0,34
27-04-2018 19:30:00;0,34
27-04-2018 19:45:00;0,33
27-04-2018 20:15:00;0,34
27-04-2018 20:30:00;0,35
27-04-2018 20:45:00;0,37
27-04-2018 21:00:00;0,39
27-04-2018 21:15:00;0,40
27-04-2018 21:30:00;0,39
27-04-2018 21:45:00;0,35
28-04-2018 00:00:00;0,33
28-04-2018 00:15:00;0,34
28-04-2018 00:30:00;0,36
28-04-2018 00:45:00;0,38
28-04-2018 01:00:00;0,40
28-04-2018 01:15:00;0,42
28-04-2018 01:30:00;0,43
28-04-2018 01:45:00;0,45
28-04-2018 02:00:00;0,45
28-04-2018 02:15:00;0,36
28-04-2018 06:45:00;0,32
28-04-2018 07:00:00;0,32
28-04-2018 07:45:00;0,34
28-04-2018 08:00:00;0,36
28-04-2018 08:15:00;0,39
28-04-2018 08:30:00;0,40
28-04-2018 08:45:00;0,42
28-04-2018 09:00:00;0,44
28-04-2018 09:15:00;0,45
28-04-2018 09:30:00;0,47
28-04-2018 09:45:00;0,48
28-04-2018 10:00:00;0,47
28-04-2018 10:15:00;0,39
28-04-2018 12:15:00;0,35
28-04-2018 12:30:00;0,37
28-04-2018 12:45:00;0,39
28-04-2018 13:00:00;0,41
28-04-2018 13:15:00;0,43
28-04-2018 13:30:00;0,45
28-04-2018 13:45:00;0,47
28-04-2018 14:00:00;0,48
28-04-2018 14:15:00;0,49
28-04-2018 14:30:00;0,41
28-04-2018 14:45:00;0,35
28-04-2018 16:15:00;0,33
28-04-2018 16:30:00;0,34
28-04-2018 16:45:00;0,35
28-04-2018 17:00:00;0,35
28-04-2018 17:15:00;0,35
28-04-2018 17:30:00;0,36
28-04-2018 17:45:00;0,36
28-04-2018 18:00:00;0,36
28-04-2018 18:15:00;0,37
28-04-2018 18:30:00;0,37
28-04-2018 18:45:00;0,38
28-04-2018 19:00:00;0,37
28-04-2018 20:45:00;0,35
28-04-2018 21:00:00;0,38
28-04-2018 21:15:00;0,40
28-04-2018 21:30:00;0,38
29-04-2018 00:15:00;0,32
29-04-2018 00:30:00;0,35
29-04-2018 00:45:00;0,38
29-04-2018 01:00:00;0,40
29-04-2018 01:15:00;0,43
29-04-2018 01:30:00;0,45
29-04-2018 01:45:00;0,47
29-04-2018 02:00:00;0,47
29-04-2018 02:15:00;0,38
29-04-2018 02:30:00;0,33
29-04-2018 08:00:00;0,32
29-04-2018 08:15:00;0,35
29-04-2018 08:30:00;0,38
29-04-2018 08:45:00;0,40
29-04-2018 09:00:00;0,43
29-04-2018 09:15:00;0,45
29-04-2018 09:30:00;0,48
29-04-2018 09:45:00;0,49
29-04-2018 10:00:00;0,49
29-04-2018 10:15:00;0,41
29-04-2018 10:30:00;0,36
29-04-2018 13:00:00;0,37
29-04-2018 13:15:00;0,40
29-04-2018 13:30:00;0,43
29-04-2018 13:45:00;0,45
29-04-2018 14:00:00;0,48
29-04-2018 14:15:00;0,49
29-04-2018 14:30:00;0,42
29-04-2018 14:45:00;0,38
29-04-2018 21:00:00;0,37
29-04-2018 21:15:00;0,40
29-04-2018 21:30:00;0,42
29-04-2018 21:45:00;0,35
30-04-2018 00:00:00;0,34
30-04-2018 00:15:00;0,37
30-04-2018 00:30:00;0,41
30-04-2018 00:45:00;0,44
30-04-2018 01:00:00;0,47
30-04-2018 01:15:00;0,50
30-04-2018 01:30:00;0,52
30-04-2018 01:45:00;0,54
30-04-2018 02:00:00;0,55
30-04-2018 02:15:00;0,49
30-04-2018 02:30:00;0,44
30-04-2018 02:45:00;0,40
30-04-2018 03:00:00;0,35
30-04-2018 08:15:00;0,35
30-04-2018 08:30:00;0,39
30-04-2018 08:45:00;0,43
30-04-2018 09:00:00;0,46
30-04-2018 09:15:00;0,49
30-04-2018 09:30:00;0,52
30-04-2018 09:45:00;0,54
30-04-2018 10:00:00;0,54
30-04-2018 10:15:00;0,47
30-04-2018 10:30:00;0,43
30-04-2018 10:45:00;0,38
30-04-2018 12:30:00;0,31
30-04-2018 13:15:00;0,46
30-04-2018 13:30:00;0,48
30-04-2018 13:45:00;0,51
30-04-2018 15:15:00;0,32
30-04-2018 21:30:00;0,42
01-05-2018 00:15:00;0,36
01-05-2018 00:30:00;0,39
01-05-2018 00:45:00;0,42
01-05-2018 01:00:00;0,45
01-05-2018 01:15:00;0,48
01-05-2018 01:30:00;0,50
01-05-2018 01:45:00;0,52
01-05-2018 02:00:00;0,50
01-05-2018 02:15:00;0,39
01-05-2018 08:15:00;0,33
01-05-2018 08:30:00;0,37
01-05-2018 08:45:00;0,40
01-05-2018 09:00:00;0,43
01-05-2018 09:15:00;0,46
01-05-2018 09:30:00;0,49
01-05-2018 09:45:00;0,51
01-05-2018 10:00:00;0,48
01-05-2018 10:15:00;0,38
01-05-2018 12:45:00;0,38
01-05-2018 13:00:00;0,40
01-05-2018 13:15:00;0,43
01-05-2018 13:30:00;0,46
01-05-2018 13:45:00;0,49
01-05-2018 14:00:00;0,52
01-05-2018 14:15:00;0,49
01-05-2018 14:30:00;0,38
01-05-2018 20:30:00;0,36
01-05-2018 20:45:00;0,41
01-05-2018 21:00:00;0,44
01-05-2018 21:15:00;0,48
01-05-2018 21:30:00;0,46
01-05-2018 21:45:00;0,35
01-05-2018 23:45:00;0,32
02-05-2018 00:00:00;0,37
02-05-2018 00:15:00;0,41
02-05-2018 00:30:00;0,45
02-05-2018 00:45:00;0,48
02-05-2018 01:00:00;0,51
02-05-2018 01:15:00;0,54
02-05-2018 01:30:00;0,56
02-05-2018 01:45:00;0,59
02-05-2018 02:00:00;0,56
02-05-2018 02:15:00;0,47
02-05-2018 02:30:00;0,39
02-05-2018 08:15:00;0,36
02-05-2018 08:30:00;0,40
02-05-2018 08:45:00;0,44
02-05-2018 09:00:00;0,47
02-05-2018 09:15:00;0,50
02-05-2018 09:30:00;0,53
02-05-2018 09:45:00;0,56
02-05-2018 10:00:00;0,54
02-05-2018 10:15:00;0,44
02-05-2018 10:30:00;0,36
02-05-2018 12:45:00;0,40
02-05-2018 13:00:00;0,44
02-05-2018 13:15:00;0,48
02-05-2018 13:30:00;0,51
02-05-2018 13:45:00;0,53
02-05-2018 14:00:00;0,56
02-05-2018 14:15:00;0,55
02-05-2018 14:30:00;0,45
02-05-2018 14:45:00;0,38
02-05-2018 20:30:00;0,35
02-05-2018 20:45:00;0,39
02-05-2018 21:00:00;0,43
02-05-2018 21:15:00;0,47
02-05-2018 21:30:00;0,46
02-05-2018 21:45:00;0,36
03-05-2018 00:00:00;0,36
03-05-2018 00:15:00;0,40
03-05-2018 00:30:00;0,45
03-05-2018 00:45:00;0,48
03-05-2018 01:00:00;0,51
