Date;Value
01-01-1999 00:00:00;
09-08-2012 09:00:00;64.00
09-08-2012 10:00:00;52.00
09-08-2012 11:00:00;46.00
09-08-2012 12:00:00;14.00
09-08-2012 13:00:00;49.00
09-08-2012 14:00:00;14.00
09-08-2012 15:00:00;51.00
09-08-2012 16:00:00;13.00
09-08-2012 17:00:00;54.00
09-08-2012 18:00:00;12.00
09-08-2012 19:00:00;61.00
09-08-2012 20:00:00;14.00
09-08-2012 21:00:00;9.00
09-08-2012 22:00:00;6.00
09-08-2012 23:00:00;4.00
10-08-2012 00:00:00;2.00
10-08-2012 01:00:00;0.00
10-08-2012 02:00:00;0.00
10-08-2012 03:00:00;0.00
10-08-2012 04:00:00;0.00
10-08-2012 05:00:00;0.00
10-08-2012 06:00:00;0.00
10-08-2012 07:00:00;0.00
10-08-2012 08:00:00;0.00
10-08-2012 09:00:00;0.00
10-08-2012 10:00:00;0.00
10-08-2012 11:00:00;0.00
10-08-2012 12:00:00;0.00
10-08-2012 13:00:00;0.00
10-08-2012 14:00:00;0.00
10-08-2012 15:00:00;0.00
10-08-2012 16:00:00;0.00
10-08-2012 17:00:00;0.00
10-08-2012 18:00:00;0.00
10-08-2012 19:00:00;0.00
10-08-2012 20:00:00;17.00
10-08-2012 21:00:00;0.00
10-08-2012 22:00:00;0.00
10-08-2012 23:00:00;0.00
11-08-2012 00:00:00;0.00
11-08-2012 01:00:00;0.00
11-08-2012 02:00:00;0.00
11-08-2012 03:00:00;0.00
11-08-2012 04:00:00;0.00
11-08-2012 05:00:00;0.00
11-08-2012 06:00:00;0.00
11-08-2012 07:00:00;0.00
11-08-2012 08:00:00;0.00
11-08-2012 09:00:00;0.00
11-08-2012 10:00:00;0.00
11-08-2012 11:00:00;0.00
11-08-2012 12:00:00;0.00
11-08-2012 13:00:00;0.00
11-08-2012 14:00:00;0.00
11-08-2012 15:00:00;0.00
11-08-2012 16:00:00;0.00
11-08-2012 17:00:00;0.00
11-08-2012 18:00:00;4.00
11-08-2012 19:00:00;7.00
11-08-2012 20:00:00;2.00
11-08-2012 21:00:00;0.00
11-08-2012 22:00:00;0.00
11-08-2012 23:00:00;0.00
12-08-2012 00:00:00;0.00
12-08-2012 01:00:00;0.00
12-08-2012 02:00:00;0.00
12-08-2012 03:00:00;18.00
12-08-2012 04:00:00;8.00
12-08-2012 05:00:00;5.00
12-08-2012 06:00:00;6.00
12-08-2012 07:00:00;0.00
12-08-2012 08:00:00;0.00
12-08-2012 09:00:00;12.00
12-08-2012 10:00:00;37.00
12-08-2012 11:00:00;22.00
12-08-2012 12:00:00;24.00
12-08-2012 13:00:00;8.00
12-08-2012 14:00:00;7.00
12-08-2012 15:00:00;2.00
12-08-2012 16:00:00;13.00
12-08-2012 17:00:00;4.00
12-08-2012 18:00:00;6.00
12-08-2012 19:00:00;0.00
12-08-2012 20:00:00;0.00
12-08-2012 21:00:00;5.00
12-08-2012 22:00:00;6.00
12-08-2012 23:00:00;2.00
13-08-2012 00:00:00;0.00
13-08-2012 01:00:00;0.00
13-08-2012 02:00:00;0.00
13-08-2012 03:00:00;0.00
13-08-2012 04:00:00;3.00
13-08-2012 05:00:00;1.00
13-08-2012 06:00:00;0.00
13-08-2012 07:00:00;0.00
13-08-2012 08:00:00;0.00
13-08-2012 09:00:00;0.00
13-08-2012 10:00:00;0.00
13-08-2012 11:00:00;0.00
13-08-2012 12:00:00;0.00
13-08-2012 13:00:00;0.00
13-08-2012 14:00:00;8.00
13-08-2012 15:00:00;6.00
13-08-2012 16:00:00;5.00
13-08-2012 17:00:00;4.00
13-08-2012 18:00:00;3.00
13-08-2012 19:00:00;1.00
13-08-2012 20:00:00;0.00
13-08-2012 21:00:00;2.00
13-08-2012 22:00:00;16.00
13-08-2012 23:00:00;10.00
14-08-2012 00:00:00;4.00
14-08-2012 01:00:00;2.00
14-08-2012 02:00:00;2.00
14-08-2012 03:00:00;2.00
14-08-2012 04:00:00;0.00
14-08-2012 05:00:00;0.00
14-08-2012 06:00:00;0.00
14-08-2012 07:00:00;0.00
14-08-2012 08:00:00;0.00
14-08-2012 09:00:00;0.00
14-08-2012 10:00:00;0.00
14-08-2012 11:00:00;0.00
14-08-2012 12:00:00;0.00
14-08-2012 13:00:00;4.00
14-08-2012 14:00:00;17.00
14-08-2012 15:00:00;10.00
14-08-2012 16:00:00;4.00
14-08-2012 17:00:00;1.00
14-08-2012 18:00:00;0.00
14-08-2012 19:00:00;0.00
14-08-2012 20:00:00;0.00
14-08-2012 21:00:00;0.00
14-08-2012 22:00:00;0.00
14-08-2012 23:00:00;0.00
15-08-2012 00:00:00;0.00
15-08-2012 01:00:00;0.00
15-08-2012 02:00:00;0.00
15-08-2012 03:00:00;0.00
15-08-2012 04:00:00;0.00
15-08-2012 05:00:00;0.00
15-08-2012 06:00:00;0.00
15-08-2012 07:00:00;0.00
15-08-2012 08:00:00;0.00
15-08-2012 09:00:00;9.00
15-08-2012 10:00:00;6.00
15-08-2012 11:00:00;3.00
15-08-2012 12:00:00;0.00
15-08-2012 13:00:00;0.00
15-08-2012 14:00:00;0.00
15-08-2012 15:00:00;0.00
15-08-2012 16:00:00;2.00
15-08-2012 17:00:00;2.00
15-08-2012 18:00:00;0.00
15-08-2012 19:00:00;0.00
15-08-2012 20:00:00;0.00
15-08-2012 21:00:00;0.00
15-08-2012 22:00:00;0.00
15-08-2012 23:00:00;0.00
16-08-2012 00:00:00;0.00
16-08-2012 01:00:00;1.00
16-08-2012 02:00:00;3.00
16-08-2012 03:00:00;3.00
16-08-2012 04:00:00;2.00
16-08-2012 05:00:00;2.00
16-08-2012 06:00:00;3.00
16-08-2012 07:00:00;4.00
16-08-2012 08:00:00;2.00
16-08-2012 09:00:00;1.00
16-08-2012 10:00:00;1.00
16-08-2012 11:00:00;1.00
16-08-2012 12:00:00;1.00
16-08-2012 13:00:00;0.00
16-08-2012 14:00:00;0.00
16-08-2012 15:00:00;0.00
16-08-2012 16:00:00;0.00
16-08-2012 17:00:00;0.00
16-08-2012 18:00:00;0.00
16-08-2012 19:00:00;0.00
16-08-2012 20:00:00;2.00
16-08-2012 21:00:00;1.00
16-08-2012 22:00:00;7.00
16-08-2012 23:00:00;3.00
17-08-2012 00:00:00;1.00
17-08-2012 01:00:00;0.00
17-08-2012 02:00:00;0.00
17-08-2012 03:00:00;0.00
17-08-2012 04:00:00;0.00
17-08-2012 05:00:00;0.00
17-08-2012 06:00:00;0.00
17-08-2012 07:00:00;0.00
17-08-2012 08:00:00;0.00
17-08-2012 09:00:00;0.00
17-08-2012 10:00:00;0.00
17-08-2012 11:00:00;0.00
17-08-2012 12:00:00;613.00
17-08-2012 13:00:00;327.00
17-08-2012 14:00:00;200.00
17-08-2012 15:00:00;138.00
17-08-2012 16:00:00;113.00
17-08-2012 17:00:00;98.00
17-08-2012 18:00:00;83.00
17-08-2012 19:00:00;75.00
17-08-2012 20:00:00;68.00
17-08-2012 21:00:00;61.00
17-08-2012 22:00:00;57.00
17-08-2012 23:00:00;53.00
18-08-2012 00:00:00;50.00
