Date;Value
01-01-1999 00:00:00;
29-08-2012 13:00:00;27.20
29-08-2012 14:00:00;27.40
29-08-2012 15:00:00;27.60
29-08-2012 16:00:00;27.90
29-08-2012 17:00:00;28.00
29-08-2012 18:00:00;28.00
29-08-2012 19:00:00;28.00
29-08-2012 20:00:00;28.00
29-08-2012 21:00:00;27.80
29-08-2012 22:00:00;27.80
29-08-2012 23:00:00;27.60
30-08-2012 00:00:00;27.60
30-08-2012 01:00:00;27.50
30-08-2012 02:00:00;27.40
30-08-2012 03:00:00;27.30
30-08-2012 04:00:00;27.20
30-08-2012 05:00:00;27.10
30-08-2012 06:00:00;27.00
30-08-2012 07:00:00;27.00
30-08-2012 08:00:00;26.90
30-08-2012 09:00:00;26.70
30-08-2012 10:00:00;26.70
30-08-2012 11:00:00;26.50
30-08-2012 12:00:00;26.50
30-08-2012 13:00:00;26.50
30-08-2012 14:00:00;26.50
30-08-2012 15:00:00;26.50
30-08-2012 16:00:00;26.50
30-08-2012 17:00:00;26.50
30-08-2012 18:00:00;26.50
30-08-2012 19:00:00;26.50
30-08-2012 20:00:00;26.59
30-08-2012 21:00:00;26.50
30-08-2012 22:00:00;26.50
30-08-2012 23:00:00;26.30
31-08-2012 00:00:00;26.10
31-08-2012 01:00:00;26.10
31-08-2012 02:00:00;25.90
31-08-2012 03:00:00;25.70
31-08-2012 04:00:00;25.50
31-08-2012 05:00:00;25.50
31-08-2012 06:00:00;25.20
31-08-2012 07:00:00;25.00
31-08-2012 08:00:00;24.90
31-08-2012 09:00:00;24.80
31-08-2012 10:00:00;24.70
31-08-2012 11:00:00;24.70
31-08-2012 12:00:00;24.80
31-08-2012 13:00:00;25.00
31-08-2012 14:00:00;25.20
31-08-2012 15:00:00;25.50
31-08-2012 16:00:00;25.70
31-08-2012 17:00:00;25.70
31-08-2012 18:00:00;25.70
31-08-2012 19:00:00;25.50
31-08-2012 20:00:00;25.50
31-08-2012 21:00:00;25.40
31-08-2012 22:00:00;25.20
31-08-2012 23:00:00;25.00
01-09-2012 00:00:00;24.80
01-09-2012 01:00:00;24.60
01-09-2012 02:00:00;24.40
01-09-2012 03:00:00;24.30
01-09-2012 04:00:00;24.10
01-09-2012 05:00:00;24.00
01-09-2012 06:00:00;24.00
01-09-2012 07:00:00;23.90
01-09-2012 08:00:00;23.80
01-09-2012 09:00:00;23.70
01-09-2012 10:00:00;23.60
01-09-2012 11:00:00;23.60
01-09-2012 12:00:00;23.50
01-09-2012 13:00:00;23.60
01-09-2012 14:00:00;23.70
01-09-2012 15:00:00;23.80
01-09-2012 16:00:00;23.80
01-09-2012 17:00:00;24.00
01-09-2012 18:00:00;24.00
01-09-2012 19:00:00;24.00
01-09-2012 20:00:00;24.00
01-09-2012 21:00:00;23.90
01-09-2012 22:00:00;23.70
01-09-2012 23:00:00;23.60
02-09-2012 00:00:00;23.40
02-09-2012 01:00:00;23.30
02-09-2012 02:00:00;23.20
02-09-2012 03:00:00;23.10
02-09-2012 04:00:00;23.00
02-09-2012 05:00:00;22.90
02-09-2012 06:00:00;22.80
02-09-2012 07:00:00;22.70
02-09-2012 08:00:00;22.80
02-09-2012 09:00:00;22.80
02-09-2012 10:00:00;22.80
02-09-2012 11:00:00;22.70
02-09-2012 12:00:00;22.60
02-09-2012 13:00:00;22.70
02-09-2012 14:00:00;23.00
02-09-2012 15:00:00;23.30
02-09-2012 16:00:00;23.60
02-09-2012 17:00:00;23.90
02-09-2012 18:00:00;24.20
02-09-2012 19:00:00;24.20
02-09-2012 20:00:00;24.20
02-09-2012 21:00:00;24.20
02-09-2012 22:00:00;24.00
02-09-2012 23:00:00;23.80
03-09-2012 00:00:00;23.70
03-09-2012 01:00:00;23.60
03-09-2012 02:00:00;23.40
03-09-2012 03:00:00;23.30
03-09-2012 04:00:00;23.20
03-09-2012 05:00:00;23.10
03-09-2012 06:00:00;23.10
03-09-2012 07:00:00;23.10
03-09-2012 08:00:00;23.10
03-09-2012 09:00:00;23.10
03-09-2012 10:00:00;23.10
03-09-2012 11:00:00;23.20
03-09-2012 12:00:00;23.30
03-09-2012 13:00:00;23.50
03-09-2012 14:00:00;23.70
03-09-2012 15:00:00;24.00
03-09-2012 16:00:00;24.40
03-09-2012 17:00:00;24.60
03-09-2012 18:00:00;24.60
03-09-2012 19:00:00;24.80
03-09-2012 20:00:00;24.80
03-09-2012 21:00:00;24.60
03-09-2012 22:00:00;24.60
03-09-2012 23:00:00;24.40
04-09-2012 00:00:00;24.30
04-09-2012 01:00:00;24.20
04-09-2012 02:00:00;24.00
04-09-2012 03:00:00;24.00
04-09-2012 04:00:00;23.80
04-09-2012 05:00:00;23.70
04-09-2012 06:00:00;23.70
04-09-2012 07:00:00;23.70
04-09-2012 08:00:00;23.70
04-09-2012 09:00:00;23.70
04-09-2012 10:00:00;23.70
04-09-2012 11:00:00;23.70
04-09-2012 12:00:00;23.70
04-09-2012 13:00:00;24.00
04-09-2012 14:00:00;24.20
04-09-2012 15:00:00;24.40
04-09-2012 16:00:00;24.80
04-09-2012 17:00:00;25.10
04-09-2012 18:00:00;25.20
04-09-2012 19:00:00;25.30
04-09-2012 20:00:00;25.50
04-09-2012 21:00:00;25.30
04-09-2012 22:00:00;25.20
04-09-2012 23:00:00;25.10
05-09-2012 00:00:00;25.00
05-09-2012 01:00:00;24.80
05-09-2012 02:00:00;24.80
05-09-2012 03:00:00;24.60
05-09-2012 04:00:00;24.60
05-09-2012 05:00:00;24.60
05-09-2012 06:00:00;24.50
