Date	Value
01-01-2005 00:00:00	228.9
02-01-2005 00:00:00	197.5
03-01-2005 00:00:00	197.7
04-01-2005 00:00:00	163.4
05-01-2005 00:00:00	127.4
06-01-2005 00:00:00	111.2
07-01-2005 00:00:00	92.5
08-01-2005 00:00:00	89.5
09-01-2005 00:00:00	81.6
10-01-2005 00:00:00	65.2
11-01-2005 00:00:00	59.7
12-01-2005 00:00:00	58.8
13-01-2005 00:00:00	55
14-01-2005 00:00:00	58.8
15-01-2005 00:00:00	53.7
16-01-2005 00:00:00	52.7
17-01-2005 00:00:00	52.2
18-01-2005 00:00:00	                
19-01-2005 00:00:00	64.3
20-01-2005 00:00:00	184.3
21-01-2005 00:00:00	143
22-01-2005 00:00:00	98.2
23-01-2005 00:00:00	86.4
24-01-2005 00:00:00	65.3
25-01-2005 00:00:00	53.7
26-01-2005 00:00:00	53.1
27-01-2005 00:00:00	52.7
28-01-2005 00:00:00	                
29-01-2005 00:00:00	54.2
30-01-2005 00:00:00	81.7
31-01-2005 00:00:00	75.2
01-02-2005 00:00:00	103.5
02-02-2005 00:00:00	208.9
03-02-2005 00:00:00	224.9
04-02-2005 00:00:00	165.9
05-02-2005 00:00:00	136.5
06-02-2005 00:00:00	111.1
07-02-2005 00:00:00	101.9
08-02-2005 00:00:00	83.7
09-02-2005 00:00:00	77
10-02-2005 00:00:00	71
11-02-2005 00:00:00	69.2
12-02-2005 00:00:00	75.3
13-02-2005 00:00:00	105.8
14-02-2005 00:00:00	190.4
15-02-2005 00:00:00	245.7
16-02-2005 00:00:00	221.8
17-02-2005 00:00:00	148.9
18-02-2005 00:00:00	118.8
19-02-2005 00:00:00	105.7
20-02-2005 00:00:00	198.6
21-02-2005 00:00:00	260.9
22-02-2005 00:00:00	180.6
23-02-2005 00:00:00	143.4
24-02-2005 00:00:00	118.8
25-02-2005 00:00:00	109.4
26-02-2005 00:00:00	98.6
27-02-2005 00:00:00	87.1
28-02-2005 00:00:00	85.3
01-03-2005 00:00:00	75.5
02-03-2005 00:00:00	66.9
03-03-2005 00:00:00	59.1
04-03-2005 00:00:00	59.3
05-03-2005 00:00:00	55
06-03-2005 00:00:00	140.1
07-03-2005 00:00:00	157.7
08-03-2005 00:00:00	113.9
09-03-2005 00:00:00	101.1
10-03-2005 00:00:00	82.3
11-03-2005 00:00:00	91.5
12-03-2005 00:00:00	92.4
13-03-2005 00:00:00	107.3
14-03-2005 00:00:00	113.9
15-03-2005 00:00:00	199.9
16-03-2005 00:00:00	266.1
17-03-2005 00:00:00	306
18-03-2005 00:00:00	284.2
19-03-2005 00:00:00	268.5
20-03-2005 00:00:00	228.9
21-03-2005 00:00:00	257.2
22-03-2005 00:00:00	279.8
23-03-2005 00:00:00	188.1
24-03-2005 00:00:00	144.7
25-03-2005 00:00:00	117
26-03-2005 00:00:00	102
27-03-2005 00:00:00	97
28-03-2005 00:00:00	80.3
29-03-2005 00:00:00	72.1
30-03-2005 00:00:00	57.2
31-03-2005 00:00:00	53.3
01-04-2005 00:00:00	52.5
02-04-2005 00:00:00	53.9
03-04-2005 00:00:00	                
04-04-2005 00:00:00	                
05-04-2005 00:00:00	                
06-04-2005 00:00:00	                
07-04-2005 00:00:00	                
08-04-2005 00:00:00	                
09-04-2005 00:00:00	61.9
10-04-2005 00:00:00	64.3
11-04-2005 00:00:00	75.7
12-04-2005 00:00:00	94.8
13-04-2005 00:00:00	91.4
14-04-2005 00:00:00	75.7
15-04-2005 00:00:00	62.5
16-04-2005 00:00:00	82
17-04-2005 00:00:00	134.8
18-04-2005 00:00:00	165
19-04-2005 00:00:00	135.9
20-04-2005 00:00:00	109
21-04-2005 00:00:00	138.1
22-04-2005 00:00:00	200.7
23-04-2005 00:00:00	137.3
24-04-2005 00:00:00	112.2
25-04-2005 00:00:00	103.1
26-04-2005 00:00:00	91.3
27-04-2005 00:00:00	72
28-04-2005 00:00:00	56.4
29-04-2005 00:00:00	55
30-04-2005 00:00:00	                
01-05-2005 00:00:00	                
02-05-2005 00:00:00	                
03-05-2005 00:00:00	                
04-05-2005 00:00:00	                
05-05-2005 00:00:00	                
06-05-2005 00:00:00	                
07-05-2005 00:00:00	                
08-05-2005 00:00:00	                
09-05-2005 00:00:00	                
10-05-2005 00:00:00	                
11-05-2005 00:00:00	                
12-05-2005 00:00:00	                
13-05-2005 00:00:00	                
14-05-2005 00:00:00	                
15-05-2005 00:00:00	                
16-05-2005 00:00:00	                
17-05-2005 00:00:00	125.6
18-05-2005 00:00:00	119.3
19-05-2005 00:00:00	62.7
20-05-2005 00:00:00	                
21-05-2005 00:00:00	                
22-05-2005 00:00:00	                
23-05-2005 00:00:00	                
24-05-2005 00:00:00	                
25-05-2005 00:00:00	                
26-05-2005 00:00:00	                
27-05-2005 00:00:00	                
28-05-2005 00:00:00	                
29-05-2005 00:00:00	                
30-05-2005 00:00:00	                
31-05-2005 00:00:00	                
01-06-2005 00:00:00	                
02-06-2005 00:00:00	                
03-06-2005 00:00:00	                
04-06-2005 00:00:00	                
05-06-2005 00:00:00	                
06-06-2005 00:00:00	                
07-06-2005 00:00:00	                
08-06-2005 00:00:00	                
09-06-2005 00:00:00	                
10-06-2005 00:00:00	                
11-06-2005 00:00:00	                
12-06-2005 00:00:00	                
13-06-2005 00:00:00	                
14-06-2005 00:00:00	                
15-06-2005 00:00:00	                
16-06-2005 00:00:00	                
17-06-2005 00:00:00	                
18-06-2005 00:00:00	                
19-06-2005 00:00:00	                
20-06-2005 00:00:00	                
21-06-2005 00:00:00	                
22-06-2005 00:00:00	                
23-06-2005 00:00:00	                
24-06-2005 00:00:00	                
25-06-2005 00:00:00	                
26-06-2005 00:00:00	                
27-06-2005 00:00:00	                
28-06-2005 00:00:00	                
29-06-2005 00:00:00	                
30-06-2005 00:00:00	                
01-07-2005 00:00:00	                
02-07-2005 00:00:00	                
03-07-2005 00:00:00	                
04-07-2005 00:00:00	                
05-07-2005 00:00:00	                
06-07-2005 00:00:00	                
07-07-2005 00:00:00	                
08-07-2005 00:00:00	                
09-07-2005 00:00:00	                
10-07-2005 00:00:00	                
11-07-2005 00:00:00	51.9
12-07-2005 00:00:00	                
13-07-2005 00:00:00	                
14-07-2005 00:00:00	                
15-07-2005 00:00:00	                
16-07-2005 00:00:00	                
17-07-2005 00:00:00	                
18-07-2005 00:00:00	                
19-07-2005 00:00:00	                
20-07-2005 00:00:00	                
21-07-2005 00:00:00	                
22-07-2005 00:00:00	                
23-07-2005 00:00:00	                
24-07-2005 00:00:00	                
25-07-2005 00:00:00	51
26-07-2005 00:00:00	51
27-07-2005 00:00:00	                
28-07-2005 00:00:00	                
29-07-2005 00:00:00	                
30-07-2005 00:00:00	                
31-07-2005 00:00:00	                
01-08-2005 00:00:00	                
02-08-2005 00:00:00	52.2
03-08-2005 00:00:00	                
04-08-2005 00:00:00	                
05-08-2005 00:00:00	                
06-08-2005 00:00:00	                
07-08-2005 00:00:00	                
08-08-2005 00:00:00	51
09-08-2005 00:00:00	                
10-08-2005 00:00:00	                
11-08-2005 00:00:00	                
12-08-2005 00:00:00	                
13-08-2005 00:00:00	                
14-08-2005 00:00:00	                
15-08-2005 00:00:00	                
16-08-2005 00:00:00	                
17-08-2005 00:00:00	                
18-08-2005 00:00:00	                
19-08-2005 00:00:00	                
20-08-2005 00:00:00	                
21-08-2005 00:00:00	                
22-08-2005 00:00:00	                
23-08-2005 00:00:00	                
24-08-2005 00:00:00	                
25-08-2005 00:00:00	                
26-08-2005 00:00:00	                
27-08-2005 00:00:00	                
28-08-2005 00:00:00	                
29-08-2005 00:00:00	                
30-08-2005 00:00:00	                
31-08-2005 00:00:00	                
01-09-2005 00:00:00	                
02-09-2005 00:00:00	51
03-09-2005 00:00:00	                
04-09-2005 00:00:00	                
05-09-2005 00:00:00	                
06-09-2005 00:00:00	                
07-09-2005 00:00:00	                
08-09-2005 00:00:00	                
09-09-2005 00:00:00	                
10-09-2005 00:00:00	                
11-09-2005 00:00:00	                
12-09-2005 00:00:00	                
13-09-2005 00:00:00	                
14-09-2005 00:00:00	                
15-09-2005 00:00:00	                
16-09-2005 00:00:00	                
17-09-2005 00:00:00	                
18-09-2005 00:00:00	                
19-09-2005 00:00:00	                
20-09-2005 00:00:00	                
21-09-2005 00:00:00	                
22-09-2005 00:00:00	                
23-09-2005 00:00:00	                
24-09-2005 00:00:00	                
25-09-2005 00:00:00	                
26-09-2005 00:00:00	                
27-09-2005 00:00:00	                
28-09-2005 00:00:00	                
29-09-2005 00:00:00	                
30-09-2005 00:00:00	                
01-10-2005 00:00:00	                
02-10-2005 00:00:00	                
03-10-2005 00:00:00	                
04-10-2005 00:00:00	                
05-10-2005 00:00:00	                
06-10-2005 00:00:00	                
07-10-2005 00:00:00	                
08-10-2005 00:00:00	                
09-10-2005 00:00:00	                
10-10-2005 00:00:00	                
11-10-2005 00:00:00	                
12-10-2005 00:00:00	                
13-10-2005 00:00:00	                
14-10-2005 00:00:00	53.8
15-10-2005 00:00:00	                
16-10-2005 00:00:00	                
17-10-2005 00:00:00	                
18-10-2005 00:00:00	                
19-10-2005 00:00:00	                
20-10-2005 00:00:00	                
21-10-2005 00:00:00	                
22-10-2005 00:00:00	                
23-10-2005 00:00:00	                
24-10-2005 00:00:00	                
25-10-2005 00:00:00	                
26-10-2005 00:00:00	                
27-10-2005 00:00:00	                
28-10-2005 00:00:00	                
29-10-2005 00:00:00	                
30-10-2005 00:00:00	                
31-10-2005 00:00:00	                
01-11-2005 00:00:00	                
02-11-2005 00:00:00	                
03-11-2005 00:00:00	                
04-11-2005 00:00:00	                
05-11-2005 00:00:00	                
06-11-2005 00:00:00	                
07-11-2005 00:00:00	                
08-11-2005 00:00:00	                
09-11-2005 00:00:00	                
10-11-2005 00:00:00	                
11-11-2005 00:00:00	                
12-11-2005 00:00:00	                
13-11-2005 00:00:00	51
14-11-2005 00:00:00	116
15-11-2005 00:00:00	94.6
16-11-2005 00:00:00	138.1
17-11-2005 00:00:00	93.9
18-11-2005 00:00:00	62.2
19-11-2005 00:00:00	                
20-11-2005 00:00:00	                
21-11-2005 00:00:00	                
22-11-2005 00:00:00	                
23-11-2005 00:00:00	                
24-11-2005 00:00:00	                
25-11-2005 00:00:00	                
26-11-2005 00:00:00	                
27-11-2005 00:00:00	                
28-11-2005 00:00:00	                
29-11-2005 00:00:00	                
30-11-2005 00:00:00	                
01-12-2005 00:00:00	                
02-12-2005 00:00:00	108.4
03-12-2005 00:00:00	139.3
04-12-2005 00:00:00	71.6
05-12-2005 00:00:00	87.1
06-12-2005 00:00:00	100.2
07-12-2005 00:00:00	105.3
08-12-2005 00:00:00	63.4
09-12-2005 00:00:00	124
10-12-2005 00:00:00	135.6
11-12-2005 00:00:00	55.8
12-12-2005 00:00:00	53.2
13-12-2005 00:00:00	                
14-12-2005 00:00:00	58.3
15-12-2005 00:00:00	64.6
16-12-2005 00:00:00	51
