Date	Value
01-01-2005 00:00:00	627
02-01-2005 00:00:00	634
03-01-2005 00:00:00	514
04-01-2005 00:00:00	425
05-01-2005 00:00:00	404
06-01-2005 00:00:00	340
07-01-2005 00:00:00	276
08-01-2005 00:00:00	228
09-01-2005 00:00:00	204
10-01-2005 00:00:00	193
11-01-2005 00:00:00	186
12-01-2005 00:00:00	162
13-01-2005 00:00:00	147
14-01-2005 00:00:00	140
15-01-2005 00:00:00	132
16-01-2005 00:00:00	128
17-01-2005 00:00:00	124
18-01-2005 00:00:00	113
19-01-2005 00:00:00	110
20-01-2005 00:00:00	113
21-01-2005 00:00:00	315
22-01-2005 00:00:00	612
23-01-2005 00:00:00	487
24-01-2005 00:00:00	331
25-01-2005 00:00:00	273
26-01-2005 00:00:00	227
27-01-2005 00:00:00	201
28-01-2005 00:00:00	186
29-01-2005 00:00:00	177
30-01-2005 00:00:00	177
31-01-2005 00:00:00	236
01-02-2005 00:00:00	258
02-02-2005 00:00:00	231
03-02-2005 00:00:00	262
04-02-2005 00:00:00	434
05-02-2005 00:00:00	434
06-02-2005 00:00:00	369
07-02-2005 00:00:00	317
08-02-2005 00:00:00	271
09-02-2005 00:00:00	256
10-02-2005 00:00:00	244
11-02-2005 00:00:00	234
12-02-2005 00:00:00	216
13-02-2005 00:00:00	219
14-02-2005 00:00:00	236
15-02-2005 00:00:00	362
16-02-2005 00:00:00	580
17-02-2005 00:00:00	652
18-02-2005 00:00:00	550
19-02-2005 00:00:00	407
20-02-2005 00:00:00	341
21-02-2005 00:00:00	372
22-02-2005 00:00:00	598
23-02-2005 00:00:00	642
24-02-2005 00:00:00	492
25-02-2005 00:00:00	413
26-02-2005 00:00:00	370
27-02-2005 00:00:00	323
28-02-2005 00:00:00	277
01-03-2005 00:00:00	263
02-03-2005 00:00:00	241
03-03-2005 00:00:00	218
04-03-2005 00:00:00	201
05-03-2005 00:00:00	189
06-03-2005 00:00:00	187
07-03-2005 00:00:00	236
08-03-2005 00:00:00	379
09-03-2005 00:00:00	351
10-03-2005 00:00:00	279
11-03-2005 00:00:00	239
12-03-2005 00:00:00	214
13-03-2005 00:00:00	214
14-03-2005 00:00:00	223
15-03-2005 00:00:00	240
16-03-2005 00:00:00	273
17-03-2005 00:00:00	416
18-03-2005 00:00:00	571
19-03-2005 00:00:00	649
20-03-2005 00:00:00	629
21-03-2005 00:00:00	597
22-03-2005 00:00:00	540
23-03-2005 00:00:00	558
24-03-2005 00:00:00	586
25-03-2005 00:00:00	467
26-03-2005 00:00:00	410
27-03-2005 00:00:00	362
28-03-2005 00:00:00	329
29-03-2005 00:00:00	299
30-03-2005 00:00:00	257
31-03-2005 00:00:00	225
01-04-2005 00:00:00	198
02-04-2005 00:00:00	186
03-04-2005 00:00:00	190
04-04-2005 00:00:00	185
05-04-2005 00:00:00	173
06-04-2005 00:00:00	159
07-04-2005 00:00:00	152
08-04-2005 00:00:00	149
09-04-2005 00:00:00	151
10-04-2005 00:00:00	164
11-04-2005 00:00:00	212
12-04-2005 00:00:00	267
13-04-2005 00:00:00	389
14-04-2005 00:00:00	388
15-04-2005 00:00:00	363
16-04-2005 00:00:00	326
17-04-2005 00:00:00	325
18-04-2005 00:00:00	487
19-04-2005 00:00:00	569
20-04-2005 00:00:00	617
21-04-2005 00:00:00	587
22-04-2005 00:00:00	510
23-04-2005 00:00:00	661
24-04-2005 00:00:00	732
25-04-2005 00:00:00	562
26-04-2005 00:00:00	443
27-04-2005 00:00:00	363
28-04-2005 00:00:00	300
29-04-2005 00:00:00	237
30-04-2005 00:00:00	192
01-05-2005 00:00:00	173
02-05-2005 00:00:00	156
03-05-2005 00:00:00	145
04-05-2005 00:00:00	127
05-05-2005 00:00:00	112
06-05-2005 00:00:00	109
07-05-2005 00:00:00	103
08-05-2005 00:00:00	91
09-05-2005 00:00:00	94
10-05-2005 00:00:00	91
11-05-2005 00:00:00	94
12-05-2005 00:00:00	102
13-05-2005 00:00:00	136
14-05-2005 00:00:00	174
15-05-2005 00:00:00	186
16-05-2005 00:00:00	194
17-05-2005 00:00:00	173
18-05-2005 00:00:00	169
19-05-2005 00:00:00	338
20-05-2005 00:00:00	387
21-05-2005 00:00:00	232
22-05-2005 00:00:00	178
23-05-2005 00:00:00	147
24-05-2005 00:00:00	116
25-05-2005 00:00:00	100
26-05-2005 00:00:00	95
27-05-2005 00:00:00	76
28-05-2005 00:00:00	65
29-05-2005 00:00:00	59
30-05-2005 00:00:00	54
31-05-2005 00:00:00	59
01-06-2005 00:00:00	54
02-06-2005 00:00:00	53
03-06-2005 00:00:00	50
04-06-2005 00:00:00	44
05-06-2005 00:00:00	45
06-06-2005 00:00:00	49
07-06-2005 00:00:00	51
08-06-2005 00:00:00	45
09-06-2005 00:00:00	42
10-06-2005 00:00:00	39
11-06-2005 00:00:00	34
12-06-2005 00:00:00	39
13-06-2005 00:00:00	51
14-06-2005 00:00:00	57
15-06-2005 00:00:00	80
16-06-2005 00:00:00	80
17-06-2005 00:00:00	65
18-06-2005 00:00:00	46
19-06-2005 00:00:00	43
20-06-2005 00:00:00	40
21-06-2005 00:00:00	35
22-06-2005 00:00:00	34
23-06-2005 00:00:00	36
24-06-2005 00:00:00	38
25-06-2005 00:00:00	37
26-06-2005 00:00:00	40
27-06-2005 00:00:00	40
28-06-2005 00:00:00	46
29-06-2005 00:00:00	42
30-06-2005 00:00:00	39
01-07-2005 00:00:00	51
02-07-2005 00:00:00	44
03-07-2005 00:00:00	43
