Date	Value
09-06-2009 00:00:00	59.57
10-06-2009 00:00:00	59.59
11-06-2009 00:00:00	59.62
12-06-2009 00:00:00	59.68
13-06-2009 00:00:00	59.67
14-06-2009 00:00:00	59.66
15-06-2009 00:00:00	59.62
16-06-2009 00:00:00	59.63
17-06-2009 00:00:00	59.69
18-06-2009 00:00:00	59.8
19-06-2009 00:00:00	60.09
20-06-2009 00:00:00	60.11
21-06-2009 00:00:00	60.08
22-06-2009 00:00:00	60.13
23-06-2009 00:00:00	60.14
24-06-2009 00:00:00	60.14
25-06-2009 00:00:00	60.14
26-06-2009 00:00:00	60.16
27-06-2009 00:00:00	60.2
28-06-2009 00:00:00	60.22
29-06-2009 00:00:00	60.28
30-06-2009 00:00:00	60.32
01-07-2009 00:00:00	60.33
02-07-2009 00:00:00	60.38
03-07-2009 00:00:00	60.41
04-07-2009 00:00:00	60.43
05-07-2009 00:00:00	60.42
06-07-2009 00:00:00	60.41
07-07-2009 00:00:00	60.42
08-07-2009 00:00:00	60.45
09-07-2009 00:00:00	60.47
10-07-2009 00:00:00	60.51
11-07-2009 00:00:00	60.51
12-07-2009 00:00:00	60.52
13-07-2009 00:00:00	60.47
14-07-2009 00:00:00	                
15-07-2009 00:00:00	                
16-07-2009 00:00:00	                
17-07-2009 00:00:00	                
18-07-2009 00:00:00	                
19-07-2009 00:00:00	                
20-07-2009 00:00:00	                
21-07-2009 00:00:00	                
22-07-2009 00:00:00	                
23-07-2009 00:00:00	                
24-07-2009 00:00:00	                
25-07-2009 00:00:00	                
26-07-2009 00:00:00	                
27-07-2009 00:00:00	                
28-07-2009 00:00:00	                
29-07-2009 00:00:00	                
30-07-2009 00:00:00	                
31-07-2009 00:00:00	                
01-08-2009 00:00:00	                
02-08-2009 00:00:00	                
03-08-2009 00:00:00	                
04-08-2009 00:00:00	                
05-08-2009 00:00:00	                
06-08-2009 00:00:00	60.94
07-08-2009 00:00:00	60.9
08-08-2009 00:00:00	60.89
09-08-2009 00:00:00	60.89
10-08-2009 00:00:00	60.91
11-08-2009 00:00:00	60.94
12-08-2009 00:00:00	60.95
13-08-2009 00:00:00	61
14-08-2009 00:00:00	61
15-08-2009 00:00:00	61.04
16-08-2009 00:00:00	61.05
17-08-2009 00:00:00	61.05
