Fecha;Valor
01-11-2018;1.18
02-11-2018;3.25
03-11-2018;2.46
04-11-2018;1.85
05-11-2018;4.47
06-11-2018;4.08
07-11-2018;9.18
08-11-2018;4.63
09-11-2018;4.12
10-11-2018;11.49
11-11-2018;13.53
12-11-2018;11.69
13-11-2018;7.92
14-11-2018;6.45
15-11-2018;5.59
16-11-2018;5.26
17-11-2018;5.02
18-11-2018;4.75
19-11-2018;4.50
20-11-2018;4.43
21-11-2018;4.21
22-11-2018;4.42
23-11-2018;4.40
24-11-2018;5.33
25-11-2018;8.85
26-11-2018;7.92
27-11-2018;7.00
28-11-2018;6.28
29-11-2018;5.92
30-11-2018;5.67
01-12-2018;5.50
02-12-2018;5.39
03-12-2018;7.38
04-12-2018;8.37
05-12-2018;7.27
06-12-2018;6.67
07-12-2018;6.19
08-12-2018;5.82
09-12-2018;5.58
10-12-2018;5.42
11-12-2018;5.30
12-12-2018;5.16
13-12-2018;5.46
14-12-2018;5.34
15-12-2018;6.17
16-12-2018;10.51
17-12-2018;8.39
18-12-2018;8.40
19-12-2018;9.30
20-12-2018;9.33
21-12-2018;9.48
22-12-2018;9.31
23-12-2018;8.87
24-12-2018;8.38
25-12-2018;7.98
26-12-2018;7.56
27-12-2018;7.11
28-12-2018;6.67
29-12-2018;6.25
30-12-2018;5.89
31-12-2018;5.62
01-01-2019;5.50
02-01-2019;5.36
03-01-2019;5.24
04-01-2019;5.09
05-01-2019;4.98
06-01-2019;4.82
07-01-2019;4.58
08-01-2019;4.37
09-01-2019;4.28
10-01-2019;4.13
11-01-2019;3.97
12-01-2019;3.86
13-01-2019;3.74
14-01-2019;3.65
15-01-2019;3.55
16-01-2019;3.49
17-01-2019;3.42
18-01-2019;3.37
19-01-2019;3.79
20-01-2019;4.38
21-01-2019;3.97
22-01-2019;4.14
23-01-2019;14.13
24-01-2019;14.96
25-01-2019;11.74
26-01-2019;9.29
27-01-2019;8.32
28-01-2019;8.03
29-01-2019;8.17
30-01-2019;8.37
31-01-2019;26.78
01-02-2019;23.77
02-02-2019;17.80
03-02-2019;14.81
04-02-2019;13.17
05-02-2019;12.37
06-02-2019;12.05
07-02-2019;12.10
08-02-2019;11.87
09-02-2019;11.46
10-02-2019;13.69
11-02-2019;13.00
12-02-2019;12.05
13-02-2019;11.49
14-02-2019;10.90
15-02-2019;10.31
16-02-2019;9.98
17-02-2019;9.55
18-02-2019;9.35
19-02-2019;8.97
20-02-2019;8.55
21-02-2019;8.11
22-02-2019;7.82
23-02-2019;7.57
24-02-2019;7.28
25-02-2019;7.06
26-02-2019;6.93
27-02-2019;6.84
28-02-2019;6.64
01-03-2019;6.32
02-03-2019;6.17
03-03-2019;6.02
04-03-2019;6.30
05-03-2019;5.95
06-03-2019;9.75
07-03-2019;9.56
08-03-2019;8.94
09-03-2019;8.65
10-03-2019;8.55
11-03-2019;8.38
12-03-2019;8.04
13-03-2019;7.83
14-03-2019;7.39
15-03-2019;7.08
16-03-2019;6.73
17-03-2019;6.53
18-03-2019;6.20
19-03-2019;5.92
20-03-2019;5.67
21-03-2019;5.59
22-03-2019;5.48
23-03-2019;5.35
24-03-2019;5.28
25-03-2019;5.19
26-03-2019;5.11
27-03-2019;4.99
28-03-2019;4.87
29-03-2019;4.72
