date;value
2018-11-01;1.18
2018-11-02;3.25
2018-11-03;2.46
2018-11-04;1.85
2018-11-05;4.47
2018-11-06;4.08
2018-11-07;9.18
2018-11-08;4.63
2018-11-09;4.12
2018-11-10;11.49
2018-11-11;13.53
2018-11-12;11.69
2018-11-13;7.92
2018-11-14;6.45
2018-11-15;5.59
2018-11-16;5.26
2018-11-17;5.02
2018-11-18;4.75
2018-11-19;4.5
2018-11-20;4.43
2018-11-21;4.21
2018-11-22;4.42
2018-11-23;4.4
2018-11-24;5.33
2018-11-25;8.85
2018-11-26;7.92
2018-11-27;7.0
2018-11-28;6.28
2018-11-29;5.92
2018-11-30;5.67
2018-12-01;5.5
2018-12-02;5.39
2018-12-03;7.38
2018-12-04;8.37
2018-12-05;7.27
2018-12-06;6.67
2018-12-07;6.19
2018-12-08;5.82
2018-12-09;5.58
2018-12-10;5.42
2018-12-11;5.3
2018-12-12;5.16
2018-12-13;5.46
2018-12-14;5.34
2018-12-15;6.17
2018-12-16;10.51
2018-12-17;8.39
2018-12-18;8.4
2018-12-19;9.3
2018-12-20;9.33
2018-12-21;9.48
2018-12-22;9.31
2018-12-23;8.87
2018-12-24;8.38
2018-12-25;7.98
2018-12-26;7.56
2018-12-27;7.11
2018-12-28;6.67
2018-12-29;6.25
2018-12-30;5.89
2018-12-31;5.62
2019-01-01;5.5
2019-01-02;5.36
2019-01-03;5.24
2019-01-04;5.09
2019-01-05;4.98
2019-01-06;4.82
2019-01-07;4.58
2019-01-08;4.37
2019-01-09;4.28
2019-01-10;4.13
2019-01-11;3.97
2019-01-12;3.86
2019-01-13;3.74
2019-01-14;3.65
2019-01-15;3.55
2019-01-16;3.49
2019-01-17;3.42
2019-01-18;3.37
2019-01-19;3.79
2019-01-20;4.38
2019-01-21;3.97
2019-01-22;4.14
2019-01-23;14.13
2019-01-24;14.96
2019-01-25;11.74
2019-01-26;9.29
2019-01-27;8.32
2019-01-28;8.03
2019-01-29;8.17
2019-01-30;8.37
2019-01-31;26.78
2019-02-01;23.77
2019-02-02;17.8
2019-02-03;14.81
2019-02-04;13.17
2019-02-05;12.37
2019-02-06;12.05
2019-02-07;12.1
2019-02-08;11.87
2019-02-09;11.46
2019-02-10;13.69
2019-02-11;13.0
2019-02-12;12.05
2019-02-13;11.49
2019-02-14;10.9
2019-02-15;10.31
2019-02-16;9.98
2019-02-17;9.55
2019-02-18;9.35
2019-02-19;8.97
2019-02-20;8.55
2019-02-21;8.11
2019-02-22;7.82
2019-02-23;7.57
2019-02-24;7.28
2019-02-25;7.06
2019-02-26;6.93
2019-02-27;6.84
2019-02-28;6.64
2019-03-01;6.32
2019-03-02;6.17
2019-03-03;6.02
2019-03-04;6.3
2019-03-05;5.95
2019-03-06;9.75
2019-03-07;9.56
2019-03-08;8.94
2019-03-09;8.65
2019-03-10;8.55
2019-03-11;8.38
2019-03-12;8.04
2019-03-13;7.83
2019-03-14;7.39
2019-03-15;7.08
2019-03-16;6.73
2019-03-17;6.53
2019-03-18;6.2
2019-03-19;5.92
2019-03-20;5.67
2019-03-21;5.59
2019-03-22;5.48
2019-03-23;5.35
2019-03-24;5.28
2019-03-25;5.19
2019-03-26;5.11
2019-03-27;4.99
2019-03-28;4.87
2019-03-29;4.72
2019-03-30;4.57
2019-03-31;4.47
2019-04-01;4.37
2019-04-02;4.27
2019-04-03;4.25
2019-04-04;4.29
2019-04-05;4.51
2019-04-06;4.67
2019-04-07;4.74
2019-04-08;5.7
2019-04-09;5.51
2019-04-10;7.15
2019-04-11;6.85
2019-04-12;6.31
2019-04-13;6.28
2019-04-14;6.59
2019-04-15;7.95
2019-04-16;7.91
2019-04-17;7.21
2019-04-18;8.1
2019-04-19;7.38
2019-04-20;6.85
2019-04-21;6.46
2019-04-22;6.14
2019-04-23;6.17
2019-04-24;6.4
2019-04-25;8.12
2019-04-26;10.4
2019-04-27;9.45
2019-04-28;9.43
2019-04-29;9.14
2019-04-30;8.72
2019-05-01;8.31
2019-05-02;7.8
2019-05-03;7.32
2019-05-04;6.9
2019-05-05;6.53
2019-05-06;6.19
2019-05-07;5.82
2019-05-08;5.71
2019-05-09;5.84
2019-05-10;6.58
2019-05-11;5.57
2019-05-12;5.43
2019-05-13;5.28
2019-05-14;5.14
2019-05-15;5.01
2019-05-16;4.94
2019-05-17;5.24
2019-05-18;5.33
2019-05-19;5.35
2019-05-20;5.22
2019-05-21;5.1
2019-05-22;4.99
2019-05-23;4.84
2019-05-24;4.67
2019-05-25;4.46
2019-05-26;4.31
2019-05-27;4.19
2019-05-28;4.03
2019-05-29;3.87
2019-05-30;3.73
2019-05-31;3.62
2019-06-01;3.51
2019-06-02;3.39
2019-06-03;3.29
2019-06-04;3.26
2019-06-05;3.35
2019-06-06;3.6
2019-06-07;4.26
2019-06-08;3.55
2019-06-09;3.35
2019-06-10;3.23
2019-06-11;3.15
2019-06-12;3.07
2019-06-13;2.98
2019-06-14;2.85
2019-06-15;2.8
2019-06-16;2.73
2019-06-17;2.64
2019-06-18;2.67
2019-06-19;2.82
2019-06-20;3.11
2019-06-21;2.69
2019-06-22;2.5
2019-06-23;3.49
2019-06-24;3.14
2019-06-25;2.91
2019-06-26;2.74
2019-06-27;2.57
2019-06-28;2.48
2019-06-29;2.39
2019-06-30;2.3
2019-07-01;2.21
2019-07-02;2.13
2019-07-03;2.08
2019-07-04;2.05
2019-07-05;2.07
2019-07-06;1.97
2019-07-07;1.91
2019-07-08;1.85
2019-07-09;1.81
2019-07-10;1.76
2019-07-11;1.69
2019-07-12;1.65
2019-07-13;1.85
2019-07-14;2.06
2019-07-15;1.67
2019-07-16;1.62
2019-07-17;1.55
2019-07-18;1.44
2019-07-19;1.41
2019-07-20;1.4
2019-07-21;1.35
2019-07-22;1.3
2019-07-23;1.26
2019-07-24;1.26
2019-07-25;1.2
2019-07-26;1.3
2019-07-27;1.36
2019-07-28;1.35
2019-07-29;1.24
2019-07-30;1.21
2019-07-31;1.19
2019-08-01;1.18
2019-08-02;1.13
2019-08-03;1.09
2019-08-04;1.04
2019-08-05;1.04
2019-08-06;1.04
2019-08-07;1.06
2019-08-08;1.21
2019-08-09;1.23
2019-08-10;1.13
2019-08-11;1.07
2019-08-12;1.06
2019-08-13;1.04
2019-08-14;1.0
2019-08-15;0.99
2019-08-16;0.95
2019-08-17;0.94
2019-08-18;1.0
2019-08-19;1.0
2019-08-20;0.97
2019-08-21;0.95
2019-08-22;0.93
2019-08-23;0.9
2019-08-24;0.89
2019-08-25;0.89
2019-08-26;0.97
2019-08-27;0.92
2019-08-28;0.89
2019-08-29;0.88
2019-08-30;0.83
2019-08-31;0.81
2019-09-01;0.8
2019-09-02;0.82
2019-09-03;0.79
2019-09-04;0.74
2019-09-05;0.75
2019-09-06;0.76
2019-09-07;0.74
2019-09-08;0.76
2019-09-09;0.76
2019-09-10;0.77
2019-09-11;0.81
2019-09-12;0.75
2019-09-13;0.72
2019-09-14;0.7
2019-09-15;0.71
2019-09-16;0.78
2019-09-17;0.79
2019-09-18;0.79
2019-09-19;0.92
2019-09-20;0.83
2019-09-21;0.82
2019-09-22;1.08
2019-09-23;0.84
2019-09-24;0.93
2019-09-25;0.86
2019-09-26;0.79
2019-09-27;0.79
2019-09-28;0.79
2019-09-29;0.76
2019-09-30;0.81
2019-10-01;0.76
2019-10-02;0.76
2019-10-03;0.73
2019-10-04;0.73
2019-10-05;0.73
2019-10-06;0.73
2019-10-07;0.72
2019-10-08;0.69
2019-10-09;0.7
2019-10-10;0.7
2019-10-11;0.68
2019-10-12;0.66
2019-10-13;0.81
2019-10-14;1.23
2019-10-15;1.41
2019-10-16;1.28
2019-10-17;2.59
2019-10-18;1.4
2019-10-19;3.72
2019-10-20;3.41
2019-10-21;2.31
2019-10-22;1.85
2019-10-23;1.6
2019-10-24;1.63
2019-10-25;1.89
2019-10-26;1.61
2019-10-27;1.46
2019-10-28;1.4
2019-10-29;1.37
2019-10-30;1.32
2019-10-31;1.44
2019-11-01;2.59
2019-11-02;3.19
2019-11-03;5.56
2019-11-04;7.43
2019-11-05;10.17
2019-11-06;10.07
2019-11-07;9.92
2019-11-08;9.06
2019-11-09;9.08
2019-11-10;11.2
2019-11-11;12.89
2019-11-12;14.42
2019-11-13;33.61
2019-11-14;22.31
2019-11-15;20.19
2019-11-16;16.4
2019-11-17;16.17
2019-11-18;16.32
2019-11-19;14.42
2019-11-20;13.77
2019-11-21;14.45
2019-11-22;20.97
2019-11-23;33.89
2019-11-24;24.69
2019-11-25;24.59
2019-11-26;25.9
2019-11-27;28.53
2019-11-28;31.64
2019-11-29;31.88
2019-11-30;30.61
2019-12-01;27.2
2019-12-02;23.27
2019-12-03;20.22
2019-12-04;18.06
2019-12-05;16.21
2019-12-06;14.67
2019-12-07;13.39
2019-12-08;12.92
2019-12-09;12.26
2019-12-10;11.37
2019-12-11;11.09
2019-12-12;16.13
2019-12-13;37.54
2019-12-14;23.61
2019-12-15;26.54
2019-12-16;43.0
2019-12-17;38.06
2019-12-18;28.89
2019-12-19;60.95
2019-12-20;67.37
2019-12-21;57.86
2019-12-22;57.29
2019-12-23;41.72
2019-12-24;34.27
2019-12-25;28.69
2019-12-26;24.48
2019-12-27;21.23
2019-12-28;18.72
2019-12-29;16.8
2019-12-30;15.28
2019-12-31;13.92
2020-01-01;12.8
2020-01-02;11.85
2020-01-03;11.08
2020-01-04;10.37
2020-01-05;9.75
2020-01-06;9.18
2020-01-07;8.63
2020-01-08;8.17
2020-01-09;7.84
2020-01-10;7.44
2020-01-11;7.02
2020-01-12;6.64
2020-01-13;6.31
2020-01-14;6.02
2020-01-15;6.44
2020-01-16;6.21
2020-01-17;7.19
2020-01-18;6.6
2020-01-19;6.8
2020-01-20;6.22
2020-01-21;5.93
2020-01-22;5.74
2020-01-23;5.67
2020-01-24;5.54
2020-01-25;5.43
2020-01-26;5.34
2020-01-27;5.85
2020-01-28;6.06
2020-01-29;8.25
2020-01-30;9.9
2020-01-31;9.11
2020-02-01;12.24
2020-02-02;11.03
2020-02-03;10.22
2020-02-04;9.57
2020-02-05;9.08
2020-02-06;8.62
2020-02-07;8.17
2020-02-08;8.35
2020-02-09;7.81
2020-02-10;7.58
2020-02-11;7.19
2020-02-12;6.94
2020-02-13;6.7
2020-02-14;6.44
2020-02-15;6.15
2020-02-16;5.91
2020-02-17;6.24
2020-02-18;5.75
2020-02-19;5.59
2020-02-20;5.51
2020-02-21;5.39
2020-02-22;5.28
2020-02-23;5.18
2020-02-24;5.1
2020-02-25;5.08
2020-02-26;4.99
2020-02-27;4.89
2020-02-28;4.73
2020-02-29;4.91
2020-03-01;4.94
2020-03-02;9.56
2020-03-03;12.26
2020-03-04;12.54
2020-03-05;14.74
2020-03-06;14.56
2020-03-07;13.23
2020-03-08;12.37
2020-03-09;11.61
2020-03-10;10.85
2020-03-11;10.28
2020-03-12;9.69
2020-03-13;9.2
2020-03-14;8.66
2020-03-15;8.26
2020-03-16;7.98
2020-03-17;7.61
2020-03-18;7.28
2020-03-19;7.01
2020-03-20;6.81
2020-03-21;6.54
2020-03-22;6.29
2020-03-23;5.92
2020-03-24;5.66
2020-03-25;5.55
2020-03-26;5.42
2020-03-27;5.34
2020-03-28;5.23
2020-03-29;5.1
2020-03-30;5.02
2020-03-31;4.91
2020-04-01;4.94
2020-04-02;4.71
2020-04-03;4.47
2020-04-04;4.37
2020-04-05;4.52
2020-04-06;4.89
2020-04-07;4.51
2020-04-08;4.35
2020-04-09;4.29
2020-04-10;5.11
2020-04-11;4.85
2020-04-12;4.52
2020-04-13;4.46
2020-04-14;4.32
2020-04-15;4.61
2020-04-16;5.01
2020-04-17;7.29
2020-04-18;7.3
2020-04-19;6.58
2020-04-20;6.04
2020-04-21;5.75
2020-04-22;5.54
2020-04-23;5.4
2020-04-24;5.28
2020-04-25;5.42
2020-04-26;5.3
2020-04-27;5.22
2020-04-28;5.13
2020-04-29;5.09
2020-04-30;5.16
2020-05-01;7.02
2020-05-02;6.51
2020-05-03;5.87
2020-05-04;5.63
2020-05-05;5.49
2020-05-06;5.35
2020-05-07;5.25
2020-05-08;5.34
2020-05-09;5.36
2020-05-10;5.19
2020-05-11;5.08
2020-05-12;5.06
2020-05-13;4.97
2020-05-14;4.95
2020-05-15;4.75
2020-05-16;4.55
2020-05-17;4.35
2020-05-18;4.19
2020-05-19;4.06
2020-05-20;3.94
2020-05-21;3.8
2020-05-22;3.68
2020-05-23;3.55
2020-05-24;3.45
2020-05-25;3.35
2020-05-26;3.21
2020-05-27;3.12
2020-05-28;3.09
2020-05-29;2.99
2020-05-30;2.86
2020-05-31;2.87
2020-06-01;2.82
2020-06-02;2.9
2020-06-03;2.82
2020-06-04;2.71
2020-06-05;2.67
2020-06-06;2.57
2020-06-07;2.55
2020-06-08;2.5
2020-06-09;2.47
