Fecha;Valor
01-01-2011;174.6
02-01-2011;177.5
03-01-2011;177.2
04-01-2011;163.3
05-01-2011;124.9
06-01-2011;92.2
07-01-2011;130.8
08-01-2011;117.5
09-01-2011;105.1
10-01-2011;106.5
11-01-2011;111.2
12-01-2011;115.8
13-01-2011;120.6
14-01-2011;117.9
15-01-2011;119.1
16-01-2011;122.8
17-01-2011;125.0
18-01-2011;127.8
19-01-2011;151.0
20-01-2011;188.8
21-01-2011;194.9
22-01-2011;200.6
23-01-2011;205.7
24-01-2011;211.7
25-01-2011;217.1
26-01-2011;222.2
27-01-2011;225.6
28-01-2011;231.0
29-01-2011;235.3
30-01-2011;240.6
31-01-2011;245.5
01-02-2011;251.4
02-02-2011;256.4
03-02-2011;260.3
04-02-2011;264.9
05-02-2011;269.3
06-02-2011;273.0
07-02-2011;276.7
08-02-2011;280.5
09-02-2011;284.1
10-02-2011;287.1
11-02-2011;291.7
12-02-2011;294.2
13-02-2011;293.4
14-02-2011;294.4
15-02-2011;257.4
16-02-2011;198.0
17-02-2011;195.6
18-02-2011;188.6
19-02-2011;160.7
20-02-2011;161.2
21-02-2011;151.4
22-02-2011;102.3
23-02-2011;117.5
24-02-2011;124.8
25-02-2011;127.4
26-02-2011;127.5
27-02-2011;127.8
28-02-2011;131.6
01-03-2011;135.5
02-03-2011;139.6
03-03-2011;143.5
04-03-2011;149.4
05-03-2011;168.1
06-03-2011;192.5
07-03-2011;209.8
08-03-2011;216.9
09-03-2011;215.6
10-03-2011;213.2
11-03-2011;211.1
12-03-2011;208.5
13-03-2011;206.5
14-03-2011;206.3
15-03-2011;181.6
16-03-2011;182.6
17-03-2011;167.8
18-03-2011;169.6
19-03-2011;173.4
20-03-2011;175.9
21-03-2011;177.6
22-03-2011;186.4
23-03-2011;188.4
24-03-2011;187.2
25-03-2011;180.7
26-03-2011;171.3
27-03-2011;148.8
28-03-2011;133.7
29-03-2011;142.1
30-03-2011;127.9
31-03-2011;130.1
01-04-2011;133.1
02-04-2011;134.5
03-04-2011;137.6
04-04-2011;142.6
05-04-2011;146.9
06-04-2011;150.8
07-04-2011;155.9
08-04-2011;158.1
09-04-2011;159.7
10-04-2011;162.8
11-04-2011;164.6
12-04-2011;167.7
13-04-2011;171.4
14-04-2011;173.3
15-04-2011;177.7
16-04-2011;183.9
17-04-2011;186.1
18-04-2011;182.2
19-04-2011;181.7
20-04-2011;179.0
21-04-2011;180.0
22-04-2011;176.5
23-04-2011;185.5
24-04-2011;189.0
25-04-2011;189.4
26-04-2011;178.5
27-04-2011;184.4
28-04-2011;186.1
29-04-2011;193.6
30-04-2011;192.1
01-05-2011;193.4
02-05-2011;187.5
03-05-2011;191.4
04-05-2011;193.5
05-05-2011;196.4
06-05-2011;196.3
07-05-2011;199.3
08-05-2011;199.0
09-05-2011;202.3
10-05-2011;201.8
11-05-2011;203.2
12-05-2011;218.1
13-05-2011;211.3
14-05-2011;217.2
15-05-2011;224.2
16-05-2011;224.7
17-05-2011;220.2
18-05-2011;219.0
19-05-2011;243.4
20-05-2011;242.9
21-05-2011;244.2
22-05-2011;260.5
23-05-2011;261.7
24-05-2011;245.8
25-05-2011;252.7
26-05-2011;254.3
27-05-2011;258.4
28-05-2011;259.3
29-05-2011;269.3
30-05-2011;255.3
31-05-2011;266.9
01-06-2011;265.2
02-06-2011;268.7
03-06-2011;272.0
04-06-2011;285.7
05-06-2011;289.6
06-06-2011;287.4
07-06-2011;296.6
08-06-2011;294.9
09-06-2011;294.2
10-06-2011;293.3
11-06-2011;293.1
12-06-2011;299.9
13-06-2011;300.3
14-06-2011;
15-06-2011;
16-06-2011;
17-06-2011;
18-06-2011;
19-06-2011;
20-06-2011;
21-06-2011;260.0
22-06-2011;256.9
23-06-2011;257.9
24-06-2011;260.6
25-06-2011;266.4
26-06-2011;280.5
27-06-2011;281.6
28-06-2011;277.1
29-06-2011;275.2
30-06-2011;271.4
01-07-2011;273.9
02-07-2011;279.9
03-07-2011;278.1
04-07-2011;293.4
05-07-2011;289.4
06-07-2011;282.9
07-07-2011;282.5
08-07-2011;294.5
09-07-2011;281.4
10-07-2011;244.3
11-07-2011;270.7
12-07-2011;273.4
13-07-2011;254.2
14-07-2011;261.3
15-07-2011;272.0
16-07-2011;274.4
17-07-2011;274.6
18-07-2011;273.9
19-07-2011;267.3
20-07-2011;267.3
21-07-2011;275.8
22-07-2011;278.4
23-07-2011;278.4
24-07-2011;284.4
25-07-2011;279.7
26-07-2011;281.9
27-07-2011;290.5
28-07-2011;298.9
29-07-2011;301.7
30-07-2011;304.0
31-07-2011;304.5
01-08-2011;302.9
02-08-2011;294.1
03-08-2011;288.5
04-08-2011;310.2
05-08-2011;329.6
06-08-2011;328.3
07-08-2011;324.1
08-08-2011;339.7
09-08-2011;342.6
10-08-2011;352.6
11-08-2011;357.7
12-08-2011;360.9
13-08-2011;362.7
14-08-2011;360.3
15-08-2011;370.1
16-08-2011;361.1
17-08-2011;360.5
