Fecha;Valor
01-01-2011;0.79
02-01-2011;0.78
03-01-2011;0.77
04-01-2011;0.83
05-01-2011;1.03
06-01-2011;1.40
07-01-2011;1.46
08-01-2011;1.31
09-01-2011;1.23
10-01-2011;1.15
11-01-2011;1.11
12-01-2011;1.07
13-01-2011;1.03
14-01-2011;1.00
15-01-2011;0.96
16-01-2011;0.94
17-01-2011;0.93
18-01-2011;0.92
19-01-2011;0.90
20-01-2011;0.88
21-01-2011;0.87
22-01-2011;0.85
23-01-2011;0.83
24-01-2011;0.81
25-01-2011;0.80
26-01-2011;0.78
27-01-2011;0.77
28-01-2011;0.76
29-01-2011;0.75
30-01-2011;0.73
31-01-2011;0.71
01-02-2011;0.69
02-02-2011;0.68
03-02-2011;0.67
04-02-2011;0.65
05-02-2011;0.64
06-02-2011;0.63
07-02-2011;0.62
08-02-2011;0.61
09-02-2011;0.59
10-02-2011;0.58
11-02-2011;0.57
12-02-2011;0.56
13-02-2011;0.56
14-02-2011;0.55
15-02-2011;0.57
16-02-2011;0.61
17-02-2011;0.67
18-02-2011;0.70
19-02-2011;0.80
20-02-2011;0.82
21-02-2011;0.90
22-02-2011;1.08
23-02-2011;1.00
24-02-2011;0.94
25-02-2011;0.91
26-02-2011;0.89
27-02-2011;0.88
28-02-2011;0.86
01-03-2011;0.83
02-03-2011;0.81
03-03-2011;0.79
04-03-2011;0.77
05-03-2011;0.76
06-03-2011;0.75
07-03-2011;0.74
08-03-2011;0.73
09-03-2011;0.72
10-03-2011;0.71
11-03-2011;0.71
12-03-2011;0.71
13-03-2011;0.71
14-03-2011;0.70
15-03-2011;0.75
16-03-2011;0.74
17-03-2011;0.77
18-03-2011;0.76
19-03-2011;0.74
20-03-2011;0.73
21-03-2011;0.72
22-03-2011;0.70
23-03-2011;0.70
24-03-2011;0.69
25-03-2011;0.69
26-03-2011;0.72
27-03-2011;0.80
28-03-2011;0.84
29-03-2011;0.81
30-03-2011;0.85
31-03-2011;0.84
01-04-2011;0.82
02-04-2011;0.82
03-04-2011;0.80
04-04-2011;0.78
05-04-2011;0.77
06-04-2011;0.75
07-04-2011;0.74
08-04-2011;0.73
09-04-2011;0.71
10-04-2011;0.69
11-04-2011;0.68
12-04-2011;0.66
13-04-2011;
14-04-2011;0.69
15-04-2011;0.67
16-04-2011;0.65
17-04-2011;0.63
18-04-2011;0.62
19-04-2011;0.63
20-04-2011;0.64
21-04-2011;0.63
22-04-2011;0.64
23-04-2011;0.63
24-04-2011;0.61
25-04-2011;0.60
26-04-2011;0.59
27-04-2011;0.58
28-04-2011;0.57
29-04-2011;0.56
30-04-2011;0.59
01-05-2011;0.59
02-05-2011;0.61
03-05-2011;0.58
04-05-2011;0.57
05-05-2011;0.56
06-05-2011;0.56
07-05-2011;0.55
08-05-2011;0.56
09-05-2011;0.54
10-05-2011;0.53
11-05-2011;0.53
12-05-2011;0.53
13-05-2011;0.52
14-05-2011;0.51
15-05-2011;0.50
16-05-2011;0.49
17-05-2011;0.49
18-05-2011;0.50
19-05-2011;0.51
20-05-2011;0.49
21-05-2011;0.48
22-05-2011;0.47
23-05-2011;0.47
24-05-2011;0.47
25-05-2011;0.46
26-05-2011;0.45
27-05-2011;0.44
28-05-2011;0.44
29-05-2011;0.44
30-05-2011;0.47
31-05-2011;0.45
01-06-2011;0.44
02-06-2011;0.43
03-06-2011;0.42
04-06-2011;0.41
05-06-2011;0.42
06-06-2011;0.44
07-06-2011;0.43
08-06-2011;0.42
09-06-2011;0.41
10-06-2011;0.41
11-06-2011;0.40
12-06-2011;0.40
13-06-2011;0.40
14-06-2011;0.39
15-06-2011;0.39
16-06-2011;0.38
17-06-2011;0.38
18-06-2011;0.38
19-06-2011;0.38
20-06-2011;0.38
21-06-2011;0.36
22-06-2011;0.36
23-06-2011;0.35
24-06-2011;0.35
25-06-2011;0.35
26-06-2011;0.34
27-06-2011;0.33
28-06-2011;0.33
29-06-2011;0.33
30-06-2011;0.33
01-07-2011;0.33
02-07-2011;0.33
03-07-2011;0.35
04-07-2011;0.34
05-07-2011;0.33
06-07-2011;0.33
07-07-2011;0.32
08-07-2011;0.31
09-07-2011;0.33
10-07-2011;0.36
11-07-2011;0.33
12-07-2011;0.33
13-07-2011;0.34
14-07-2011;0.33
15-07-2011;0.33
16-07-2011;0.32
17-07-2011;0.32
18-07-2011;0.32
19-07-2011;0.33
20-07-2011;0.33
21-07-2011;0.32
22-07-2011;0.32
23-07-2011;0.31
24-07-2011;0.31
25-07-2011;0.31
26-07-2011;0.31
27-07-2011;0.30
28-07-2011;0.30
29-07-2011;0.30
30-07-2011;0.29
31-07-2011;0.29
01-08-2011;0.29
02-08-2011;0.30
03-08-2011;0.30
04-08-2011;0.29
05-08-2011;0.29
06-08-2011;0.29
07-08-2011;0.30
08-08-2011;0.29
09-08-2011;0.28
10-08-2011;0.28
11-08-2011;0.28
12-08-2011;0.28
13-08-2011;0.27
14-08-2011;0.27
15-08-2011;0.27
16-08-2011;0.27
17-08-2011;0.27
18-08-2011;0.26
19-08-2011;0.26
20-08-2011;0.26
21-08-2011;0.27
22-08-2011;0.30
23-08-2011;0.30
24-08-2011;0.29
25-08-2011;0.28
26-08-2011;0.30
27-08-2011;0.29
28-08-2011;0.27
29-08-2011;0.28
30-08-2011;0.28
31-08-2011;0.28
01-09-2011;0.30
02-09-2011;0.30
03-09-2011;0.29
04-09-2011;0.30
05-09-2011;0.30
06-09-2011;0.29
07-09-2011;0.28
08-09-2011;0.26
09-09-2011;0.21
10-09-2011;0.21
11-09-2011;0.22
12-09-2011;0.22
13-09-2011;0.22
14-09-2011;0.21
15-09-2011;0.21
16-09-2011;0.22
17-09-2011;0.22
18-09-2011;0.22
19-09-2011;0.22
20-09-2011;0.22
21-09-2011;0.22
22-09-2011;0.22
23-09-2011;0.22
24-09-2011;0.22
25-09-2011;0.22
26-09-2011;0.22
27-09-2011;0.22
28-09-2011;0.22
29-09-2011;0.23
30-09-2011;0.22
01-10-2011;0.22
02-10-2011;0.23
03-10-2011;0.23
04-10-2011;0.23
05-10-2011;0.23
06-10-2011;0.23
07-10-2011;0.23
08-10-2011;0.23
09-10-2011;0.23
10-10-2011;0.23
11-10-2011;0.23
12-10-2011;0.23
13-10-2011;0.23
14-10-2011;0.22
15-10-2011;0.22
16-10-2011;0.22
17-10-2011;0.22
18-10-2011;0.22
19-10-2011;0.22
20-10-2011;0.23
21-10-2011;0.23
22-10-2011;0.23
23-10-2011;0.23
24-10-2011;0.42
25-10-2011;0.29
26-10-2011;0.31
27-10-2011;0.60
28-10-2011;0.41
29-10-2011;0.32
30-10-2011;0.29
31-10-2011;0.28
01-11-2011;0.28
02-11-2011;0.27
03-11-2011;0.35
04-11-2011;0.36
05-11-2011;0.35
06-11-2011;0.36
07-11-2011;0.34
08-11-2011;0.33
09-11-2011;0.32
10-11-2011;0.32
11-11-2011;0.46
