Fecha;Valor
01-11-2018;11.02
02-11-2018;10.89
03-11-2018;11.09
04-11-2018;11.03
05-11-2018;10.84
06-11-2018;11.02
07-11-2018;10.96
08-11-2018;11.11
09-11-2018;10.99
10-11-2018;10.78
11-11-2018;10.73
12-11-2018;10.94
13-11-2018;11.24
14-11-2018;11.03
15-11-2018;10.75
16-11-2018;10.73
17-11-2018;10.53
18-11-2018;10.62
19-11-2018;10.45
20-11-2018;10.68
21-11-2018;11.27
22-11-2018;11.34
23-11-2018;11.43
24-11-2018;11.43
25-11-2018;11.54
26-11-2018;11.58
27-11-2018;11.69
28-11-2018;11.61
29-11-2018;11.56
30-11-2018;11.37
01-12-2018;11.32
02-12-2018;11.23
03-12-2018;11.04
04-12-2018;11.07
05-12-2018;11.30
06-12-2018;11.36
07-12-2018;11.71
08-12-2018;11.67
09-12-2018;11.66
10-12-2018;11.87
11-12-2018;11.71
12-12-2018;11.54
13-12-2018;11.37
14-12-2018;11.60
15-12-2018;11.36
16-12-2018;11.42
17-12-2018;11.68
18-12-2018;11.69
19-12-2018;11.62
20-12-2018;11.50
21-12-2018;11.31
22-12-2018;11.19
23-12-2018;11.32
24-12-2018;11.68
25-12-2018;11.63
26-12-2018;11.76
27-12-2018;11.79
28-12-2018;11.81
29-12-2018;11.96
30-12-2018;12.11
31-12-2018;12.13
01-01-2019;12.07
02-01-2019;12.24
03-01-2019;12.28
04-01-2019;12.44
05-01-2019;12.58
06-01-2019;12.70
07-01-2019;12.69
08-01-2019;12.54
09-01-2019;12.25
10-01-2019;12.21
11-01-2019;12.52
12-01-2019;12.61
13-01-2019;12.65
14-01-2019;12.52
15-01-2019;12.47
16-01-2019;12.38
17-01-2019;12.13
18-01-2019;12.17
19-01-2019;12.11
20-01-2019;12.15
21-01-2019;12.06
22-01-2019;12.05
23-01-2019;12.01
24-01-2019;11.82
25-01-2019;11.92
26-01-2019;12.14
27-01-2019;11.92
28-01-2019;11.88
29-01-2019;11.79
30-01-2019;12.10
31-01-2019;11.83
01-02-2019;11.99
02-02-2019;12.41
03-02-2019;12.31
04-02-2019;12.29
05-02-2019;12.05
06-02-2019;11.95
07-02-2019;11.78
08-02-2019;11.97
09-02-2019;11.66
10-02-2019;11.60
11-02-2019;12.04
12-02-2019;12.05
13-02-2019;12.03
14-02-2019;11.95
15-02-2019;11.83
16-02-2019;11.73
17-02-2019;11.70
18-02-2019;11.60
19-02-2019;11.83
20-02-2019;11.89
21-02-2019;11.82
22-02-2019;11.68
23-02-2019;11.62
24-02-2019;11.64
25-02-2019;11.61
26-02-2019;11.40
27-02-2019;11.17
28-02-2019;11.31
01-03-2019;11.28
02-03-2019;11.08
03-03-2019;11.03
04-03-2019;10.96
05-03-2019;11.04
06-03-2019;11.02
07-03-2019;11.49
08-03-2019;11.31
09-03-2019;11.01
10-03-2019;11.07
11-03-2019;11.11
12-03-2019;11.21
13-03-2019;11.36
14-03-2019;11.54
15-03-2019;11.46
16-03-2019;11.29
17-03-2019;11.17
18-03-2019;11.54
19-03-2019;11.36
20-03-2019;11.32
21-03-2019;11.28
22-03-2019;11.35
23-03-2019;11.27
24-03-2019;11.17
25-03-2019;11.12
26-03-2019;11.35
27-03-2019;11.56
28-03-2019;11.24
29-03-2019;11.08
30-03-2019;10.92
31-03-2019;10.88
01-04-2019;10.82
02-04-2019;10.96
03-04-2019;11.04
04-04-2019;11.53
05-04-2019;11.46
06-04-2019;11.44
07-04-2019;11.61
08-04-2019;11.47
09-04-2019;11.28
10-04-2019;11.32
11-04-2019;11.45
12-04-2019;11.35
13-04-2019;11.05
14-04-2019;10.76
15-04-2019;10.80
16-04-2019;11.34
17-04-2019;10.97
18-04-2019;11.03
19-04-2019;10.98
20-04-2019;10.96
21-04-2019;10.87
22-04-2019;10.89
23-04-2019;10.89
24-04-2019;11.40
25-04-2019;11.61
26-04-2019;11.57
27-04-2019;11.31
28-04-2019;11.16
29-04-2019;10.88
30-04-2019;10.83
01-05-2019;10.85
02-05-2019;11.12
03-05-2019;11.04
04-05-2019;11.04
05-05-2019;11.02
06-05-2019;10.87
07-05-2019;10.74
08-05-2019;10.84
09-05-2019;11.28
10-05-2019;10.93
11-05-2019;10.85
12-05-2019;10.79
13-05-2019;10.59
14-05-2019;10.43
15-05-2019;10.26
16-05-2019;10.42
17-05-2019;10.91
18-05-2019;11.25
19-05-2019;11.27
20-05-2019;11.16
21-05-2019;10.87
22-05-2019;10.59
23-05-2019;10.48
24-05-2019;10.67
25-05-2019;10.63
26-05-2019;10.42
27-05-2019;10.22
28-05-2019;10.51
29-05-2019;10.54
30-05-2019;10.27
31-05-2019;10.03
01-06-2019;9.94
02-06-2019;10.02
03-06-2019;9.96
04-06-2019;10.09
05-06-2019;10.49
06-06-2019;10.74
07-06-2019;10.87
08-06-2019;10.91
09-06-2019;10.64
10-06-2019;10.75
11-06-2019;10.63
12-06-2019;10.81
13-06-2019;10.72
14-06-2019;10.71
15-06-2019;10.60
16-06-2019;10.47
17-06-2019;10.25
18-06-2019;10.39
19-06-2019;10.30
20-06-2019;10.39
21-06-2019;10.27
22-06-2019;10.16
23-06-2019;10.06
24-06-2019;10.12
25-06-2019;10.26
26-06-2019;10.03
27-06-2019;9.70
28-06-2019;9.56
29-06-2019;9.41
30-06-2019;9.37
01-07-2019;9.45
02-07-2019;9.59
03-07-2019;9.63
04-07-2019;9.55
05-07-2019;9.64
06-07-2019;9.71
07-07-2019;9.84
08-07-2019;10.15
09-07-2019;10.61
10-07-2019;10.65
11-07-2019;10.53
12-07-2019;10.18
13-07-2019;10.57
14-07-2019;10.85
15-07-2019;9.74
16-07-2019;9.85
17-07-2019;9.65
18-07-2019;9.70
19-07-2019;9.64
20-07-2019;9.50
21-07-2019;9.51
22-07-2019;9.37
23-07-2019;9.28
24-07-2019;9.28
25-07-2019;9.41
26-07-2019;9.67
27-07-2019;9.90
28-07-2019;10.04
29-07-2019;10.06
30-07-2019;10.37
31-07-2019;10.41
01-08-2019;10.20
02-08-2019;10.24
03-08-2019;9.69
04-08-2019;9.63
05-08-2019;9.76
06-08-2019;9.97
07-08-2019;10.07
08-08-2019;10.14
09-08-2019;9.89
10-08-2019;10.07
11-08-2019;10.17
12-08-2019;10.11
13-08-2019;9.83
14-08-2019;9.71
15-08-2019;9.59
16-08-2019;9.54
17-08-2019;9.47
18-08-2019;9.48
19-08-2019;9.73
20-08-2019;9.73
21-08-2019;9.62
22-08-2019;9.59
23-08-2019;9.54
24-08-2019;9.48
25-08-2019;9.52
26-08-2019;9.76
27-08-2019;9.83
28-08-2019;9.96
29-08-2019;9.69
30-08-2019;9.68
31-08-2019;9.74
01-09-2019;9.75
02-09-2019;9.83
03-09-2019;9.69
04-09-2019;9.67
05-09-2019;9.86
06-09-2019;10.25
07-09-2019;10.23
08-09-2019;10.31
09-09-2019;10.55
10-09-2019;10.88
11-09-2019;10.77
12-09-2019;10.45
13-09-2019;10.42
14-09-2019;10.33
15-09-2019;10.30
16-09-2019;10.10
17-09-2019;10.17
18-09-2019;10.44
