date;value
2018-11-01;11.02
2018-11-02;10.89
2018-11-03;11.09
2018-11-04;11.03
2018-11-05;10.84
2018-11-06;11.02
2018-11-07;10.96
2018-11-08;11.11
2018-11-09;10.99
2018-11-10;10.78
2018-11-11;10.73
2018-11-12;10.94
2018-11-13;11.24
2018-11-14;11.03
2018-11-15;10.75
2018-11-16;10.73
2018-11-17;10.53
2018-11-18;10.62
2018-11-19;10.45
2018-11-20;10.68
2018-11-21;11.27
2018-11-22;11.34
2018-11-23;11.43
2018-11-24;11.43
2018-11-25;11.54
2018-11-26;11.58
2018-11-27;11.69
2018-11-28;11.61
2018-11-29;11.56
2018-11-30;11.37
2018-12-01;11.32
2018-12-02;11.23
2018-12-03;11.04
2018-12-04;11.07
2018-12-05;11.3
2018-12-06;11.36
2018-12-07;11.71
2018-12-08;11.67
2018-12-09;11.66
2018-12-10;11.87
2018-12-11;11.71
2018-12-12;11.54
2018-12-13;11.37
2018-12-14;11.6
2018-12-15;11.36
2018-12-16;11.42
2018-12-17;11.68
2018-12-18;11.69
2018-12-19;11.62
2018-12-20;11.5
2018-12-21;11.31
2018-12-22;11.19
2018-12-23;11.32
2018-12-24;11.68
2018-12-25;11.63
2018-12-26;11.76
2018-12-27;11.79
2018-12-28;11.81
2018-12-29;11.96
2018-12-30;12.11
2018-12-31;12.13
2019-01-01;12.07
2019-01-02;12.24
2019-01-03;12.28
2019-01-04;12.44
2019-01-05;12.58
2019-01-06;12.7
2019-01-07;12.69
2019-01-08;12.54
2019-01-09;12.25
2019-01-10;12.21
2019-01-11;12.52
2019-01-12;12.61
2019-01-13;12.65
2019-01-14;12.52
2019-01-15;12.47
2019-01-16;12.38
2019-01-17;12.13
2019-01-18;12.17
2019-01-19;12.11
2019-01-20;12.15
2019-01-21;12.06
2019-01-22;12.05
2019-01-23;12.01
2019-01-24;11.82
2019-01-25;11.92
2019-01-26;12.14
2019-01-27;11.92
2019-01-28;11.88
2019-01-29;11.79
2019-01-30;12.1
2019-01-31;11.83
2019-02-01;11.99
2019-02-02;12.41
2019-02-03;12.31
2019-02-04;12.29
2019-02-05;12.05
2019-02-06;11.95
2019-02-07;11.78
2019-02-08;11.97
2019-02-09;11.66
2019-02-10;11.6
2019-02-11;12.04
2019-02-12;12.05
2019-02-13;12.03
2019-02-14;11.95
2019-02-15;11.83
2019-02-16;11.73
2019-02-17;11.7
2019-02-18;11.6
2019-02-19;11.83
