Fecha;Valor
01-01-2011;3.6
02-01-2011;5.8
03-01-2011;1.1
04-01-2011;5.5
05-01-2011;8.1
06-01-2011;9.9
07-01-2011;7.7
08-01-2011;7.5
09-01-2011;6.2
10-01-2011;2.6
11-01-2011;8.0
12-01-2011;8.6
13-01-2011;7.4
14-01-2011;3.8
15-01-2011;3.6
16-01-2011;2.8
17-01-2011;7.8
18-01-2011;7.6
19-01-2011;7.3
20-01-2011;3.3
21-01-2011;-0.5
22-01-2011;-1.3
23-01-2011;0.6
24-01-2011;-2.0
25-01-2011;-1.5
26-01-2011;-1.6
27-01-2011;2.3
28-01-2011;3.7
29-01-2011;2.1
30-01-2011;2.8
31-01-2011;2.2
01-02-2011;-0.8
02-02-2011;-0.6
03-02-2011;1.7
04-02-2011;1.6
05-02-2011;2.6
06-02-2011;3.3
07-02-2011;3.1
08-02-2011;3.4
09-02-2011;5.6
10-02-2011;5.9
11-02-2011;4.6
12-02-2011;5.1
13-02-2011;2.3
14-02-2011;1.7
15-02-2011;2.1
16-02-2011;1.1
17-02-2011;2.7
18-02-2011;2.7
19-02-2011;6.3
20-02-2011;3.9
21-02-2011;5.8
22-02-2011;9.6
23-02-2011;5.6
24-02-2011;5.9
25-02-2011;6.5
26-02-2011;6.3
27-02-2011;6.4
28-02-2011;4.1
01-03-2011;1.7
02-03-2011;3.0
03-03-2011;2.4
04-03-2011;1.4
05-03-2011;5.0
06-03-2011;4.1
07-03-2011;4.7
08-03-2011;6.1
09-03-2011;7.1
10-03-2011;8.1
11-03-2011;7.2
12-03-2011;8.3
13-03-2011;7.6
14-03-2011;8.5
15-03-2011;7.3
16-03-2011;7.7
17-03-2011;9.2
18-03-2011;6.8
19-03-2011;8.6
20-03-2011;9.9
21-03-2011;9.5
22-03-2011;8.4
23-03-2011;7.6
24-03-2011;9.0
25-03-2011;10.1
26-03-2011;9.4
27-03-2011;6.8
28-03-2011;7.3
29-03-2011;7.6
30-03-2011;10.9
31-03-2011;11.5
01-04-2011;13.3
02-04-2011;12.7
03-04-2011;9.6
04-04-2011;9.8
05-04-2011;13.2
06-04-2011;15.5
07-04-2011;16.7
08-04-2011;17.7
09-04-2011;15.0
10-04-2011;11.8
11-04-2011;13.1
12-04-2011;14.2
13-04-2011;14.3
14-04-2011;13.0
15-04-2011;11.5
16-04-2011;12.2
17-04-2011;13.2
18-04-2011;13.1
19-04-2011;12.9
20-04-2011;12.9
21-04-2011;12.8
22-04-2011;11.8
23-04-2011;11.6
24-04-2011;11.5
25-04-2011;12.1
26-04-2011;12.6
27-04-2011;12.9
28-04-2011;12.7
29-04-2011;13.8
30-04-2011;12.0
01-05-2011;11.6
02-05-2011;11.6
03-05-2011;12.8
04-05-2011;12.2
05-05-2011;13.3
06-05-2011;13.4
07-05-2011;12.5
08-05-2011;12.8
09-05-2011;14.1
10-05-2011;16.8
11-05-2011;16.6
12-05-2011;16.2
13-05-2011;16.1
14-05-2011;13.7
15-05-2011;12.5
16-05-2011;14.4
17-05-2011;15.3
18-05-2011;15.6
19-05-2011;15.6
20-05-2011;16.0
21-05-2011;18.1
22-05-2011;18.4
23-05-2011;18.1
24-05-2011;19.0
25-05-2011;18.5
26-05-2011;17.1
27-05-2011;16.5
28-05-2011;17.6
29-05-2011;16.1
30-05-2011;15.0
31-05-2011;12.0
01-06-2011;14.0
02-06-2011;14.4
03-06-2011;16.2
04-06-2011;16.9
05-06-2011;15.0
06-06-2011;14.9
07-06-2011;13.8
08-06-2011;11.0
09-06-2011;11.8
10-06-2011;13.4
11-06-2011;14.9
12-06-2011;17.9
13-06-2011;16.8
14-06-2011;18.2
15-06-2011;17.0
16-06-2011;14.6
17-06-2011;14.0
18-06-2011;13.4
19-06-2011;16.4
20-06-2011;19.4
21-06-2011;19.4
22-06-2011;16.6
23-06-2011;15.5
24-06-2011;19.4
