date;value
2018-11-01;5.5
2018-11-02;10.3
2018-11-03;6.6
2018-11-04;6.1
2018-11-05;6.0
2018-11-06;6.4
2018-11-07;6.9
2018-11-08;4.6
2018-11-09;6.7
2018-11-10;9.9
2018-11-11;9.3
2018-11-12;6.7
2018-11-13;3.9
2018-11-14;6.1
2018-11-15;7.9
2018-11-16;7.6
2018-11-17;9.4
2018-11-18;8.2
2018-11-19;9.9
2018-11-20;7.6
2018-11-21;5.4
2018-11-22;6.4
2018-11-23;5.4
2018-11-24;6.8
2018-11-25;4.5
2018-11-26;4.5
2018-11-27;3.6
2018-11-28;3.9
2018-11-29;3.5
2018-11-30;6.1
2018-12-01;6.6
2018-12-02;7.3
2018-12-03;10.6
2018-12-04;10.8
2018-12-05;7.4
2018-12-06;6.2
2018-12-07;2.4
2018-12-08;3.4
2018-12-09;4.3
2018-12-10;2.1
2018-12-11;2.7
2018-12-12;3.7
2018-12-13;4.9
2018-12-14;4.9
2018-12-15;8.3
2018-12-16;5.9
2018-12-17;4.0
2018-12-18;4.3
2018-12-19;4.9
2018-12-20;6.9
2018-12-21;8.7
2018-12-22;10.1
2018-12-23;7.8
2018-12-24;3.5
2018-12-25;3.8
2018-12-26;2.6
2018-12-27;2.7
2018-12-28;2.1
2018-12-29;1.1
2018-12-30;0.2
2018-12-31;0.7
2019-01-01;0.9
2019-01-02;-0.5
2019-01-03;0.0
2019-01-04;-0.9
2019-01-05;-1.9
2019-01-06;-2.6
2019-01-07;-2.2
2019-01-08;-1.0
2019-01-09;0.9
2019-01-10;0.4
2019-01-11;-1.0
2019-01-12;-1.5
2019-01-13;-1.2
2019-01-14;-0.3
2019-01-15;-0.1
2019-01-16;-0.8
2019-01-17;1.1
2019-01-18;0.8
2019-01-19;1.8
2019-01-20;2.9
2019-01-21;1.9
2019-01-22;2.6
2019-01-23;7.7
2019-01-24;10.3
2019-01-25;4.8
2019-01-26;1.7
2019-01-27;5.4
2019-01-28;5.9
2019-01-29;5.3
2019-01-30;1.1
2019-01-31;6.8
2019-02-01;2.5
2019-02-02;1.5
2019-02-03;0.6
2019-02-04;0.9
2019-02-05;3.3
2019-02-06;4.3
2019-02-07;6.3
2019-02-08;3.1
2019-02-09;7.8
2019-02-10;7.6
2019-02-11;2.8
2019-02-12;3.5
2019-02-13;3.3
2019-02-14;4.8
2019-02-15;5.4
2019-02-16;6.2
2019-02-17;5.0
2019-02-18;4.8
2019-02-19;3.8
2019-02-20;3.6
2019-02-21;5.6
2019-02-22;7.1
2019-02-23;7.2
2019-02-24;6.9
2019-02-25;7.6
2019-02-26;8.0
2019-02-27;7.4
2019-02-28;6.0
2019-03-01;6.7
2019-03-02;8.0
2019-03-03;8.4
2019-03-04;8.3
2019-03-05;7.9
2019-03-06;6.8
2019-03-07;4.5
2019-03-08;7.1
2019-03-09;10.8
2019-03-10;9.0
2019-03-11;8.4
2019-03-12;6.9
2019-03-13;4.5
2019-03-14;4.8
2019-03-15;6.4
2019-03-16;7.9
2019-03-17;6.7
2019-03-18;5.2
2019-03-19;7.0
2019-03-20;7.8
2019-03-21;7.9
2019-03-22;7.7
2019-03-23;9.0
2019-03-24;10.9
2019-03-25;10.8
2019-03-26;8.4
2019-03-27;8.6
2019-03-28;9.3
2019-03-29;9.4
2019-03-30;10.1
2019-03-31;11.0
2019-04-01;10.8
2019-04-02;8.1
2019-04-03;4.9
2019-04-04;2.9
2019-04-05;4.6
2019-04-06;3.5
2019-04-07;3.7
2019-04-08;7.4
2019-04-09;6.2
2019-04-10;7.4
2019-04-11;6.3
2019-04-12;8.1
2019-04-13;12.0
2019-04-14;15.3
2019-04-15;11.8
2019-04-16;9.2
2019-04-17;12.9
2019-04-18;11.2
2019-04-19;12.3
2019-04-20;13.2
2019-04-21;11.8
2019-04-22;10.8
2019-04-23;7.8
2019-04-24;5.4
2019-04-25;4.9
2019-04-26;7.9
2019-04-27;10.6
2019-04-28;13.1
2019-04-29;15.0
2019-04-30;14.9
2019-05-01;12.0
2019-05-02;11.6
2019-05-03;11.3
2019-05-04;12.3
2019-05-05;12.3
2019-05-06;13.5
2019-05-07;13.7
2019-05-08;12.0
2019-05-09;8.3
2019-05-10;14.8
2019-05-11;13.2
2019-05-12;15.3
2019-05-13;16.8
2019-05-14;18.2
2019-05-15;18.4
2019-05-16;12.1
2019-05-17;9.3
2019-05-18;8.2
2019-05-19;8.9
2019-05-20;10.7
2019-05-21;13.6
2019-05-22;16.1
2019-05-23;15.7
2019-05-24;12.7
2019-05-25;14.7
2019-05-26;16.1
2019-05-27;15.4
2019-05-28;12.4
2019-05-29;15.7
2019-05-30;17.9
