Fecha;Valor
01-01-2011;2
02-01-2011;2
03-01-2011;2
04-01-2011;7.1
05-01-2011;11.6
06-01-2011;72.2
07-01-2011;51.1
08-01-2011;27.5
09-01-2011;19.2
10-01-2011;13.7
11-01-2011;10.5
12-01-2011;8.6
13-01-2011;7.1
14-01-2011;5.6
15-01-2011;4.7
16-01-2011;4.1
17-01-2011;4.1
18-01-2011;4.3
19-01-2011;3.3
20-01-2011;2.4
21-01-2011;2.1
22-01-2011;2
23-01-2011;2
24-01-2011;2
25-01-2011;1.9
26-01-2011;1.5
27-01-2011;1.3
28-01-2011;1.2
29-01-2011;1.3
30-01-2011;1.2
31-01-2011;1.2
01-02-2011;1.2
02-02-2011;1.3
03-02-2011;1.5
04-02-2011;1.8
05-02-2011;2
06-02-2011;2
07-02-2011;2
08-02-2011;2
09-02-2011;2.1
10-02-2011;2.1
11-02-2011;2.7
12-02-2011;2.4
13-02-2011;2.7
14-02-2011;2.5
15-02-2011;2.8
16-02-2011;3.1
17-02-2011;4.3
18-02-2011;2.5
19-02-2011;4
20-02-2011;5.9
21-02-2011;5.9
22-02-2011;13.2
23-02-2011;5.3
24-02-2011;3.8
25-02-2011;2.9
26-02-2011;2.5
27-02-2011;2.2
28-02-2011;2.4
01-03-2011;2.6
02-03-2011;2.1
03-03-2011;2
04-03-2011;1.9
05-03-2011;2
06-03-2011;2.1
07-03-2011;2
08-03-2011;2
09-03-2011;2
10-03-2011;2
11-03-2011;2
12-03-2011;1.9
13-03-2011;2
14-03-2011;2
15-03-2011;2.6
16-03-2011;2
17-03-2011;1.8
18-03-2011;1.1
19-03-2011;1
20-03-2011;1
21-03-2011;1
22-03-2011;1
23-03-2011;1
24-03-2011;1
25-03-2011;1.2
26-03-2011;2.8
27-03-2011;5
28-03-2011;3.3
29-03-2011;2.1
30-03-2011;3.1
31-03-2011;2.2
01-04-2011;2.1
02-04-2011;2
03-04-2011;2
04-04-2011;2
05-04-2011;2
06-04-2011;2
07-04-2011;2
08-04-2011;2
09-04-2011;2
10-04-2011;2
11-04-2011;2
12-04-2011;1.5
13-04-2011;1.1
14-04-2011;1
15-04-2011;1.1
16-04-2011;1.3
17-04-2011;1.3
18-04-2011;1.6
19-04-2011;2.2
20-04-2011;3.1
21-04-2011;3.6
22-04-2011;2.4
23-04-2011;4.3
24-04-2011;2.3
25-04-2011;2.3
26-04-2011;2.5
27-04-2011;2.5
28-04-2011;2.6
29-04-2011;2.1
30-04-2011;20.4
01-05-2011;5
02-05-2011;4
03-05-2011;2.3
04-05-2011;2.2
05-05-2011;2.2
06-05-2011;2.3
07-05-2011;2.6
08-05-2011;2.9
09-05-2011;2.6
10-05-2011;2.5
11-05-2011;5.4
12-05-2011;8.6
13-05-2011;2.9
14-05-2011;2.2
15-05-2011;2.1
16-05-2011;2.2
17-05-2011;2.2
18-05-2011;31
19-05-2011;7.1
20-05-2011;2.9
21-05-2011;4.4
22-05-2011;2.6
23-05-2011;3.1
24-05-2011;2.8
25-05-2011;2.5
26-05-2011;2.5
27-05-2011;2.4
28-05-2011;2.3
29-05-2011;3.1
30-05-2011;15.2
31-05-2011;5.4
01-06-2011;2.5
02-06-2011;2.2
03-06-2011;2.8
04-06-2011;2.8
05-06-2011;3.4
06-06-2011;10.7
07-06-2011;2.9
08-06-2011;2.5
09-06-2011;2.3
10-06-2011;2.3
11-06-2011;2.5
12-06-2011;2.5
13-06-2011;2.5
14-06-2011;2.8
15-06-2011;2.9
16-06-2011;2.7
17-06-2011;2.6
18-06-2011;2.6
19-06-2011;3
20-06-2011;2.1
21-06-2011;1.7
22-06-2011;1.6
23-06-2011;1.6
24-06-2011;1.9
25-06-2011;2
26-06-2011;2
27-06-2011;2
28-06-2011;2
29-06-2011;1.9
30-06-2011;1.9
01-07-2011;1.9
02-07-2011;2.1
03-07-2011;34.6
04-07-2011;8.8
05-07-2011;2
06-07-2011;2
07-07-2011;2
08-07-2011;2
09-07-2011;2.1
10-07-2011;2.3
11-07-2011;2
12-07-2011;2
13-07-2011;2
14-07-2011;2
15-07-2011;2
16-07-2011;2
17-07-2011;2
18-07-2011;2
19-07-2011;1.6
20-07-2011;1
21-07-2011;1
22-07-2011;1.2
23-07-2011;1.5
24-07-2011;1.8
25-07-2011;1.8
26-07-2011;1.9
27-07-2011;1.5
28-07-2011;1.9
29-07-2011;2
30-07-2011;2
31-07-2011;2.4
01-08-2011;2.2
02-08-2011;3
03-08-2011;1.7
04-08-2011;1.9
05-08-2011;2
06-08-2011;2
07-08-2011;2
08-08-2011;2
09-08-2011;2
10-08-2011;2
11-08-2011;2.7
12-08-2011;2.4
13-08-2011;2
14-08-2011;2
15-08-2011;2.1
16-08-2011;2
17-08-2011;2
18-08-2011;2.3
19-08-2011;2.1
20-08-2011;2
21-08-2011;2
22-08-2011;5.9
23-08-2011;1
24-08-2011;1
25-08-2011;1
26-08-2011;1.3
27-08-2011;1
28-08-2011;1.8
29-08-2011;2
30-08-2011;2
31-08-2011;2
01-09-2011;2.4
02-09-2011;2
03-09-2011;2
04-09-2011;2
05-09-2011;2
06-09-2011;2
07-09-2011;2
08-09-2011;2.1
09-09-2011;2
10-09-2011;2
11-09-2011;2
12-09-2011;2
13-09-2011;3
14-09-2011;2.8
15-09-2011;2.5
16-09-2011;2.1
17-09-2011;2
18-09-2011;2
19-09-2011;2
20-09-2011;2
21-09-2011;2
22-09-2011;2
23-09-2011;
24-09-2011;2.7
25-09-2011;2
26-09-2011;2
27-09-2011;2
28-09-2011;2.2
29-09-2011;3.2
30-09-2011;2
01-10-2011;2.1
02-10-2011;2
03-10-2011;2
04-10-2011;2
05-10-2011;2
06-10-2011;2
07-10-2011;2
08-10-2011;2
09-10-2011;2
10-10-2011;2
11-10-2011;2
12-10-2011;2.2
13-10-2011;2
14-10-2011;2
15-10-2011;2
16-10-2011;2
17-10-2011;2
18-10-2011;1.7
19-10-2011;5.1
20-10-2011;1
21-10-2011;1
22-10-2011;1
23-10-2011;1.1
24-10-2011;59.6
25-10-2011;3.7
26-10-2011;3.9
27-10-2011;24.8
28-10-2011;2.3
29-10-2011;1
30-10-2011;1
31-10-2011;1.1
01-11-2011;1.1
02-11-2011;1.6
03-11-2011;3.3
04-11-2011;2
05-11-2011;1.9
06-11-2011;2
07-11-2011;1.7
08-11-2011;2
09-11-2011;2
10-11-2011;2
11-11-2011;8.5
12-11-2011;4.2
13-11-2011;1.7
14-11-2011;1
15-11-2011;1.1
16-11-2011;2.3
17-11-2011;1.3
18-11-2011;1.1
19-11-2011;1.6
20-11-2011;1.3
21-11-2011;1.3
22-11-2011;1.3
23-11-2011;1.2
24-11-2011;1.2
25-11-2011;1.2
26-11-2011;1.6
27-11-2011;2
28-11-2011;2
29-11-2011;2
30-11-2011;2
01-12-2011;2
02-12-2011;2.8
03-12-2011;2
04-12-2011;2.1
05-12-2011;2.7
06-12-2011;4.6
07-12-2011;2.4
08-12-2011;2.2
09-12-2011;2.1
10-12-2011;2.6
11-12-2011;2.5
12-12-2011;2.2
13-12-2011;2.5
14-12-2011;4
15-12-2011;2.8
16-12-2011;20.9
17-12-2011;6.1
18-12-2011;2.6
19-12-2011;2.1
20-12-2011;2.3
21-12-2011;2
22-12-2011;2
23-12-2011;2
24-12-2011;2.1
25-12-2011;2
26-12-2011;2
27-12-2011;2
28-12-2011;2
29-12-2011;2.1
30-12-2011;2.2
31-12-2011;2.6
01-01-2012;2.9
02-01-2012;3.2
03-01-2012;1.1
04-01-2012;1.1
05-01-2012;1.1
06-01-2012;1.1
07-01-2012;1.1
08-01-2012;1.1
09-01-2012;1
10-01-2012;1.1
11-01-2012;1.1
12-01-2012;1.1
13-01-2012;1.1
14-01-2012;1.1
15-01-2012;1.2
16-01-2012;1.5
17-01-2012;1.3
18-01-2012;2.3
19-01-2012;2
20-01-2012;2
21-01-2012;2.1
22-01-2012;2.1
23-01-2012;2.1
24-01-2012;2
25-01-2012;2.1
26-01-2012;2.8
27-01-2012;2.1
28-01-2012;2.1
29-01-2012;2.1
30-01-2012;2.1
31-01-2012;2.1
01-02-2012;2.1
02-02-2012;2.1
03-02-2012;2.2
04-02-2012;2.3
05-02-2012;2.4
06-02-2012;4.2
07-02-2012;4.7
08-02-2012;2.6
09-02-2012;2.2
10-02-2012;2.2
11-02-2012;2.2
12-02-2012;2.1
13-02-2012;2.1
14-02-2012;2.3
15-02-2012;2.2
16-02-2012;2.2
17-02-2012;2.2
18-02-2012;2.1
19-02-2012;2.1
20-02-2012;2.1
21-02-2012;2
22-02-2012;2.1
23-02-2012;2.2
24-02-2012;2.2
25-02-2012;2.4
26-02-2012;2.5
27-02-2012;2.3
28-02-2012;6.7
29-02-2012;5.8
01-03-2012;3
02-03-2012;2.6
03-03-2012;2.3
04-03-2012;2.9
05-03-2012;2.8
06-03-2012;3.3
07-03-2012;3
08-03-2012;3.1
09-03-2012;3.2
10-03-2012;3.2
11-03-2012;3.4
12-03-2012;2.3
13-03-2012;1
14-03-2012;1
15-03-2012;1
16-03-2012;1.2
17-03-2012;1.1
18-03-2012;1.1
19-03-2012;1
20-03-2012;1
21-03-2012;1.2
22-03-2012;1.6
23-03-2012;2
24-03-2012;2
25-03-2012;2
26-03-2012;2
27-03-2012;2
28-03-2012;2
29-03-2012;2
30-03-2012;2.1
31-03-2012;2
01-04-2012;2
02-04-2012;2
03-04-2012;2
04-04-2012;2
05-04-2012;2
06-04-2012;2.5
07-04-2012;3.1
08-04-2012;2.1
09-04-2012;2.7
10-04-2012;2.4
11-04-2012;4.4
12-04-2012;4.2
13-04-2012;2.8
14-04-2012;9.5
15-04-2012;9.2
16-04-2012;7.4
17-04-2012;6
18-04-2012;31.8
19-04-2012;119.2
