date;value
2011-01-01;7.0
2011-01-02;7.0
2011-01-03;7.0
2011-01-04;6.964592
2011-01-05;6.723243
2011-01-06;6.359721
2011-01-07;5.378133
2011-01-08;5.902427
2011-01-09;6.428132
2011-01-10;6.546864
2011-01-11;6.61734
2011-01-12;6.699982
2011-01-13;6.701372
2011-01-14;6.725006
2011-01-15;6.796199
2011-01-16;6.800019
2011-01-17;6.800018
2011-01-18;6.800713
2011-01-19;6.800011
2011-01-20;6.800019
2011-01-21;6.800019
2011-01-22;6.800368
2011-01-23;6.842022
2011-01-24;6.855217
2011-01-25;6.900017
2011-01-26;6.900017
2011-01-27;6.900017
2011-01-28;6.900017
2011-01-29;6.900017
2011-01-30;6.900017
2011-01-31;6.89967
2011-02-01;6.897585
2011-02-02;6.900016
2011-02-03;6.900017
2011-02-04;6.900017
2011-02-05;6.900017
2011-02-06;6.921192
2011-02-07;6.941673
2011-02-08;6.950006
2011-02-09;6.979866
2011-02-10;6.998959
2011-02-11;6.964242
2011-02-12;7.0
2011-02-13;6.963199
2011-02-14;6.984379
2011-02-15;6.979657
2011-02-16;7.0736
2011-02-17;7.009026
2011-02-18;6.937508
2011-02-19;6.81356
2011-02-20;6.651035
2011-02-21;6.37572
2011-02-22;6.302099
2011-02-23;6.385367
2011-02-24;6.526035
2011-02-25;6.599983
2011-02-26;6.655878
2011-02-27;6.699982
2011-02-28;6.701025
2011-03-01;6.730567
2011-03-02;6.751246
2011-03-03;6.798977
2011-03-04;6.800019
2011-03-05;6.851397
2011-03-06;6.900017
2011-03-07;6.941673
2011-03-08;6.980559
2011-03-09;6.998264
2011-03-10;7.0
2011-03-11;7.0
2011-03-12;7.0
2011-03-13;7.02916
2011-03-14;7.02916
2011-03-15;7.0
2011-03-16;7.012497
2011-03-17;7.04999
2011-03-18;7.071515
2011-03-19;7.099983
2011-03-20;7.099983
2011-03-21;7.099983
2011-03-22;7.118729
2011-03-23;7.126713
2011-03-24;7.099983
2011-03-25;7.099636
2011-03-26;7.045822
2011-03-27;6.996377
2011-03-28;6.944798
2011-03-29;6.960766
2011-03-30;6.952436
2011-03-31;6.95417
2011-04-01;6.996528
2011-04-02;7.018745
2011-04-03;7.028913
2011-04-04;7.026035
2011-04-05;7.033672
2011-04-06;7.039574
2011-04-07;7.043739
2011-04-08;7.044589
2011-04-09;7.054501
2011-04-10;7.062487
2011-04-11;7.070473
2011-04-12;7.117561
2011-04-13;7.137822
2011-04-14;7.143031
2011-04-15;7.144765
2011-04-16;7.14442
2011-04-17;7.141295
2011-04-18;7.136781
2011-04-19;7.093386
2011-04-20;7.113174
2011-04-21;7.113865
2011-04-22;7.118729
2011-04-23;7.100325
2011-04-24;7.125324
2011-04-25;7.10588
2011-04-26;7.08366
2011-04-27;7.093035
2011-04-28;7.102418
2011-04-29;7.138517
2011-04-30;7.09096
2011-05-01;7.099631
2011-05-02;7.091644
2011-05-03;7.135391
2011-05-04;7.137822
2011-05-05;7.135044
2011-05-06;7.124629
2011-05-07;7.137474
2011-05-08;7.146156
2011-05-09;7.139211
2011-05-10;7.141546
2011-05-11;7.153458
2011-05-12;7.188882
2011-05-13;7.19686
2011-05-14;7.170814
2011-05-15;7.14442
2011-05-16;7.136086
2011-05-17;7.135864
2011-05-18;7.118035
2011-05-19;7.140253
2011-05-20;7.146504
2011-05-21;7.132614
2011-05-22;7.138999
2011-05-23;7.131227
2011-05-24;7.131572
2011-05-25;7.139559
2011-05-26;7.152236
2011-05-27;7.164904
2011-05-28;7.162476
2011-05-29;7.165011
2011-05-30;7.135741
2011-05-31;7.157265
2011-06-01;7.167681
2011-06-02;7.16525
2011-06-03;7.200687
2011-06-04;7.228827
2011-06-05;7.22709
2011-06-06;7.161778
2011-06-07;7.239254
2011-06-08;7.235779
2011-06-09;7.237864
2011-06-10;7.234388
2011-06-11;7.230566
2011-06-12;7.24273
2011-06-13;7.250369
2011-06-14;7.248289
2011-06-15;7.246711
2011-06-16;7.25473
2011-06-17;7.254541
2011-06-18;7.263221
2011-06-19;7.261478
2011-06-20;7.20866
2011-06-21;7.237864
2011-06-22;7.245156
2011-06-23;7.19998
2011-06-24;7.095818
2011-06-25;7.09547
2011-06-26;7.11005
2011-06-27;7.084598
2011-06-28;7.099983
2011-06-29;7.105884
2011-06-30;7.099983
2011-07-01;7.099983
2011-07-02;7.099983
2011-07-03;7.077419
2011-07-04;7.043739
2011-07-05;7.062093
2011-07-06;7.099983
2011-07-07;7.099983
2011-07-08;7.096859
2011-07-09;7.073946
2011-07-10;7.044782
2011-07-11;7.064915
2011-07-12;7.099983
2011-07-13;7.089569
2011-07-14;7.056237
2011-07-15;7.101371
2011-07-16;7.129143
