datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2019-01-01 00:00,1.23,1.23,NULL,442.7,442.7,NULL,8.29,8.346677316,NULL,13.45,11.45,10,6.05,6.05,NULL,59.39,58.78,NULL
2019-01-01 00:15,1.19,1.19,NULL,442.8,442.8,NULL,8.29,8.346709265,NULL,13.47,11.47,10,5.91,5.91,NULL,59.31,58.7,NULL
2019-01-01 00:30,1.14,1.14,NULL,442.9,442.9,NULL,8.29,8.346741214,NULL,13.49,11.49,10,6.09,6.09,NULL,59.34,58.73,NULL
2019-01-01 00:45,1.1,1.1,NULL,442.9,442.9,NULL,8.29,8.346773163,NULL,13.51,11.51,10,5.99,5.99,NULL,59.29,58.68,NULL
2019-01-01 01:00,1.05,1.05,NULL,443,443,NULL,8.29,8.346805112,NULL,13.54,11.54,10,6.16,6.16,NULL,59.19,58.58,NULL
2019-01-01 01:15,1.01,1.01,NULL,443.1,443.1,NULL,8.29,8.346837061,NULL,13.55,11.55,10,6.7,6.7,NULL,59.01,58.4,NULL
2019-01-01 01:30,1.01,1.01,NULL,443.7,443.7,NULL,8.28,8.33686901,NULL,13.54,11.54,10,6.35,6.35,NULL,59.07,58.46,NULL
2019-01-01 01:45,0.94,0.94,NULL,443.5,443.5,NULL,8.29,8.346900958,NULL,13.57,11.57,10,6.3,6.3,NULL,59.05,58.44,NULL
2019-01-01 02:00,0.91,0.91,NULL,443.4,443.4,NULL,8.29,8.346932907,NULL,13.57,11.57,10,5.91,5.91,NULL,58.88,58.27,NULL
2019-01-01 02:15,0.87,0.87,NULL,443.7,443.7,NULL,8.29,8.346964856,NULL,13.58,11.58,10,5.81,5.81,NULL,58.92,58.31,NULL
2019-01-01 02:30,0.83,0.83,NULL,443.9,443.9,NULL,8.29,8.346996805,NULL,13.59,11.59,10,5.68,5.68,NULL,58.74,58.13,NULL
2019-01-01 02:45,0.79,0.79,NULL,444,444,NULL,8.28,8.337028754,NULL,13.6,11.6,10,6.44,6.44,NULL,58.54,57.93,NULL
2019-01-01 03:00,0.75,0.75,NULL,444.1,444.1,NULL,8.29,8.347060703,NULL,13.62,11.62,10,5.93,5.93,NULL,58.6,57.99,NULL
2019-01-01 03:15,0.71,0.71,NULL,444.1,444.1,NULL,8.29,8.347092652,NULL,13.64,11.64,10,5.95,5.95,NULL,58.62,58.01,NULL
2019-01-01 03:30,0.66,0.66,NULL,444.4,444.4,NULL,8.29,8.347124601,NULL,13.66,11.66,10,5.65,5.65,NULL,58.32,57.71,NULL
2019-01-01 03:45,0.62,0.62,NULL,444.5,444.5,NULL,8.29,8.34715655,NULL,13.68,11.68,10,5.56,5.56,NULL,58.2,57.59,NULL
2019-01-01 04:00,0.58,0.58,NULL,444.8,444.8,NULL,8.28,8.337188498,NULL,13.71,11.71,10,5.75,5.75,NULL,58.33,57.72,NULL
2019-01-01 04:15,0.54,0.54,NULL,445,445,NULL,8.28,8.337220447,NULL,13.72,11.72,10,5.94,5.94,NULL,58.19,57.58,NULL
2019-01-01 04:30,0.5,0.5,NULL,445.5,445.5,NULL,8.28,8.337252396,NULL,13.74,11.74,10,5.6,5.6,NULL,57.88,57.27,NULL
2019-01-01 04:45,0.45,0.45,NULL,445.6,445.6,NULL,8.28,8.337284345,NULL,13.75,11.75,10,5.64,5.64,NULL,57.98,57.37,NULL
2019-01-01 05:00,0.42,0.42,NULL,445.7,445.7,NULL,8.28,8.337316294,NULL,13.77,11.77,10,5.39,5.39,NULL,57.67,57.06,NULL
2019-01-01 05:15,0.4,0.4,NULL,446.1,446.1,NULL,8.28,8.337348243,NULL,13.77,11.77,10,5.48,5.48,NULL,57.65,57.04,NULL
