datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2019-01-01 00:00,-0.02,-0.02,NULL,335.1,-9999,5,8.39,8.417628676,NULL,11.33,11.4385193,NULL,4.04,4.04,NULL,19.53,19.02200368,5
2019-01-01 00:15,-0.02,-0.02,NULL,335.3,-9999,5,8.38,8.40765625,NULL,11.34,11.4486276,NULL,3.73,3.73,NULL,20.37,19.86209559,5
2019-01-01 00:30,-0.02,-0.02,NULL,333,-9999,5,8.38,8.407683824,NULL,11.33,11.43873591,NULL,3.78,3.78,NULL,21.14,20.6321875,5
2019-01-01 00:45,-0.02,-0.02,NULL,335.7,-9999,5,8.38,8.407711397,NULL,11.32,11.42884421,NULL,3.96,3.96,NULL,21.83,21.32227941,5
2019-01-01 01:00,-0.02,-0.02,NULL,335.5,-9999,5,8.38,8.407738971,NULL,11.32,11.42895251,NULL,3.76,3.76,NULL,22.6,22.09237132,5
2019-01-01 01:15,-0.02,-0.02,NULL,335.1,-9999,5,8.38,8.407766544,NULL,11.34,11.44906081,NULL,4.31,4.31,NULL,23.23,22.72246324,5
2019-01-01 01:30,-0.02,-0.02,NULL,334.3,-9999,5,8.38,8.407794118,NULL,11.34,11.44916912,NULL,5.58,5.58,NULL,23.87,23.36255515,5
2019-01-01 01:45,-0.02,-0.02,NULL,334.1,-9999,5,8.38,8.407821691,NULL,11.33,11.43927742,NULL,4.77,4.77,NULL,24.49,23.98264706,5
2019-01-01 02:00,-0.02,-0.02,NULL,333.2,-9999,5,8.38,8.407849265,NULL,11.32,11.42938572,NULL,4.32,4.32,NULL,25.08,24.57273897,5
2019-01-01 02:15,-0.02,-0.02,NULL,332.6,-9999,5,8.38,8.407876838,NULL,11.32,11.42949403,NULL,3.84,3.84,NULL,25.6,25.09283088,5
2019-01-01 02:30,-0.02,-0.02,NULL,331.5,-9999,5,8.38,8.407904412,NULL,11.3,11.40960233,NULL,3.82,3.82,NULL,26.26,25.75292279,5
2019-01-01 02:45,-0.02,-0.02,NULL,334.7,-9999,5,8.37,8.397931985,NULL,11.34,11.44971063,NULL,5.3,5.3,NULL,26.79,26.28301471,5
2019-01-01 03:00,-0.01,-0.01,NULL,334.5,-9999,5,8.37,8.397959559,NULL,11.33,11.43981893,NULL,4.67,4.67,NULL,27.34,26.83310662,5
2019-01-01 03:15,-0.01,-0.01,NULL,335,-9999,5,8.37,8.397987132,NULL,11.29,11.39992724,NULL,3.79,3.79,NULL,27.93,27.42319853,5
2019-01-01 03:30,-0.01,-0.01,NULL,334.8,-9999,5,8.37,8.398014706,NULL,11.3,11.41003554,NULL,3.28,3.28,NULL,28.38,27.87329044,5
2019-01-01 03:45,-0.01,-0.01,NULL,334.8,-9999,5,8.37,8.398042279,NULL,11.31,11.42014384,NULL,3.75,3.75,NULL,28.96,28.45338235,5
2019-01-01 04:00,-0.01,-0.01,NULL,334.5,-9999,5,8.37,8.398069853,NULL,11.3,11.41025214,NULL,3.4,3.4,NULL,29.54,29.03347426,5
2019-01-01 04:15,-0.01,-0.01,NULL,334.5,-9999,5,8.37,8.398097426,NULL,11.31,11.42036045,NULL,3.46,3.46,NULL,30.14,29.63356618,5
2019-01-01 04:30,-0.01,-0.01,NULL,334.4,-9999,5,8.37,8.398125,NULL,11.3,11.41046875,NULL,4.59,4.59,NULL,30.68,30.17365809,5
2019-01-01 04:45,-0.01,-0.01,NULL,334.4,-9999,5,8.37,8.398152574,NULL,11.3,11.41057705,NULL,4.3,4.3,NULL,31.2,30.69375,5
2019-01-01 05:00,-0.01,-0.01,NULL,334.3,-9999,5,8.36,8.388180147,NULL,11.31,11.42068536,NULL,4.04,4.04,NULL,31.74,31.23384191,5
2019-01-01 05:15,-0.01,-0.01,NULL,334.1,-9999,5,8.36,8.388207721,NULL,11.28,11.39079366,NULL,4.89,4.89,NULL,32.34,31.83393382,5
2019-01-01 05:30,-0.01,-0.01,NULL,334.1,-9999,5,8.36,8.388235294,NULL,11.27,11.38090196,NULL,5.15,5.15,NULL,32.87,32.36402574,5
2019-01-01 05:45,-0.01,-0.01,NULL,334,-9999,5,8.36,8.388262868,NULL,11.26,11.37101026,NULL,4.91,4.91,NULL,33.43,32.92411765,5
2019-01-01 06:00,-0.01,-0.01,NULL,333.9,-9999,5,8.36,8.388290441,NULL,11.27,11.38111857,NULL,4.67,4.67,NULL,33.92,33.41420956,5
2019-01-01 06:15,-0.01,-0.01,NULL,333.7,-9999,5,8.36,8.388318015,NULL,11.21,11.32122687,NULL,3.22,3.22,NULL,34.39,33.88430147,5
2019-01-01 06:30,-0.01,-0.01,NULL,333.5,-9999,5,8.36,8.388345588,NULL,11.22,11.33133517,NULL,3.28,3.28,NULL,34.85,34.34439338,5
2019-01-01 06:45,-0.01,-0.01,NULL,333.2,-9999,5,8.36,8.388373162,NULL,11.26,11.37144347,NULL,3.27,3.27,NULL,35.38,34.87448529,5
2019-01-01 07:00,-0.01,-0.01,NULL,333,-9999,5,8.36,8.388400735,NULL,11.19,11.30155178,NULL,3.4,3.4,NULL,35.81,35.30457721,5
2019-01-01 07:15,-0.01,-0.01,NULL,332.8,-9999,5,8.35,8.378428309,NULL,11.24,11.35166008,NULL,3.18,3.18,NULL,36.24,35.73466912,5
2019-01-01 07:30,-0.01,-0.01,NULL,332.4,-9999,5,8.35,8.378455882,NULL,11.25,11.36176838,NULL,3.3,3.3,NULL,36.7,36.19476103,5
2019-01-01 07:45,-0.01,-0.01,NULL,332.6,-9999,5,8.35,8.378483456,NULL,11.24,11.35187669,NULL,3.28,3.28,NULL,37.12,36.61485294,5
2019-01-01 08:00,-0.01,-0.01,NULL,332.2,-9999,5,8.35,8.378511029,NULL,11.15,11.26198499,NULL,3.48,3.48,NULL,37.51,37.00494485,5
