datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2019-01-01 00:00,0.76,0.76,NULL,372.4,372.919045,NULL,8.48,8.530223249,NULL,14.08,11.78,10,2.83,2.83,NULL,60.44,37.1049,NULL
2019-01-01 00:15,0.72,0.72,NULL,372.5,373.019325,NULL,8.48,8.530250192,NULL,14.1,11.8,10,2.98,2.98,NULL,60.21,36.8749,NULL
2019-01-01 00:30,0.68,0.68,NULL,372.5,373.0196049,NULL,8.48,8.530277136,NULL,14.11,11.81,10,2.97,2.97,NULL,60.26,36.9249,NULL
2019-01-01 00:45,0.64,0.64,NULL,372.7,373.2198849,NULL,8.48,8.53030408,NULL,14.11,11.81,10,2.91,2.91,NULL,60.24,36.9049,NULL
2019-01-01 01:00,0.6,0.6,NULL,372.8,373.3201649,NULL,8.48,8.530331024,NULL,14.15,11.85,10,2.94,2.94,NULL,60.04,36.7049,NULL
2019-01-01 01:15,0.57,0.57,NULL,373.1,373.6204448,NULL,8.48,8.530357968,NULL,14.15,11.85,10,2.96,2.96,NULL,60.02,36.6849,NULL
2019-01-01 01:30,0.54,0.54,NULL,373.3,373.8207248,NULL,8.48,8.530384911,NULL,14.17,11.87,10,2.94,2.94,NULL,59.99,36.6549,NULL
2019-01-01 01:45,0.52,0.52,NULL,373.2,373.7210047,NULL,8.48,8.530411855,NULL,14.17,11.87,10,2.85,2.85,NULL,59.96,36.6249,NULL
2019-01-01 02:00,0.48,0.48,NULL,373.3,373.8212847,NULL,8.48,8.530438799,NULL,14.19,11.89,10,2.8,2.8,NULL,59.99,36.6549,NULL
2019-01-01 02:15,0.44,0.44,NULL,373.3,373.8215647,NULL,8.48,8.530465743,NULL,14.2,11.9,10,2.84,2.84,NULL,59.92,36.5849,NULL
2019-01-01 02:30,0.41,0.41,NULL,373.2,373.7218446,NULL,8.48,8.530492687,NULL,14.2,11.9,10,2.8,2.8,NULL,59.74,36.4049,NULL
2019-01-01 02:45,0.37,0.37,NULL,373.6,374.1221246,NULL,8.48,8.53051963,NULL,14.22,11.92,10,2.89,2.89,NULL,59.68,36.3449,NULL
2019-01-01 03:00,0.33,0.33,NULL,374,374.5224045,NULL,8.48,8.530546574,NULL,14.24,11.94,10,2.86,2.86,NULL,59.44,36.1049,NULL
2019-01-01 03:15,0.29,0.29,NULL,374.5,375.0226845,NULL,8.48,8.530573518,NULL,14.25,11.95,10,2.8,2.8,NULL,59.25,35.9149,NULL
2019-01-01 03:30,0.25,0.25,NULL,375.4,375.9229645,NULL,8.47,8.520600462,NULL,14.27,11.97,10,2.77,2.77,NULL,59.11,35.7749,NULL
2019-01-01 03:45,0.21,0.21,NULL,375.8,376.3232444,NULL,8.47,8.520627406,NULL,14.27,11.97,10,2.69,2.69,NULL,58.87,35.5349,NULL
2019-01-01 04:00,0.17,0.17,NULL,376.2,376.7235244,NULL,8.47,8.520654349,NULL,14.28,11.98,10,2.83,2.83,NULL,58.6,35.2649,NULL
2019-01-01 04:15,0.14,0.14,NULL,376.2,376.7238043,NULL,8.47,8.520681293,NULL,14.3,12,10,2.8,2.8,NULL,58.31,34.9749,NULL
2019-01-01 04:30,0.1,0.1,NULL,376,376.5240843,NULL,8.47,8.520708237,NULL,14.32,12.02,10,2.78,2.78,NULL,57.96,34.6249,NULL
2019-01-01 04:45,0.05,0.05,NULL,375.7,376.2243643,NULL,8.47,8.520735181,NULL,14.31,12.01,10,3.02,3.02,NULL,57.7,34.3649,NULL
2019-01-01 05:00,0.01,0.01,NULL,375.6,376.1246442,NULL,8.47,8.520762125,NULL,14.35,12.05,10,3.08,3.08,NULL,57.35,34.0149,NULL
2019-01-01 05:15,-0.03,-0.03,NULL,375.8,376.3249242,NULL,8.47,8.520789069,NULL,14.35,12.05,10,2.76,2.76,NULL,56.9,33.5649,NULL
2019-01-01 05:30,-0.04,-0.04,NULL,372.3,372.8252041,NULL,8.47,8.520816012,NULL,14.49,12.19,10,2.92,2.92,NULL,56.72,33.3849,NULL
2019-01-01 05:45,-0.03,-0.03,NULL,371.6,372.1254841,NULL,8.47,8.520842956,NULL,14.77,12.47,10,2.83,2.83,NULL,56.52,33.1849,NULL
2019-01-01 06:00,-0.02,-0.02,NULL,371.7,372.2257641,NULL,8.46,8.5108699,NULL,14.64,12.34,10,2.98,2.98,NULL,56.23,32.8949,NULL
