datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2019-01-01 00:00,1.36,1.36,NULL,438.5,438.5,NULL,8.36,8.42,10,12.96,11.19376173,10,4.93,4.93,NULL,72.79,72.6176,NULL
2019-01-01 00:15,1.29,1.29,NULL,437.5,437.5,NULL,8.36,8.42,10,12.97,11.20374277,10,4.67,4.67,NULL,72.82,72.6476,NULL
2019-01-01 00:30,1.21,1.21,NULL,436.8,436.8190759,NULL,8.35,8.41,10,13.01,11.24372382,10,4.72,4.72,NULL,72.77,72.5976,NULL
2019-01-01 00:45,1.13,1.13,NULL,436.3,436.3381517,NULL,8.35,8.41,10,13.03,11.26370486,10,4.8,4.8,NULL,72.86,72.6876,NULL
2019-01-01 01:00,1.06,1.06,NULL,435.8,435.8572276,NULL,8.35,8.41,10,13.08,11.31368591,10,4.95,4.95,NULL,72.94,72.7676,NULL
2019-01-01 01:15,0.99,0.99,NULL,435.5,435.5763034,NULL,8.35,8.41,10,13.1,11.33366695,10,4.75,4.75,NULL,72.99,72.8176,NULL
2019-01-01 01:30,0.91,0.91,NULL,435.5,435.5953793,NULL,8.35,8.41,10,13.12,11.353648,10,4.78,4.78,NULL,72.91,72.7376,NULL
2019-01-01 01:45,0.83,0.83,NULL,434.9,435.0144552,NULL,8.35,8.41,10,13.15,11.38362904,10,4.77,4.77,NULL,72.89,72.7176,NULL
2019-01-01 02:00,0.76,0.76,NULL,434.7,434.833531,NULL,8.34,8.4,10,13.19,11.42361008,10,5.06,5.06,NULL,72.94,72.7676,NULL
2019-01-01 02:15,0.71,0.71,NULL,434.8,434.9526069,NULL,8.34,8.4,10,13.2,11.43359113,10,4.9,4.9,NULL,72.81,72.6376,NULL
2019-01-01 02:30,0.66,0.66,NULL,434.8,434.9716828,NULL,8.34,8.4,10,13.22,11.45357217,10,4.83,4.83,NULL,72.75,72.5776,NULL
2019-01-01 02:45,0.6,0.6,NULL,434.5,434.6907586,NULL,8.34,8.4,10,13.25,11.48355322,10,4.85,4.85,NULL,72.63,72.4576,NULL
2019-01-01 03:00,0.55,0.55,NULL,434.6,434.8098345,NULL,8.34,8.4,10,13.28,11.51353426,10,4.9,4.9,NULL,72.55,72.3776,NULL
2019-01-01 03:15,0.5,0.5,NULL,434.6,434.8289103,NULL,8.34,8.4,10,13.28,11.51351531,10,4.92,4.92,NULL,72.38,72.2076,NULL
2019-01-01 03:30,0.45,0.45,NULL,434.6,434.8479862,NULL,8.34,8.4,10,13.32,11.55349635,10,4.89,4.89,NULL,72.34,72.1676,NULL
2019-01-01 03:45,0.4,0.4,NULL,434.7,434.9670621,NULL,8.34,8.4,10,13.34,11.5734774,10,5.03,5.03,NULL,72.24,72.0676,NULL
2019-01-01 04:00,0.35,0.35,NULL,434.7,434.9861379,NULL,8.34,8.4,10,13.36,11.59345844,10,5.03,5.03,NULL,72.06,71.8876,NULL
2019-01-01 04:15,0.3,0.3,NULL,435,435.3052138,NULL,8.33,8.39,10,13.38,11.61343948,10,4.74,4.74,NULL,71.96,71.7876,NULL
2019-01-01 04:30,0.26,0.26,NULL,435.2,435.5242897,NULL,8.34,8.4,10,13.39,11.62342053,10,4.73,4.73,NULL,71.86,71.6876,NULL
2019-01-01 04:45,0.22,0.22,NULL,435.5,435.8433655,NULL,8.34,8.4,10,13.4,11.63340157,10,4.94,4.94,NULL,71.67,71.4976,NULL
2019-01-01 05:00,0.19,0.19,NULL,435.6,435.9624414,NULL,8.33,8.39,10,13.41,11.64338262,10,4.96,4.96,NULL,71.54,71.3676,NULL
2019-01-01 05:15,0.15,0.15,NULL,435.9,436.2815172,NULL,8.33,8.39,10,13.42,11.65336366,10,4.74,4.74,NULL,71.28,71.1076,NULL
2019-01-01 05:30,0.11,0.11,NULL,436.1,436.5005931,NULL,8.33,8.39,10,13.43,11.66334471,10,4.99,4.99,NULL,71.07,70.8976,NULL
2019-01-01 05:45,0.07,0.07,NULL,436.3,436.719669,NULL,8.33,8.39,10,13.46,11.69332575,10,4.93,4.93,NULL,70.78,70.6076,NULL
2019-01-01 06:00,0.03,0.03,NULL,436.6,437.0387448,NULL,8.33,8.39,10,13.46,11.6933068,10,5.35,5.35,NULL,70.45,70.2776,NULL
2019-01-01 06:15,-0.01,-0.01,NULL,436.9,437.3578207,NULL,8.33,8.39,10,13.49,11.72328784,10,5.16,5.16,NULL,70.04,69.8676,NULL
2019-01-01 06:30,-0.04,-0.04,NULL,437.1,437.5768966,NULL,8.33,8.39,10,13.51,11.74326888,10,5.18,5.18,NULL,69.59,69.4176,NULL
2019-01-01 06:45,-0.04,-0.04,NULL,437.3,437.7959724,NULL,8.32,8.38,10,13.5,11.73324993,10,5.01,5.01,NULL,69.1,68.9276,NULL
2019-01-01 07:00,-0.03,-0.03,NULL,437.8,438.3150483,NULL,8.32,8.38,10,13.53,11.76323097,10,4.78,4.78,NULL,68.74,68.5676,NULL
