datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2019-01-01 00:15,-0.01,-0.01,NULL,376.5,-9999,5,8.4,8.4,NULL,12.11,11.51,NULL,2.82,2.82,4,52.86,-9999,5
2019-01-01 00:30,-0.01,-0.01,NULL,377.6,-9999,5,8.4,8.4,NULL,12.11,11.51,NULL,2.69,2.69,4,52.73,-9999,5
2019-01-01 00:45,-0.01,-0.01,NULL,378.4,-9999,5,8.4,8.4,NULL,12.11,11.51,NULL,2.77,2.77,4,52.63,-9999,5
2019-01-01 01:00,-0.01,-0.01,NULL,379.3,-9999,5,8.39,8.39,NULL,12.1,11.5,NULL,2.77,2.77,4,52.49,-9999,5
2019-01-01 01:15,-0.01,-0.01,NULL,380.2,-9999,5,8.39,8.39,NULL,12.11,11.51,NULL,2.75,2.75,4,52.36,-9999,5
2019-01-01 02:00,-0.01,-0.01,NULL,382.5,-9999,5,8.38,8.38,NULL,12.1,11.5,NULL,2.71,2.71,4,52.46,-9999,5
2019-01-01 02:15,-0.01,-0.01,NULL,383.5,-9999,5,8.38,8.38,NULL,12.1,11.5,NULL,2.67,2.67,4,52.37,-9999,5
2019-01-01 03:00,-0.01,-0.01,NULL,385.7,-9999,5,8.37,8.37,NULL,12.07,11.47,NULL,2.74,2.74,4,51.92,-9999,5
2019-01-01 03:30,-0.01,-0.01,NULL,387.2,-9999,5,8.37,8.37,NULL,12.06,11.46,NULL,2.72,2.72,4,52.29,-9999,5
2019-01-01 04:30,-0.01,-0.01,NULL,390.2,-9999,5,8.36,8.36,NULL,12.03,11.43,NULL,2.79,2.79,4,52.73,-9999,5
2019-01-01 05:30,-0.01,-0.01,NULL,392.9,-9999,5,8.35,8.35,NULL,12.01,11.41,NULL,2.78,2.78,4,52.67,-9999,5
2019-01-01 05:45,0,0,NULL,393.8,-9999,5,8.35,8.35,NULL,12,11.4,NULL,2.78,2.78,4,52.71,-9999,5
2019-01-01 08:45,-0.01,-0.01,NULL,401.6,-9999,5,8.33,8.33,NULL,12.02,11.42,NULL,2.86,2.86,4,54.82,-9999,5
2019-01-01 09:00,-0.01,-0.01,NULL,402.3,-9999,5,8.33,8.33,NULL,12.05,11.45,NULL,2.89,2.89,4,55,-9999,5
