datetime,temp,temp_cor,temp_qual,cond,cond_cor,cond_qual,ph,ph_cor,ph_qual,do,do_cor,do_qual,turb,turb_cor,turb_qual,stage,stage_cor,stage_qual
2019-01-01 00:00,1.29,1.29,NULL,377.2,385.1674124,NULL,8.42,8.432904725,NULL,11.81,11.81,NULL,1.65,1.65,NULL,63.42,31.17,NULL
2019-01-01 00:15,1.26,1.26,NULL,377.2,385.1719239,NULL,8.42,8.432912471,NULL,11.82,11.82,NULL,2.05,2.05,NULL,63.37,31.12,NULL
2019-01-01 00:30,1.23,1.23,NULL,377.3,385.2764355,NULL,8.42,8.432920217,NULL,11.83,11.83,NULL,1.86,1.86,NULL,63.39,31.14,NULL
2019-01-01 00:45,1.19,1.19,NULL,377.3,385.2809471,NULL,8.42,8.432927963,NULL,11.84,11.84,NULL,1.68,1.68,NULL,63.31,31.06,NULL
2019-01-01 01:00,1.18,1.18,NULL,377.5,385.4854586,NULL,8.42,8.432935709,NULL,11.85,11.85,NULL,1.59,1.59,NULL,63.3,31.05,NULL
2019-01-01 01:15,1.15,1.15,NULL,377.6,385.5899702,NULL,8.42,8.432943455,NULL,11.86,11.86,NULL,1.75,1.75,NULL,63.36,31.11,NULL
2019-01-01 01:30,1.11,1.11,NULL,377.7,385.6944817,NULL,8.41,8.422951201,NULL,11.86,11.86,NULL,1.69,1.69,NULL,63.05,30.8,NULL
2019-01-01 01:45,1.06,1.06,NULL,378,385.9989933,NULL,8.41,8.422958947,NULL,11.88,11.88,NULL,1.68,1.68,NULL,62.95,30.7,NULL
2019-01-01 02:00,1.01,1.01,NULL,378,386.0035048,NULL,8.41,8.422966692,NULL,11.89,11.89,NULL,1.83,1.83,NULL,62.78,30.53,NULL
2019-01-01 02:15,0.96,0.96,NULL,378,386.0080164,NULL,8.41,8.422974438,NULL,11.91,11.91,NULL,1.73,1.73,NULL,62.53,30.28,NULL
2019-01-01 02:30,0.91,0.91,NULL,378.3,386.312528,NULL,8.41,8.422982184,NULL,11.92,11.92,NULL,1.63,1.63,NULL,62.25,30,NULL
2019-01-01 02:45,0.89,0.89,NULL,378.4,386.4170395,NULL,8.41,8.42298993,NULL,11.93,11.93,NULL,1.59,1.59,NULL,61.93,29.68,NULL
2019-01-01 03:00,0.85,0.85,NULL,378.5,386.5215511,NULL,8.41,8.422997676,NULL,11.94,11.94,NULL,1.56,1.56,NULL,61.61,29.36,NULL
2019-01-01 03:15,0.82,0.82,NULL,378.8,386.8260626,NULL,8.41,8.423005422,NULL,11.95,11.95,NULL,1.77,1.77,NULL,61.21,28.96,NULL
2019-01-01 03:30,0.79,0.79,NULL,379,387.0305742,NULL,8.41,8.423013168,NULL,11.95,11.95,NULL,1.55,1.55,NULL,60.91,28.66,NULL
